path,read_status,terms_hit,line_numbers,evidence_snippets,supports_sio2_tio2,supports_453_or_450,supports_100_52_nm,supports_m8,supports_dipole_source,supports_planewave
F:\wc_312\MDC_blue_oujizi_source1\source1_11_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;56;62;67;68;69,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L56: 0.143145% complete. Elapsed simulation time: 1.43145e-15 secs. Max time remaining: 52 secs. Auto Shutoff: 1 | L62: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 8.29297e-06 | L67: collecting TM monitor data | L68: collecting TE monitor data | L69: collecting TM source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_12_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;63;68;69;70;71,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L63: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.25811e-06 | L68: collecting TM monitor data | L69: collecting TE monitor data | L70: collecting TM source data | L71: collecting TE source data",false,false,false,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_13_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;62;64;67;68;69,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L62: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.73244e-06 | L64: Completed 6213 iterations, or 1.852835e-13s of Simulation Time | L67: collecting TM monitor data | L68: collecting TE monitor data | L69: collecting TM source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_14_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;62;67;68;69;70,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L62: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.61537e-06 | L67: collecting TM monitor data | L68: collecting TE monitor data | L69: collecting TM source data | L70: collecting TE source data",false,true,false,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_15_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;63;68;69;70;71,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L63: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.11687e-06 | L68: collecting TM monitor data | L69: collecting TE monitor data | L70: collecting TM source data | L71: collecting TE source data",false,false,false,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_16_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;16;39;41;47;48;49;50;61;63;68;69,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L16: Peak memory used by end of initialization: 0.080052 GiB | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L61: 15.2211% complete. Elapsed simulation time: 1.52211e-13 secs. Max time remaining: 28 secs. Auto Shutoff: 0.000137736 | L63: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 8.33987e-06 | L68: collecting TM monitor data | L69: collecting TE monitor data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_17_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;62;67;68;69;70,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L62: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 8.9472e-06 | L67: collecting TM monitor data | L68: collecting TE monitor data | L69: collecting TM source data | L70: collecting TE source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_18_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;63;68;69;70;71,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L63: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 9.07491e-06 | L68: collecting TM monitor data | L69: collecting TE monitor data | L70: collecting TM source data | L71: collecting TE source data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_19_p0.log,ok,100;52;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;61;62;64;69;70,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L61: 15.2211% complete. Elapsed simulation time: 1.52211e-13 secs. Max time remaining: 27 secs. Auto Shutoff: 0.000164828 | L62: 18.2749% complete. Elapsed simulation time: 1.82749e-13 secs. Max time remaining: 26 secs. Auto Shutoff: 2.09522e-05 | L64: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 8.42409e-06 | L69: collecting TM monitor data | L70: collecting TE monitor data",false,false,true,false,true,false
F:\wc_312\MDC_blue_oujizi_source1\source1_1_p0.log,ok,100;dipole;ITO;MDC;oujizi;source,11;39;41;47;48;49;50;63;68;69;70;71,"L11: Running fsp file: N:\Program Files\ANSYS Inc\v251\Lumerical\bin\fdtd-engine-msmpi.exe -t 1 -remote -hide -shared-solve-license QU5TWVNfTElDRU5TSU5HX0NPTlRFWFRfREFUQT08QU5TWVNfTElDR | L39: Starting to add sources to simulation | L41: Adding dipole source | L47: Starting to add monitors to Simulation | L48: Adding analysis monitor | L49: Adding frequency monitor | L50: Adding time monitor | L63: 100% complete. Max time remaining: 0 mins, 0 secs. Auto Shutoff: 8.0935e-06 | L68: collecting TM monitor data | L69: collecting TE monitor data | L70: collecting TM source data | L71: collecting TE source data",false,true,false,false,true,false
