case_order,case_id,geometry_id,geometry_hash,polarization,setup_sha256,setup_diff_pass,entered,engine_completed,controller_returned,post_saved,run_invocation_count,provisional_gate_label,training_label,candidate_performance_label,diagnostic_only,status
1,RUN3C_N2_NATIVE_M1_X_PRODUCTION_GATE,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,x,887d8b89fc8b2cfaefc8d20eb72b9dd33958837c930d0085721a8a3d12f5574a,True,True,True,True,True,1,True,False,False,True,FAILED_CLOSURE_STOP
2,RUN3C_N2_NATIVE_M1_Y_PRODUCTION_GATE,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,y,7a872d6e33f25872bb9bd7b38ea6de1c2a6e663b6cf40133ed3af44de208196e,True,False,False,False,False,0,True,False,False,True,NOT_STARTED_EARLY_STOP
3,RUN3A_N2_NATIVE_M1_X_PRODUCTION_GATE,K6X_D125_D135_D150_D175_D190_D210,06f49f63b580719dd1345d98f28881538154de46899e4d633dbf6dacce51c0f9,x,3158b6082aa2803ac08d8411425f5e2fc46b6f09acb744bee9035fa8b8384215,True,False,False,False,False,0,True,False,False,True,NOT_STARTED_EARLY_STOP
4,RUN3A_N2_NATIVE_M1_Y_PRODUCTION_GATE,K6X_D125_D135_D150_D175_D190_D210,06f49f63b580719dd1345d98f28881538154de46899e4d633dbf6dacce51c0f9,y,75e792cd84362c4eb28a186c0013cd85fa8b80ed4aa9bfde1f96d86393c1c14a,True,False,False,False,False,0,True,False,False,True,NOT_STARTED_EARLY_STOP
5,RUN3B_N2_NATIVE_M1_X_PRODUCTION_GATE,K6X_D100_D115_D130_D145_D155_D185,42d96454a34a0ccbde1bba64746f5920389e2a2924569a69ee7f2aac08a6bcde,x,97bfb885688fcb805c2128efaf73da4bd28f69faea84f5d6679f6697f80b76fe,True,False,False,False,False,0,True,False,False,True,NOT_STARTED_EARLY_STOP
6,RUN3B_N2_NATIVE_M1_Y_PRODUCTION_GATE,K6X_D100_D115_D130_D145_D155_D185,42d96454a34a0ccbde1bba64746f5920389e2a2924569a69ee7f2aac08a6bcde,y,304bf591afd2ad8a419256c7827ae0e4b6d36a1f0fa72878e14e9971df4ee22c,True,False,False,False,False,0,True,False,False,True,NOT_STARTED_EARLY_STOP
