source_name,source_object_type,source_shape_or_type,plane_wave_type,amplitude,phase_deg,injection_axis,direction,theta_deg,phi_deg,polarization_angle_deg,wavelength_start_nm,wavelength_stop_nm,x_nm,x_span_nm,x_min_nm,x_max_nm,y_nm,z_nm,z_span_nm,z_min_nm,z_max_nm,use_relative_coordinates,future_action
source,PlaneSource,Plane wave,Bloch/periodic,1,0,y-axis,Forward,0,,0,438,468,0,1000,-500,500,-800,0,1020,-510,510,checked,disable in memory before future dipole validation; do not save original FSP
source_1,DipoleSource,Electric dipole,not applicable,1,0,,,90,0,,450,450,0,,,,-800,0,,,,checked,enable/isolate for future x-dipole validation planning only
