geometry_uid,exact_hash,source_stage,source_file,material_contract,full_jones_available,old_elimination,paper_a_promotion
H1C1B_V2_009,955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,True,phase/K6 gate or old contract,complete x/y full-Jones native-compatible broadband evidence
H1C1B_V2_015,6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,True,phase/K6 gate or old contract,complete x/y full-Jones native-compatible broadband evidence
H1C1B_V2_010,3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,True,phase/K6 gate or old contract,complete x/y full-Jones native-compatible broadband evidence
H1C1B_V2_012,9191ce264313547454e8730bd323ea9ae49244af138113c2fa5b75e1a627857b,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,True,phase/K6 gate or old contract,complete x/y full-Jones native-compatible broadband evidence
GLOBAL_018,e845c395735b0c26f05551b883ad65b8e18131eacb85b8fe822ac1f970164940,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,True,phase/K6 gate or old contract,complete x/y full-Jones native-compatible broadband evidence
H1C1C_R06,21cb2a2870ff636725f4ed3ac6782c70a1a4370ab857559b4ae9ba8f017ff58d,H1C1C,reports\stage_h1c1c_phase_gap\h1c1c_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,True,phase/K6 gate or old contract,complete x/y full-Jones native-compatible broadband evidence
