geometry_uid,exact_hash,source_stage,source_file,material_contract,solver_lineage,H_global_nm,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,wavelength_count,mean_useful_power,worst_useful_power,mean_DoLP,worst_DoLP,mean_x_fidelity,worst_x_fidelity,mean_leakage_power,worst_leakage_power,mean_rank_contrast,worst_rank_contrast,mean_rank_error,worst_rank_error,mean_total_power,useful_power_range,DoLP_range,x_fidelity_range,phase_txx_mean_deg,phase_txx_range_deg,fabrication_margin,qualification,pareto_rank,promotion_role
GLOBAL_001,a8253518a60f78dae8560385cbc5c98ed8ddd91a001c8bbbe19053efb2a3acd6,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,102.0,100.0,94.0,180.22485955050706,-2.8624052261117474,9,0.4540332751288923,0.2657685999548458,0.0827697011172922,0.007475773226836058,0.48793830847238556,0.40322261364868095,0.4702797806520416,0.3933427468765206,1.110266343699708,1.0075254201144903,0.9262208738683477,0.5729240105659927,0.9243130557809339,0.2567485124506066,0.49647074606154024,0.11162925026698234,52.57210914993471,30.019282276420427,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
GLOBAL_002,19fafaf7076b7795bfc41398f050ee9e79fedd2a373640761e553da9bb6096f2,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,108.0,107.0,100.0,195.0,0.0,9,0.3853219063793506,0.05620423004594163,0.7977466477391156,0.4800100798997266,0.8988733238695578,0.7400050399498631,0.05495472480164417,0.00015955710084712997,5.445203855662032,1.6870768811973105,0.30791920925694377,0.05328114718214439,0.44027663118099475,0.45297650278567925,0.5143282316678917,0.2571641158339455,87.65145873192957,96.97172390757385,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,7,
GLOBAL_004,1cc0ca6edf977fda814cb2d59f204f6c47f61d859fc669d0d29c6ecb9161bddd,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,105.0,111.0,103.0,202.06187171260194,-1.4179228314511307,9,0.42196902281463955,0.0828630928299743,0.3314850039254087,0.09786028624880654,0.6656660276046776,0.5489046732488615,0.22523740756656055,0.009752667166316707,2.0120460271498555,1.1032210742623898,0.7046303342914247,0.1329182814017962,0.6472064303812002,0.4581753342505661,0.8667802389106437,0.4333886730521488,76.36364637523258,70.20722269927904,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
GLOBAL_005,74226792687513b7dab10575be4e2920be1137a572f185cb068118fc42d20299,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,107.0,105.0,102.0,206.0218435020908,-0.8343455755467915,9,0.4621016826768007,0.3238230123401586,0.6286814492690024,0.20236197069105005,0.7918185225619152,0.3989343487146149,0.14451540585975284,0.00046313316786894033,5.9294799155229425,1.2278012039394834,0.45007607633098,0.030475720263574504,0.6066170885365536,0.17855013944681591,0.7957808983636869,0.60007844681863,76.38348784756894,45.238279121578216,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
GLOBAL_006,58cb7c6aebab655f9f14af16d5a2ec1d0182037e8543fca5a31e7a08ebfcd176,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,113.0,112.0,96.0,191.1674658512792,2.398421334092505,9,0.44951817290551443,0.27604937097518917,0.8377439727751688,0.7243991370632339,0.9184113704066503,0.8614726191051061,0.04206428890145478,0.0035447967026844816,4.623163513974934,2.5013833767066047,0.2794559822075213,0.08520615022622612,0.49158246180696924,0.24459215787770677,0.2594464503714813,0.13012168135409274,80.85760479522895,48.01417610682665,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
GLOBAL_008,919905dfcf294368d2b73bdb4d8aa298c3d7369e62eb4dbd9cd964ec472c0c8f,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,104.0,109.0,99.0,184.13310403075272,-2.1786800752766027,9,0.44844831789850204,0.2109736238215344,0.07971175223097042,0.0015420215755061314,0.5095008269920361,0.36677057773310123,0.4228419403264155,0.32995797646386554,1.0898402706072094,1.001546269993255,0.9264499790086257,0.7610551665395329,0.8712902582249176,0.31942843599654835,0.26491774275006036,0.2497179124927103,77.95244486454693,23.102926640265252,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
GLOBAL_009,2da908fa179f4e52457eb00f44ec9f4a3bce90a6b7f16426986a78d3fbc5c976,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,104.0,104.0,105.0,193.00259065618783,0.2968666673246941,9,0.46713475966202,0.29946163594269454,0.25849402980624586,0.05972628864821154,0.6292373476500166,0.5298627001589195,0.2981642786142206,0.07879483220770678,1.3529662208958553,1.0616222514503195,0.7738689673601378,0.5128448232341788,0.7652990382762404,0.20775533912705263,0.5237492370217433,0.2618266988538779,70.02181453785194,30.281806587209303,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
GLOBAL_010,2deb92f8c7547d9fa52ef3e75ac85ab6d6058b4cb06a982c0ffb0a7ec86f77b3,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,110.0,111.0,99.0,208.24024587000469,-2.7524854002686845,9,0.4015108189213548,0.1007050024335475,0.556292742627384,0.1426307001016763,0.7774548334242056,0.5672763409117778,0.13033206551952667,0.006173995566482288,2.4290996589214053,1.1545394442535162,0.5255824068143078,0.15091387702291842,0.5318428844408815,0.4148530304624112,0.8126314539507794,0.4100721648149055,73.45328149229009,99.22976260831041,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
GLOBAL_011,85c8b98377105bd8718acac057fc0537d2fbef1e3f2f8ea7f0659db6ff3d816a,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,113.0,101.0,102.0,186.04300578092153,-1.231977402639728,9,0.30826879979704536,0.0013777596009549881,0.5654055534104993,0.14467782183999642,0.6781928874349687,0.044303669818089426,0.09593070960848785,0.029720332421941983,2.6558955444418233,1.173158108846777,0.5107305736158199,0.11626356230924137,0.4041995094055332,0.49438461741863027,0.7819673760795045,0.8321589512579624,94.62683951859803,121.06540192064585,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
GLOBAL_012,155971f78351232e75fe4e2e2efcc8629818ba98c0d3dd841205ce99fad2dce5,H1C1A,reports\stage_h1c1a_broadband_global\h1c1a_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,107.0,108.0,96.0,201.12185361118767,1.9945693012418377,9,0.4861336180024705,0.4675881750256153,0.46037673185850025,0.15121828516619126,0.7301065389946892,0.5755057154438376,0.2015484262366711,0.0183566174138783,2.076024918969069,1.1647714372913003,0.6031332807633871,0.19202649390442011,0.6876820442391416,0.030591309380530785,0.7763810368474092,0.3882511365948629,72.56078896853667,19.52231216777068,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
