case_id,position_id,orientation,fdtd_status,result_fsp,notes,candidate_id,wavelength_nm
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_436NM_CENTER_XDIP,center,x,ok,D:\project\bw2a_boundary_extend_rt\results\BW2_J1J2_D194_T90_PSI99_H525\436nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_436NM_CENTER_XDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,436.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_436NM_CENTER_YDIP,center,y,ok,D:\project\bw2a_boundary_extend_rt\results\BW2_J1J2_D194_T90_PSI99_H525\436nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_436NM_CENTER_YDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,436.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_438NM_CENTER_XDIP,center,x,ok,D:\project\bw2a_boundary_extend_rt\results\BW2_J1J2_D194_T90_PSI99_H525\438nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_438NM_CENTER_XDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,438.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_438NM_CENTER_YDIP,center,y,ok,D:\project\bw2a_boundary_extend_rt\results\BW2_J1J2_D194_T90_PSI99_H525\438nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_438NM_CENTER_YDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,438.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_462NM_CENTER_XDIP,center,x,ok,D:\project\bw2a_boundary_extend_rt\results\BW2_J1J2_D194_T90_PSI99_H525\462nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_462NM_CENTER_XDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,462.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_462NM_CENTER_YDIP,center,y,ok,D:\project\bw2a_boundary_extend_rt\results\BW2_J1J2_D194_T90_PSI99_H525\462nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_462NM_CENTER_YDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,462.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_464NM_CENTER_XDIP,center,x,ok,D:\project\bw2a_boundary_extend_rt\results\BW2_J1J2_D194_T90_PSI99_H525\464nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_464NM_CENTER_XDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,464.0
BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_464NM_CENTER_YDIP,center,y,ok,D:\project\bw2a_boundary_extend_rt\results\BW2_J1J2_D194_T90_PSI99_H525\464nm\BW2A_SPEC_BW2_J1J2_D194_T90_PSI99_H525_464NM_CENTER_YDIP.fsp,setup/save/load/run/save lifecycle complete,BW2_J1J2_D194_T90_PSI99_H525,464.0
