candidate_id,min_F_x,min_M_x,historical_target_channel_flip,guidance_pass,source_stage
SEED4_LPML_R2_HIGH_UNCERTAINTY_007,0.49762351780928976,-0.004752964381420431,True,False,H1C1A_BROADBAND_GLOBAL
H1C1B_V2_022,0.49684495466471007,-0.006310090670579901,True,False,H1C1B_BROADBAND_ADAPTIVE
SEED2_H1B1_A_LOWER_COMPATIBLE_EDGE,0.4698950459799221,-0.060209908040155705,True,False,H1C1A_BROADBAND_GLOBAL
H1C1C_R04,0.4598889204290002,-0.08022215914199957,True,False,H1C1C_PHASE_GAP_BROADBAND
H1C1B_V2_024,0.43561210711456394,-0.12877578577087204,True,False,H1C1B_BROADBAND_ADAPTIVE
H1C1B_V2_017,0.4244093377657956,-0.15118132446840887,True,False,H1C1B_BROADBAND_ADAPTIVE
GLOBAL_001,0.40322261364868095,-0.19355477270263804,True,False,H1C1A_BROADBAND_GLOBAL
GLOBAL_005,0.3989343487146149,-0.20213130257077025,True,False,H1C1A_BROADBAND_GLOBAL
GLOBAL_008,0.3667705777331012,-0.26645884453379765,True,False,H1C1A_BROADBAND_GLOBAL
H1C1C_R03,0.19929025135886266,-0.6014194972822747,True,False,H1C1C_PHASE_GAP_BROADBAND
H1C1C_E03,0.12080847894236492,-0.7583830421152701,True,False,H1C1C_PHASE_GAP_BROADBAND
GLOBAL_020,0.06629003780709038,-0.8674199243858192,True,False,H1C1A_BROADBAND_GLOBAL
SEED3_H1B1_D_D_PSI_CONTRAST,0.0659916738961063,-0.8680166522077875,True,False,H1C1A_BROADBAND_GLOBAL
GLOBAL_011,0.044303669818089426,-0.9113926603638213,True,False,H1C1A_BROADBAND_GLOBAL
GLOBAL_016,0.042518590285938594,-0.9149628194281229,True,False,H1C1A_BROADBAND_GLOBAL
GLOBAL_019,0.030336689512767804,-0.9393266209744643,True,False,H1C1A_BROADBAND_GLOBAL
H1C1C_R01,0.014575682583119448,-0.970848634833761,True,False,H1C1C_PHASE_GAP_BROADBAND
GLOBAL_006,0.8614726191051061,0.7229452382102122,False,True,H1C1A_BROADBAND_GLOBAL
GLOBAL_015,0.8512982155294134,0.7025964310588267,False,True,H1C1A_BROADBAND_GLOBAL
H1C1B_V2_005,0.8304902986280905,0.6609805972561811,False,True,H1C1B_BROADBAND_ADAPTIVE
H1C1C_R06,0.8020462976591227,0.6040925953182454,False,True,H1C1C_PHASE_GAP_BROADBAND
H1C1B_V2_003,0.788906556077747,0.577813112155494,False,True,H1C1B_BROADBAND_ADAPTIVE
H1C1C_R05,0.7519812729792817,0.5039625459585636,False,True,H1C1C_PHASE_GAP_BROADBAND
GLOBAL_002,0.740005039949863,0.4800100798997261,False,True,H1C1A_BROADBAND_GLOBAL
H1C1B_V2_006,0.7367954466158669,0.4735908932317339,False,True,H1C1B_BROADBAND_ADAPTIVE
H1C1B_V2_004,0.7340285050344924,0.46805701006898476,False,True,H1C1B_BROADBAND_ADAPTIVE
H1C1C_R02,0.7179965441301429,0.4359930882602858,False,True,H1C1C_PHASE_GAP_BROADBAND
H1C1B_V2_001,0.6870165072266972,0.37403301445339426,False,False,H1C1B_BROADBAND_ADAPTIVE
H1C1B_V2_002,0.6236607913507187,0.2473215827014374,False,False,H1C1B_BROADBAND_ADAPTIVE
H1C1B_V2_013,0.6022017352503497,0.20440347050069949,False,False,H1C1B_BROADBAND_ADAPTIVE
H1C1B_V2_019,0.5823933806942442,0.16478676138848844,False,False,H1C1B_BROADBAND_ADAPTIVE
GLOBAL_012,0.5755057154438376,0.1510114308876752,False,False,H1C1A_BROADBAND_GLOBAL
GLOBAL_010,0.5672763409117777,0.1345526818235554,False,False,H1C1A_BROADBAND_GLOBAL
GLOBAL_004,0.5489046732488615,0.09780934649772295,False,False,H1C1A_BROADBAND_GLOBAL
H1C1B_V2_014,0.5416818755142894,0.08336375102857876,False,False,H1C1B_BROADBAND_ADAPTIVE
GLOBAL_009,0.5298627001589195,0.05972540031783883,False,False,H1C1A_BROADBAND_GLOBAL
GLOBAL_013,0.5270896706436431,0.05417934128728629,False,False,H1C1A_BROADBAND_GLOBAL
H1C1B_V2_007,0.5262380495769621,0.05247609915392408,False,False,H1C1B_BROADBAND_ADAPTIVE
H1C1C_E02,0.5250774287838477,0.05015485756769522,False,False,H1C1C_PHASE_GAP_BROADBAND
H1C1B_V2_020,0.5239163387287248,0.047832677457449534,False,False,H1C1B_BROADBAND_ADAPTIVE
SEED1_H1B2_C_UPPER_EDGE_LOCAL_CONTINUATION,0.5196345352362718,0.03926907047254356,False,False,H1C1A_BROADBAND_GLOBAL
H1C1C_E04,0.518126766974643,0.03625353394928603,False,False,H1C1C_PHASE_GAP_BROADBAND
H1C1C_E01,0.5097855160978945,0.01957103219578888,False,False,H1C1C_PHASE_GAP_BROADBAND
H1C1B_V2_023,0.5094614877425758,0.018922975485151733,False,False,H1C1B_BROADBAND_ADAPTIVE
GLOBAL_017,0.5084063351563014,0.01681267031260281,False,False,H1C1A_BROADBAND_GLOBAL
H1C1B_V2_008,0.5074774922277879,0.014954984455575917,False,False,H1C1B_BROADBAND_ADAPTIVE
H1C1B_V2_016,0.5052676166001998,0.010535233200399717,False,False,H1C1B_BROADBAND_ADAPTIVE
