candidate_a,candidate_b,normalized_geometry_distance,different_source_stage,geometry_role
GLOBAL_006,GLOBAL_015,1.0274425594505874,False,
GLOBAL_006,H1C1B_V2_005,0.6972500630362973,True,
GLOBAL_006,H1C1C_R06,0.9371953395943339,True,
GLOBAL_015,H1C1B_V2_005,0.5722851018345146,True,
GLOBAL_015,H1C1C_R06,1.3826745407211827,True,
H1C1B_V2_005,H1C1C_R06,0.8684051317502333,True,
GLOBAL_006,,,,SHORTLIST
GLOBAL_015,,,,SHORTLIST
H1C1B_V2_005,,,,SHORTLIST
H1C1C_R06,,,,SHORTLIST
