wavelength_nm,sigma1,sigma2,sigma2_over_sigma1,u1_x_real,u1_x_imag,u1_y_real,u1_y_imag,geometry_uid,dominant_output_overlap_next
450.0,0.9654704701888733,0.953029106681883,0.9871136778481102,-0.3967396571378058,-0.701821108987952,0.2663049206862892,0.5283242041127458,GLOBAL_001,0.8248395025533313
450.5,0.9693843713968062,0.9621438348291343,0.9925307888374156,-0.5567542579341608,-0.8292442517117488,-0.014107194687397188,0.046686768288843807,GLOBAL_001,0.7523041543744078
451.0,0.9975219837884385,0.9789428739178949,0.9813747364243715,-0.4677144977214056,-0.6150320745264655,-0.37979925744880877,-0.5086562886333161,GLOBAL_001,0.5222717396457942
451.5,0.9850080679108856,0.9710847662966648,0.9858647841902952,0.05975469001320677,0.1254947519100306,-0.5273208499519286,-0.8382202368533234,GLOBAL_001,0.9672548435333779
452.0,0.9756767291010958,0.9225717590330409,0.9455711420759402,0.21227319603702444,0.32139480675259186,-0.5353433082046258,-0.7517000803493493,GLOBAL_001,0.7533585169539005
452.5,1.0116173424607018,0.9578395362077345,0.9468397742943435,-0.31888414865707626,-0.06537911919349905,-0.8478332331533313,-0.41858963110605435,GLOBAL_001,0.6192537040715731
453.0,0.9962212478092413,0.5707590727059283,0.5729240105659928,0.31467757560980647,0.45784685865899966,-0.5315719777387408,-0.6393633629692462,GLOBAL_001,0.15754358246754352
453.5,1.030385872353821,0.9839113142747821,0.9548959673011896,-0.5693632190606979,-0.7055856464549147,-0.26536580699677204,-0.32795641291883826,GLOBAL_001,0.9827677353491024
454.0,1.008873922111189,0.9774706866666839,0.9688729832774444,-0.6332389703232328,-0.7334677510499982,-0.1592986425803945,-0.1888316898872488,GLOBAL_001,
450.0,1.0091389724231454,0.3691861813626062,0.3658427545178599,-0.12569619625328654,-0.9920687810063651,-1.4810510238973748e-08,3.6151184003087896e-09,GLOBAL_002,1.0
450.5,0.9765061639258756,0.2898572550167715,0.29683095276270466,-0.2938875214716723,-0.9558400100033674,-8.008925849771201e-09,4.760113161641345e-09,GLOBAL_002,1.0
451.0,0.8370258279292025,0.17750879503093966,0.2120708693901304,-0.7489998717219628,-0.6625701413137202,2.3238715375612643e-09,9.523180358733041e-09,GLOBAL_002,0.9999999999999992
451.5,0.3352737092166389,0.017863767847075173,0.05328114718214426,-0.7485844404913733,0.6630394674936151,-1.1624821511489439e-08,1.9251011744060265e-08,GLOBAL_002,0.9999999999999996
