geometry_uid,min_M_x,max_abs_dM_x_dlambda,orientation_ripple_deg,dominant_output_overlap_drift,historical_target_channel_flip
H1C1B_V2_022,-0.006310090670579901,0.055445185634020934,199.66517405628198,0.6829784680034132,True
GLOBAL_006,0.7229452382102122,0.2680970978661854,3.39885793110546,0.008267140651260663,False
GLOBAL_015,0.7025964310588267,0.21798044254323456,0.37673407179056284,5.271822568453377e-05,False
H1C1B_V2_005,0.6609805972561811,0.38312474486046977,2.8231220333438673e-06,1.4432899320127035e-15,False
H1C1B_V2_003,0.577813112155494,0.28190556672574774,1.3025165494751962,2.2942502309164503e-05,False
GLOBAL_002,0.4800100798997261,0.3133275941552496,2.267890075459304e-06,7.771561172376096e-16,False
H1C1B_V2_006,0.4735908932317339,0.2937789619594652,0.20828050022030575,9.409033245089127e-06,False
H1C1B_V2_004,0.46805701006898476,0.30020318526821,8.885052010743995e-07,3.3306690738754696e-16,False
H1C1C_R02,0.4359930882602858,0.2744049572758016,0.3085229257534341,1.2201406111800317e-05,False
H1C1C_E01,0.01957103219578888,0.11251515781632629,18.109511251881948,0.031000265989714948,False
GLOBAL_017,0.01681267031260281,0.06898692776232282,4.6096131152216735,0.0008940907466588044,False
H1C1B_V2_016,0.010535233200399717,0.08526259096871458,1.2682449311568217e-05,5.717648576819556e-14,False
