step,object,status,detail
load_lumapi,,ok,N:\Program Files\ANSYS Inc\v251\Lumerical\api\python\lumapi.py
open_lumerical_session,,ok,new blank project; did not open H1J4 FSP
switch_to_layout,,ok,None
addrcwa,,ok,None
set current name,RCWA,ok,None
setnamed x,RCWA,ok,None
setnamed y,RCWA,ok,None
setnamed z,RCWA,ok,None
setnamed x span,RCWA,ok,None
setnamed y span,RCWA,ok,None
setnamed z span,RCWA,ok,None
setnamed minimum wavelength,RCWA,ok,None
setnamed maximum wavelength,RCWA,ok,None
setnamed wavelength center,RCWA,ok,None
setnamed frequency points,RCWA,ok,None
setnamed angle theta,RCWA,ok,None
setnamed angle phi,RCWA,ok,None
setnamed polarization angle,RCWA,failed,"LumApiError: ""in setnamed, the requested property 'polarization angle'  was not found"""
setnamed incident angle,RCWA,failed,"LumApiError: 'in setnamed, the value supplied is not acceptable for the property \'incident angle\', it may be out of range, have incorrect dimensions or not be found in the list of choices\n  Expected type is String from this list:\n# ""single""\n# ""table""\n# ""range""'"
setnamed azimuthal angle,RCWA,failed,"LumApiError: ""in setnamed, the requested property 'azimuthal angle'  was not found"""
setnamed maximum number of k vectors,RCWA,failed,"LumApiError: ""in setnamed, the requested property 'maximum number of k vectors'  was not found"""
setnamed max number k vectors,RCWA,ok,None
setnamed harmonics,RCWA,failed,"LumApiError: ""in setnamed, the requested property 'harmonics'  was not found"""
add_minimal_sio2_rect,,ok,<lumapi.SimObject object at 0x0000019093791CF0>
set current name,tiny_sio2_film,ok,None
setnamed material,tiny_sio2_film,failed,"LumApiError: 'in setnamed, the value supplied is not acceptable for the property \'material\', it may be out of range, have incorrect dimensions or not be found in the list of choices\n  Expected type is String from this list:\n# ""<Object defined dielectric>""\n# ""5CB - Li""\n# ""5PCH - Li""\n# ""6241-000 - Li""\n# ""Ag (Silver) - CRC""\n# ""Ag (Silver) - Johnson and Christy""\n# ""Ag (Silver) - Palik (0-2um)""\n# ""Ag (Silver) - Palik (1-10um)""\n# ""Al (Aluminium) - CRC""\n# ""Al (Aluminium) - Palik""\n# ""Al2O3 - Palik""\n# ""Au (Gold) - CRC""\n# ""Au (Gold) - Johnson and Christy""\n# ""Au (Gold) - Palik""\n# ""C (graphene) - Falkovsky (mid-IR)""\n# ""Cr (Chromium) - CRC""\n# ""Cr (Chromium) - Palik""\n# ""Cu (Copper) - CRC""\n# ""Cu (Copper) - Palik""\n# ""E44 - Li""\n# ""E7 - Li""\n# ""Fe (Iron) - CRC""\n# ""Fe (Iron) - Palik""\n# ""GaAs - Palik""\n# ""Ge (Germanium) - CRC""\n# ""Ge (Germanium) - Palik""\n# ""H2O (Water) - Palik""\n# ""In (Indium) - Palik""\n# ""InAs - Palik""\n# ""InP - Palik""\n# ""MLC-6608 - Li""\n# ""MLC-9200-000 - Li""\n# ""MLC-9200-100 - Li""\n# ""Ni (Nickel) - CRC""\n# ""Ni (Nickel) - Palik""\n# ""PEC (Perfect Electrical Conductor)""\n# ""Pd (Palladium) - Palik""\n# ""Pt (Platinum) - Palik""\n# ""Rh (Rhodium) - Palik""\n# ""Si (Silicon) - Palik""\n# ""Si3N4 (Silicon Nitride) - Kischkat""\n# ""Si3N4 (Silicon Nitride) - Luke""\n# ""Si3N4 (Silicon Nitride) - Phillip""\n# ""SiO2 (Glass) - Palik""\n# ""Sn (Tin) - Palik""\n# ""TL-216 - Li""\n# ""Ta (Tantalum) - CRC""\n# ""Ti (Titanium) - CRC""\n# ""Ti (Titanium) - Palik""\n# ""TiN - Palik""\n# ""TiO2 (Titanium Dioxide) - Devore""\n# ""TiO2 (Titanium Dioxide) - Kischkat""\n# ""TiO2 (Titanium Dioxide) - Sarkar""\n# ""TiO2 (Titanium Dioxide) - Siefke""\n# ""V (Vanadium ) - CRC""\n# ""W (Tungsten) - CRC""\n# ""W (Tungsten) - Palik""\n# ""etch""'"
setnamed x,tiny_sio2_film,ok,None
setnamed y,tiny_sio2_film,ok,None
setnamed z,tiny_sio2_film,ok,None
setnamed x span,tiny_sio2_film,ok,None
setnamed y span,tiny_sio2_film,ok,None
setnamed z span,tiny_sio2_film,ok,None
run_tiny_rcwa_model,RCWA,ok,None
discover_getresult_one_arg,RCWA,ok,"x
y
z
num_k
peak_memory
simulation_run_time
total_threads
total_energy
substrate"
discover_getresult_script,RCWA,failed,LumApiError: 'Failed to evaluate code'
getresult total_energy,RCWA,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""theta"": ""[[0.]]"", ""phi"": ""[[0.]]"", ""Rs"": ""[[-0.]]"", ""Ts"": ""[[1.]]"", ""Rp"": ""[[-0.]]"", ""Tp"": ""[[1.]]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""], [""theta"", ""phi""]], ""attributes"": [""Rs"", ""Ts"", ""Rp"", ""Tp""]}}"
getresult substrate,RCWA,ok,"{""lambda"": ""[[4.53e-07]]"", ""f"": ""[[6.61793506e+14]]"", ""n_upper"": ""[1.+0.j]"", ""n_lower"": ""[1.+0.j]"", ""Lumerical_dataset"": {""parameters"": [[""lambda"", ""f""]], ""attributes"": [""n_upper"", ""n_lower""]}}"
getresult simulation_run_time,RCWA,ok,0.005961
getresult index,RCWA,failed,"LumApiError: ""Can not find result 'index' in the result provider 'RCWA'"""
getresult grating_power,RCWA,failed,"LumApiError: ""Can not find result 'grating_power' in the result provider 'RCWA'"""
getresult grating_orders,RCWA,failed,"LumApiError: ""Can not find result 'grating_orders' in the result provider 'RCWA'"""
close_lumerical_session,,ok,None
