result_name,available,field_names,fields_json,preview,Rs,Ts,Rp,Tp,n_lower,n_upper
total_energy,True,lambda;f;theta;phi;Rs;Ts;Rp;Tp,"{""lambda"": [4.5300000000000005e-07], ""f"": [661793505518763.8], ""theta"": [0.0], ""phi"": [0.0], ""Rs"": [-0.0], ""Ts"": [1.0000000000000002], ""Rp"": [-0.0], ""Tp"": [1.0000000000000002]}","{""lambda"": [4.5300000000000005e-07], ""f"": [661793505518763.8], ""theta"": [0.0], ""phi"": [0.0], ""Rs"": [-0.0], ""Ts"": [1.0000000000000002], ""Rp"": [-0.0], ""Tp"": [1.0000000000000002]}",[-0.0],[1.0000000000000002],[-0.0],[1.0000000000000002],,
substrate,True,lambda;f;n_upper;n_lower,"{""lambda"": [4.5300000000000005e-07], ""f"": [661793505518763.8], ""n_upper"": ""(1+0j)"", ""n_lower"": ""(1+0j)""}","{""lambda"": [4.5300000000000005e-07], ""f"": [661793505518763.8], ""n_upper"": ""(1+0j)"", ""n_lower"": ""(1+0j)""}",,,,,(1+0j),(1+0j)
simulation_run_time,True,value,"{""value"": ""0.005961""}","{""value"": ""0.005961""}",,,,,,
index,False,,{},{},,,,,,
grating_power,False,,{},{},,,,,,
grating_orders,False,,{},{},,,,,,
