file_path,exists,size_bytes,modified_time,load_succeeded,load_error,lumerical_version
F:\wc_312\MDC_blue_oujizi.fsp,True,3273677,2026-06-24T19:03:20,True,,8.33.3999
F:\wc_312\MDC_blue_qujizi.fsp,False,,,False,missing file,
