file_path,exists,load_succeeded,source_kind,object_count,source_monitor_count,material_geometry_count,blue_453_hint_score,sio2_tio2_hint_score,wan_100_52_nm_hint,suitability,confidence_score,load_error
F:\wc_312\MDC_blue_oujizi.fsp,True,True,no_source_detected_or_unavailable,0,0,0,1,0,False,ambiguous_or_failed_metadata,3,
F:\wc_312\MDC_blue_qujizi.fsp,False,False,no_source_detected_or_unavailable,0,0,0,1,0,False,ambiguous_or_failed_metadata,1,missing file
