diameter_nm,wavelength_nm,T,R,txx_real,txx_imag,txx_amplitude,txx_wrapped_phase_deg,txx_unwrapped_phase_vs_diameter_deg,tyx_amplitude,cross_pol,energy_residual,reconstruction_residual
100,445,0.9880930533180492,0.011487598165864839,0.6168803577661911,0.7691451946557656,0.9859643534427598,51.269212324622515,51.269212324622515,3.3480093438244667e-23,1.0937293901476517e-45,0.00041934851608596384,0.03954576430944334
100,446,0.9885528373476534,0.011092469649963578,0.6224958184012536,0.7650240297808684,0.9862873871591411,50.864941503541715,50.864941503541715,6.179998922976373e-23,3.726607732561271e-45,0.000354693002382998,0.039383192735742534
100,447,0.9890171990631302,0.01071019599425215,0.6280391077540074,0.76091328135409,0.9866215802472081,50.46457280010117,50.46457280010117,5.97810076401184e-23,3.4870216186367894e-45,0.0002726049426176134,0.03922324915514841
100,448,0.9893796881371504,0.010332439931941134,0.6334338336892629,0.7567941684646217,0.986902140581494,50.070796419408396,50.070796419408396,3.608741831433399e-23,1.2706700901975752e-45,0.0002878719309084843,0.03906079917808225
100,449,0.989800019454802,0.009960774561346798,0.6387084811533952,0.7527495963927043,0.9872084272161863,49.68537524891339,49.68537524891339,1.2203351575946572e-23,1.4530301511999883e-46,0.0002392059838511977,0.038901683218585004
100,450,0.9902269373304001,0.009604225355795488,0.6439258393060049,0.7487107404771635,0.987526333538405,49.30294681324818,49.30294681324818,2.5723054855809744e-23,6.45577137743242e-46,0.0001688373138043868,0.038745269666158544
100,451,0.9905524787972192,0.009257116837821279,0.6489959405237481,0.744662246213473,0.9877841827808337,48.92685280202746,48.92685280202746,1.6810499339612017e-23,2.7571386764842342e-46,0.0001904043649595278,0.0385863029544804
100,452,0.9909213439117872,0.008919003423079205,0.6539572371069758,0.7406904494698335,0.9880700430133551,48.558644430702216,48.558644430702216,2.642031246491542e-23,6.81022476503121e-46,0.00015965266513358334,0.0384300582954904
100,453,0.9913050999233052,0.008598321891957614,0.6588654619588067,0.7367206697285774,0.9883628089762966,48.19303537724437,48.19303537724437,4.4451637851373535e-23,1.9277406071932842e-45,9.657818473720811e-05,0.03827668219205904
100,454,0.9915876057822246,0.00829173978161333,0.663635308241833,0.7327454159898895,0.9885988402782137,47.83338854215623,47.83338854215623,9.07468510136099e-24,8.03393853504879e-47,0.00012065443616206782,0.03812081572235526
100,455,0.9918942972637813,0.007996976446768715,0.6683034956388254,0.7288387556812028,0.988855648750614,47.48095490810052,47.48095490810052,1.3891082176951e-23,1.8824423903660576e-46,0.00010872628944997437,0.037966881530674845
105,445,0.9853829847249647,0.01425092379929463,0.4445625252412112,0.8785345919041252,0.9846110237149441,63.15934237289566,63.15934237289566,3.9794943532677664e-10,1.5452272035503321e-19,0.00036609147574070966,0.039437851142717584
105,446,0.986003333087926,0.013718020350506087,0.4531051902343632,0.8746127116805037,0.9850135576987975,62.61296104082568,62.61296104082568,6.593021860680024e-10,4.241367590295731e-19,0.0002786465615679315,0.03928388602337862
105,447,0.986586253278429,0.013193412793671519,0.46152506496263207,0.8706453405537234,0.9854078823597215,62.07214441697155,62.07214441697155,8.661523941556299e-10,7.32009636232892e-19,0.00022033392789951034,0.03912765442062227
105,448,0.9871464566299598,0.012660251263760674,0.469716090702938,0.8666848603135973,0.9857869206689903,61.54369224143852,61.54369224143852,9.706552985108046e-10,9.192872543686998e-19,0.00019329210627951413,0.0389741143210951
105,449,0.9877595866046084,0.01213589535195917,0.47779722849771766,0.8627164375608701,0.9861895574370168,61.02105223431123,61.02105223431123,1.0627402150940052e-09,1.1019721264105878e-18,0.00010451804343244303,0.03882302782940139
105,450,0.9882644229487657,0.011611438134898115,0.4856617569402463,0.8587240900188656,0.9865467069191483,60.509146976137764,60.509146976137764,1.1912274601520969e-09,1.3844983632575453e-18,0.0001241389163361764,0.038669559549902366
105,451,0.9888802085670506,0.011092371240095671,0.4934128043612239,0.854758771984681,0.9869492154069364,60.00414285842023,60.00414285842023,1.3532594343296899e-09,1.7867323866535206e-18,2.7420192853717593e-05,0.03852273382828286
105,452,0.9893555069862334,0.010583710456188727,0.5009760374987585,0.8507419000676716,0.9872885954363646,59.5074624463395,59.5074624463395,1.3738799881390585e-09,1.8415484179976285e-18,6.078255757784902e-05,0.038370243492119815
105,453,0.989931364522185,0.010077288055572493,0.5084011500645542,0.8467783477671506,0.9876767181797022,59.01962202735339,59.01962202735339,1.4907326357598135e-09,2.168066402455365e-18,8.652577757490773e-06,0.03822561307158401
105,454,0.9904097233836243,0.009589023718015762,0.5156876440424947,0.842752959800702,0.9880112840807752,58.53718467418837,58.53718467418837,1.592087076384525e-09,2.4728570501553403e-18,1.252898359919638e-06,0.03807594870210729
105,455,0.9909086882750227,0.009104512511413821,0.5227949165791371,0.8387772954376875,0.9883632308735228,58.065449345488396,58.065449345488396,1.5202010847272882e-09,2.2545071096030418e-18,1.320078643647464e-05,0.03793108550644109
110,445,0.9806083753675937,0.019044450829752882,0.1942678587199403,0.9628188585999617,0.9822220499496862,78.5925936454295,78.5925936454295,8.826021114764645e-10,7.600925639898965e-19,0.00034717380265340825,0.03924798950139441
110,446,0.9812663209871221,0.01847063099212944,0.2067279337892425,0.9606538937998181,0.9826455832504015,77.85544012946492,77.85544012946492,9.304105521322936e-10,8.446681849276544e-19,0.00026304802074848463,0.0390932332863998
