case_type,candidate_physics_claim,absolute_candidate_efficiency_claim,wavelength_nm,T_total,R_total,closure,residual
corrected_blank_calibration,False,False,445.0,0.9767040658761833,0.020393400701506175,0.9970974665776895,0.002902533422310522
corrected_blank_calibration,False,False,445.99999999999994,0.9767138407897014,0.02040037336856913,0.9971142141582705,0.002885785841729511
corrected_blank_calibration,False,False,446.99999999999994,0.9767147395632688,0.020424331383307022,0.9971390709465758,0.002860929053424159
corrected_blank_calibration,False,False,448.00000000000006,0.9767098359027383,0.02045669023498004,0.9971665261377184,0.0028334738622816623
corrected_blank_calibration,False,False,449.0,0.976711294070272,0.020477890578983665,0.9971891846492557,0.0028108153507443168
corrected_blank_calibration,False,False,450.0,0.9767201049145585,0.020490590956797155,0.9972106958713557,0.0027893041286443272
corrected_blank_calibration,False,False,450.9999999999999,0.9767250041015216,0.02051344497434732,0.997238449075869,0.0027615509241310475
corrected_blank_calibration,False,False,451.99999999999994,0.9767207518378677,0.020549546580943802,0.9972702984188114,0.002729701581188536
corrected_blank_calibration,False,False,453.00000000000006,0.9767157441605989,0.020582820906132875,0.9972985650667318,0.002701434933268205
corrected_blank_calibration,False,False,453.9999999999999,0.9767179682485309,0.02060538364245011,0.997323351890981,0.002676648109019037
corrected_blank_calibration,False,False,455.00000000000006,0.9767225485397556,0.020629436798077813,0.9973519853378334,0.0026480146621665895
