case_type,candidate_physics_claim,absolute_candidate_efficiency_claim,wavelength_nm,n,u_x,normalized_power,absolute_power
corrected_blank_calibration,False,False,445.0,-3,-0.767241379310345,1.8850485029858212e-17,1.8411345372400644e-17
corrected_blank_calibration,False,False,445.0,-2,-0.5114942528735632,5.4719950915340615e-17,5.3445198543558355e-17
corrected_blank_calibration,False,False,445.0,-1,-0.2557471264367816,3.457960738081174e-18,3.3774043125240904e-18
corrected_blank_calibration,False,False,445.0,0,0.0,0.9999999999999999,0.9767040658761832
corrected_blank_calibration,False,False,445.0,1,0.2557471264367816,3.081858896155982e-18,3.0100641143322335e-18
corrected_blank_calibration,False,False,445.0,2,0.5114942528735632,4.9173147404949613e-17,4.802761300234318e-17
corrected_blank_calibration,False,False,445.0,3,0.767241379310345,2.2039609462189393e-17,2.1526176172043582e-17
corrected_blank_calibration,False,False,445.99999999999994,-3,-0.7689655172413793,2.0574016562644656e-17,2.0094926737371592e-17
corrected_blank_calibration,False,False,445.99999999999994,-2,-0.5126436781609195,5.839807383817962e-17,5.7038206993209e-17
corrected_blank_calibration,False,False,445.99999999999994,-1,-0.25632183908045975,5.483744405715745e-18,5.356049060415664e-18
corrected_blank_calibration,False,False,445.99999999999994,0,0.0,1.0,0.9767138407897014
corrected_blank_calibration,False,False,445.99999999999994,1,0.25632183908045975,2.7147532661813835e-18,2.6515370894084055e-18
corrected_blank_calibration,False,False,445.99999999999994,2,0.5126436781609195,4.441600646429657e-17,4.3381728266283304e-17
corrected_blank_calibration,False,False,445.99999999999994,3,0.7689655172413793,2.061420889449747e-17,2.0134183144185848e-17
corrected_blank_calibration,False,False,446.99999999999994,-3,-0.7706896551724137,1.946300938763889e-17,1.9009808145165174e-17
corrected_blank_calibration,False,False,446.99999999999994,-2,-0.5137931034482758,5.833717860014138e-17,5.697878220329298e-17
corrected_blank_calibration,False,False,446.99999999999994,-1,-0.2568965517241379,6.53982143945552e-18,6.38753999402808e-18
corrected_blank_calibration,False,False,446.99999999999994,0,0.0,0.9999999999999998,0.9767147395632686
corrected_blank_calibration,False,False,446.99999999999994,1,0.2568965517241379,3.942480564072462e-18,3.850678877371284e-18
corrected_blank_calibration,False,False,446.99999999999994,2,0.5137931034482758,4.3907586810759776e-17,4.288518721672285e-17
corrected_blank_calibration,False,False,446.99999999999994,3,0.7706896551724137,2.285231379038384e-17,2.2320191712192847e-17
