model,variant,order_profile_mae,order_profile_rmse,eta_plus1_mae,eta_plus1_rmse,eta_0_mae,eta_minus1_mae,per_order_mae,R_mae,R_rmse,T_mae,T_rmse,median_abs_error,P90_abs_error,max_abs_error,worst_geometry,worst_geometry_order_profile_mae,worst_geometry_polarization,worst_geometry_polarization_mae,per_geometry,per_wavelength,per_polarization,negative_power_violation_rate,R_legality_violation_rate,order_sum_T_mismatch_mae,energy_residual_mae,energy_residual_max,ranking_spearman,top3_recall,top5_recall,true_champion_geometry,true_champion_predicted_rank,near_champion_retrieval,pairwise_ordering_accuracy
LF_only,raw,0.04717230430459275,0.08548294430137562,0.10282003918447397,0.14777960764715947,0.07639677049390142,0.019497783759342052,"{'-3': 0.02712993237244607, '-2': 0.02058043391723134, '-1': 0.019497783759342052, '0': 0.07639677049390142, '1': 0.10282003918447397, '2': 0.056109611769491044, '3': 0.02767155863526335}",,,0.20682109346644195,0.24085048976853482,0.021091732701354796,0.13074999952783586,0.6557896290295082,K6X_D150_D205_D215_D220_D225_D230,0.08187879087397647,K6X_D135_D155_D190_D220_D225_D230_p,0.09614850047565339,"{'K6X_D100_D105_D110_D115_D190_D230': 0.029994526745244575, 'K6X_D100_D105_D115_D120_D125_D130': 0.015052012145008207, 'K6X_D100_D105_D115_D165_D225_D230': 0.05451606259363495, 'K6X_D100_D110_D115_D220_D225_D230': 0.03336736359715757, 'K6X_D100_D115_D130_D145_D155_D185': 0.024895104720165234, 'K6X_D100_D130_D135_D155_D160_D225': 0.04075903513976094, 'K6X_D100_D140_D145_D155_D225_D230': 0.049747275038546514, 'K6X_D100_D140_D165_D190_D225_D230': 0.0668610440657824, 'K6X_D100_D200_D205_D210_D215_D220': 0.058014558236379035, 'K6X_D105_D110_D115_D125_D165_D230': 0.04617065697818896, 'K6X_D105_D120_D125_D130_D165_D190': 0.03405784198380515, 'K6X_D110_D125_D135_D150_D175_D190': 0.03373226178707473, 'K6X_D110_D125_D135_D150_D175_D195': 0.03324857190252992, 'K6X_D110_D190_D210_D215_D220_D225': 0.05945078659821855, 'K6X_D120_D125_D180_D185_D190_D195': 0.027297120878768746, 'K6X_D120_D145_D200_D215_D220_D230': 0.07451680346832967, 'K6X_D125_D135_D150_D175_D190_D210': 0.036332746429062764, 'K6X_D130_D145_D155_D180_D195_D230': 0.024847446200025276, 'K6X_D135_D155_D190_D220_D225_D230': 0.07379924200714914, 'K6X_D140_D160_D165_D170_D180_D190': 0.07859126194206577, 'K6X_D150_D205_D215_D220_D225_D230': 0.08187879087397647, 'K6X_D200_D205_D215_D220_D225_D230': 0.06066018137016598}","{'445': 0.04776992379008924, '446': 0.04672547909654332, '447': 0.045223510332173276, '448': 0.045581971102739004, '449': 0.04592568615897495, '450': 0.046674804469906725, '451': 0.04740820313472239, '452': 0.048489584283537154, '453': 0.04791179258853952, '454': 0.0469390297691264, '455': 0.05024536262416828}","{'p': 0.05038357841488371, 's': 0.04396103019430179}",0.0,,0.0,,,0.961603613777527,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9307359307359307
LF_global_bias,raw,0.048715090403958355,0.07789343180360438,0.10007195794652829,0.12837911580863615,0.08170336182609002,0.020196669342885557,"{'-3': 0.030964229848897244, '-2': 0.021359496008590842, '-1': 0.020196669342885557, '0': 0.08170336182609002, '1': 0.10007195794652829, '2': 0.057269446124269735, '3': 0.029440471730446727}",0.09889386256270993,0.12602611770816885,0.10007707659712184,0.12702473067615452,0.027872730472620674,0.11597746924622906,0.5887534406667105,K6X_D150_D205_D215_D220_D225_D230,0.0794627760645432,K6X_D135_D155_D190_D220_D225_D230_p,0.09658999308462808,"{'K6X_D100_D105_D110_D115_D190_D230': 0.03690597552066772, 'K6X_D100_D105_D115_D120_D125_D130': 0.02821874984506094, 'K6X_D100_D105_D115_D165_D225_D230': 0.056769525172141906, 'K6X_D100_D110_D115_D220_D225_D230': 0.03415419212477564, 'K6X_D100_D115_D130_D145_D155_D185': 0.03445134849070048, 'K6X_D100_D130_D135_D155_D160_D225': 0.04263524489149389, 'K6X_D100_D140_D145_D155_D225_D230': 0.04055239165950846, 'K6X_D100_D140_D165_D190_D225_D230': 0.06012193364321387, 'K6X_D100_D200_D205_D210_D215_D220': 0.050880843710308064, 'K6X_D105_D110_D115_D125_D165_D230': 0.04889126357618104, 'K6X_D105_D120_D125_D130_D165_D190': 0.0335855029545087, 'K6X_D110_D125_D135_D150_D175_D190': 0.0427130564989882, 'K6X_D110_D125_D135_D150_D175_D195': 0.042307865352548144, 'K6X_D110_D190_D210_D215_D220_D225': 0.057943267785672825, 'K6X_D120_D125_D180_D185_D190_D195': 0.02582146570110634, 'K6X_D120_D145_D200_D215_D220_D230': 0.07266890818904201, 'K6X_D125_D135_D150_D175_D190_D210': 0.04446778501050883, 'K6X_D130_D145_D155_D180_D195_D230': 0.033580438615679636, 'K6X_D135_D155_D190_D220_D225_D230': 0.07214569374450111, 'K6X_D140_D160_D165_D170_D180_D190': 0.07105316591730834, 'K6X_D150_D205_D215_D220_D225_D230': 0.0794627760645432, 'K6X_D200_D205_D215_D220_D225_D230': 0.06240059441862429}","{'445': 0.04836542658755709, '446': 0.0474512444815475, '447': 0.04711529816077081, '448': 0.047479689762209315, '449': 0.04769373993245928, '450': 0.04899342439215341, '451': 0.049575598196566616, '452': 0.049446479119100294, '453': 0.04953226852863198, '454': 0.04788903183385117, '455': 0.052323793448694346}","{'p': 0.05189551038094593, 's': 0.04553467042697077}",0.3358913813459268,0.0,0.0,0.004220396706946589,0.004423535662959277,0.961603613777527,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9307359307359307
LF_affine,raw,0.049133755105161304,0.07753327404104214,0.10056089485244013,0.1283662283605827,0.08246574857726222,0.020592595545486734,"{'-3': 0.030254496676372828, '-2': 0.02163680546040845, '-1': 0.020592595545486734, '0': 0.08246574857726222, '1': 0.10056089485244013, '2': 0.05833655304250896, '3': 0.03008919158164977}",0.09922113178585217,0.12499518501009799,0.10092795351190173,0.12672959285164265,0.029445001197088462,0.1159711509116833,0.5831701063745834,K6X_D150_D205_D215_D220_D225_D230,0.07755250705220168,K6X_D135_D155_D190_D220_D225_D230_p,0.09788291610137326,"{'K6X_D100_D105_D110_D115_D190_D230': 0.03848948067587807, 'K6X_D100_D105_D115_D120_D125_D130': 0.03216959832423005, 'K6X_D100_D105_D115_D165_D225_D230': 0.054885577104825396, 'K6X_D100_D110_D115_D220_D225_D230': 0.03635530117665657, 'K6X_D100_D115_D130_D145_D155_D185': 0.03426047027759417, 'K6X_D100_D130_D135_D155_D160_D225': 0.0423839244231789, 'K6X_D100_D140_D145_D155_D225_D230': 0.044961381759695794, 'K6X_D100_D140_D165_D190_D225_D230': 0.059688309398831185, 'K6X_D100_D200_D205_D210_D215_D220': 0.05527728987314168, 'K6X_D105_D110_D115_D125_D165_D230': 0.04725523078187347, 'K6X_D105_D120_D125_D130_D165_D190': 0.03442572394089897, 'K6X_D110_D125_D135_D150_D175_D190': 0.04300639580156064, 'K6X_D110_D125_D135_D150_D175_D195': 0.04245339003046763, 'K6X_D110_D190_D210_D215_D220_D225': 0.05738726129124342, 'K6X_D120_D125_D180_D185_D190_D195': 0.027312219840095894, 'K6X_D120_D145_D200_D215_D220_D230': 0.06819349372144776, 'K6X_D125_D135_D150_D175_D190_D210': 0.04485616191140382, 'K6X_D130_D145_D155_D180_D195_D230': 0.03622651623824659, 'K6X_D135_D155_D190_D220_D225_D230': 0.07339254310944328, 'K6X_D140_D160_D165_D170_D180_D190': 0.06811360981969139, 'K6X_D150_D205_D215_D220_D225_D230': 0.07755250705220168, 'K6X_D200_D205_D215_D220_D225_D230': 0.06229622576094224}","{'445': 0.04810242064752229, '446': 0.04680291614606981, '447': 0.0464909840094558, '448': 0.04761443767126841, '449': 0.048067922559666465, '450': 0.04932651832734519, '451': 0.04974779110007147, '452': 0.04971448351166094, '453': 0.050029049058102605, '454': 0.04982079588306385, '455': 0.054753987242547444}","{'p': 0.05290325379044926, 's': 0.04536425641987334}",0.3090318772136954,0.0,0.0,0.0046206847124159916,0.01041476591526036,0.961603613777527,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9307359307359307
LF_ridge_residual,raw,0.03959545901098702,0.06452171117326119,0.07398736855721384,0.09918306366914303,0.08565414227322742,0.02837598849069312,"{'-3': 0.01061229151480554, '-2': 0.023056631568571538, '-1': 0.02837598849069312, '0': 0.08565414227322742, '1': 0.07398736855721384, '2': 0.037531545260553856, '3': 0.01795024541184385}",0.06626821074432244,0.08815430425298698,0.06893084369415708,0.09035531808294532,0.021224442318599678,0.1027625848231031,0.49151468265954873,K6X_D100_D140_D145_D155_D225_D230,0.061894112635653926,K6X_D135_D155_D190_D220_D225_D230_p,0.08120711297556162,"{'K6X_D100_D105_D110_D115_D190_D230': 0.0556067118695802, 'K6X_D100_D105_D115_D120_D125_D130': 0.03505134833326026, 'K6X_D100_D105_D115_D165_D225_D230': 0.03891050561746989, 'K6X_D100_D110_D115_D220_D225_D230': 0.05692218341903071, 'K6X_D100_D115_D130_D145_D155_D185': 0.017791268612888822, 'K6X_D100_D130_D135_D155_D160_D225': 0.05986584119925594, 'K6X_D100_D140_D145_D155_D225_D230': 0.061894112635653926, 'K6X_D100_D140_D165_D190_D225_D230': 0.04740145728665435, 'K6X_D100_D200_D205_D210_D215_D220': 0.04773287968158963, 'K6X_D105_D110_D115_D125_D165_D230': 0.03840447943406251, 'K6X_D105_D120_D125_D130_D165_D190': 0.023963579641790002, 'K6X_D110_D125_D135_D150_D175_D190': 0.02486575038357683, 'K6X_D110_D125_D135_D150_D175_D195': 0.02096251074894781, 'K6X_D110_D190_D210_D215_D220_D225': 0.033865986257687185, 'K6X_D120_D125_D180_D185_D190_D195': 0.03324375264154879, 'K6X_D120_D145_D200_D215_D220_D230': 0.05326703900206619, 'K6X_D125_D135_D150_D175_D190_D210': 0.011623254510533516, 'K6X_D130_D145_D155_D180_D195_D230': 0.028215745498965078, 'K6X_D135_D155_D190_D220_D225_D230': 0.0537606396025791, 'K6X_D140_D160_D165_D170_D180_D190': 0.04433320569059819, 'K6X_D150_D205_D215_D220_D225_D230': 0.041963071341670745, 'K6X_D200_D205_D215_D220_D225_D230': 0.04145477483230483}","{'445': 0.03781875003830322, '446': 0.03647200675302162, '447': 0.03615357593694529, '448': 0.03814167784587727, '449': 0.03973171177711194, '450': 0.0419022792208629, '451': 0.04195847508296743, '452': 0.04141871592125849, '453': 0.040226834197185826, '454': 0.03966150200868183, '455': 0.042064520338641435}","{'p': 0.04050518795928447, 's': 0.03868573006268958}",0.08913813459268005,0.0,0.0,0.017388204208004417,0.07293284068093486,0.9503105590062113,0.6666666666666666,1.0,K6X_D130_D145_D155_D180_D195_D230,5,2,0.9177489177489178
LF_paired_shared_contrast,raw,0.04062166824566548,0.06690317078599287,0.07804380893632425,0.10537390539226832,0.08592697553817982,0.0287777496817402,"{'-3': 0.012475289897259614, '-2': 0.022655770931268308, '-1': 0.0287777496817402, '0': 0.08592697553817982, '1': 0.07804380893632425, '2': 0.037089161304066934, '3': 0.019382921430819253}",0.06626821074432243,0.08815430425298694,0.06220102822862851,0.08571935951150306,0.021637525643391525,0.10277011403628386,0.4851134854320377,K6X_D100_D130_D135_D155_D160_D225,0.061055677645861624,K6X_D100_D105_D110_D115_D190_D230_p,0.07409002819030851,"{'K6X_D100_D105_D110_D115_D190_D230': 0.056438731658767755, 'K6X_D100_D105_D115_D120_D125_D130': 0.04013062216312805, 'K6X_D100_D105_D115_D165_D225_D230': 0.03900017013705501, 'K6X_D100_D110_D115_D220_D225_D230': 0.05800208181144393, 'K6X_D100_D115_D130_D145_D155_D185': 0.015687060236326406, 'K6X_D100_D130_D135_D155_D160_D225': 0.061055677645861624, 'K6X_D100_D140_D145_D155_D225_D230': 0.056492102949293826, 'K6X_D100_D140_D165_D190_D225_D230': 0.05125895900267117, 'K6X_D100_D200_D205_D210_D215_D220': 0.04312061216631578, 'K6X_D105_D110_D115_D125_D165_D230': 0.04366946635506735, 'K6X_D105_D120_D125_D130_D165_D190': 0.022897981261853825, 'K6X_D110_D125_D135_D150_D175_D190': 0.022298879984472057, 'K6X_D110_D125_D135_D150_D175_D195': 0.018029690228663138, 'K6X_D110_D190_D210_D215_D220_D225': 0.02972111081058865, 'K6X_D120_D125_D180_D185_D190_D195': 0.02862622315569283, 'K6X_D120_D145_D200_D215_D220_D230': 0.05356009558664913, 'K6X_D125_D135_D150_D175_D190_D210': 0.012462066953428129, 'K6X_D130_D145_D155_D180_D195_D230': 0.033243194124307665, 'K6X_D135_D155_D190_D220_D225_D230': 0.05181797072667552, 'K6X_D140_D160_D165_D170_D180_D190': 0.05312359515057293, 'K6X_D150_D205_D215_D220_D225_D230': 0.057518079683106973, 'K6X_D200_D205_D215_D220_D225_D230': 0.04552232961269889}","{'445': 0.03916421975818542, '446': 0.036834452998346326, '447': 0.03748232717644658, '448': 0.03826499724526843, '449': 0.03949871444111208, '450': 0.04148543483076396, '451': 0.04272084619131138, '452': 0.04318482716233617, '453': 0.04189563076526687, '454': 0.04201181161457112, '455': 0.04429508851871197}","{'p': 0.043960443102592894, 's': 0.03728289338873807}",0.10478158205430933,0.0,0.0,0.04728204576989283,0.23909284087331095,0.9503105590062113,0.6666666666666666,1.0,K6X_D130_D145_D155_D180_D195_D230,5,2,0.9177489177489178
corrected_residual_mlp,raw,0.04585997623743484,0.0789523066337399,0.08366745811930203,0.11381344700266247,0.10906352189300028,0.025413517840081754,"{'-3': 0.014794464342979815, '-2': 0.023991124524316197, '-1': 0.025413517840081754, '0': 0.10906352189300028, '1': 0.08366745811930203, '2': 0.041471472689568946, '3': 0.0226182742527948}",0.061018126478860055,0.08373488687139968,0.07621492440363181,0.10443020655600604,0.023706187196138262,0.1124882982487194,0.5175274678638251,K6X_D100_D110_D115_D220_D225_D230,0.11001911566174276,K6X_D100_D110_D115_D220_D225_D230_s,0.11259521660162773,"{'K6X_D100_D105_D110_D115_D190_D230': 0.059174280356917894, 'K6X_D100_D105_D115_D120_D125_D130': 0.051909337963019976, 'K6X_D100_D105_D115_D165_D225_D230': 0.03969692372425738, 'K6X_D100_D110_D115_D220_D225_D230': 0.11001911566174276, 'K6X_D100_D115_D130_D145_D155_D185': 0.015359510284066385, 'K6X_D100_D130_D135_D155_D160_D225': 0.07755134489387674, 'K6X_D100_D140_D145_D155_D225_D230': 0.07609497805135208, 'K6X_D100_D140_D165_D190_D225_D230': 0.05348601704127229, 'K6X_D100_D200_D205_D210_D215_D220': 0.037287325445489156, 'K6X_D105_D110_D115_D125_D165_D230': 0.04347729458212757, 'K6X_D105_D120_D125_D130_D165_D190': 0.029817931344659817, 'K6X_D110_D125_D135_D150_D175_D190': 0.016672641613077202, 'K6X_D110_D125_D135_D150_D175_D195': 0.011863117976626753, 'K6X_D110_D190_D210_D215_D220_D225': 0.030701059924573077, 'K6X_D120_D125_D180_D185_D190_D195': 0.04036804703378081, 'K6X_D120_D145_D200_D215_D220_D230': 0.04518490166152504, 'K6X_D125_D135_D150_D175_D190_D210': 0.011589458560364304, 'K6X_D130_D145_D155_D180_D195_D230': 0.03625030772381089, 'K6X_D135_D155_D190_D220_D225_D230': 0.06310365373625798, 'K6X_D140_D160_D165_D170_D180_D190': 0.05357146694736223, 'K6X_D150_D205_D215_D220_D225_D230': 0.05380122716230117, 'K6X_D200_D205_D215_D220_D225_D230': 0.05193953553510485}","{'445': 0.04234299246736034, '446': 0.04144590429623146, '447': 0.04112858570852075, '448': 0.04203033877213039, '449': 0.04320154570536873, '450': 0.04377320000256005, '451': 0.04643031836050335, '452': 0.048850479500150826, '453': 0.05093736459884701, '454': 0.05139729144155318, '455': 0.05292171775855711}","{'p': 0.04791402963451283, 's': 0.04380592284035684}",0.11511216056670602,0.0,0.0,0.032504918542137363,0.2500185134510199,0.9503105590062113,0.6666666666666666,1.0,K6X_D130_D145_D155_D180_D195_D230,5,2,0.9090909090909091
direct_mlp,raw,0.060588731565287844,0.11090297749548306,0.1083770683050214,0.15349852073551934,0.15431807854195606,0.03674705127902406,"{'-3': 0.015889047967227937, '-2': 0.02724275938785937, '-1': 0.03674705127902406, '0': 0.15431807854195606, '1': 0.1083770683050214, '2': 0.05431083721635692, '3': 0.027236278259569237}",0.05865543395907957,0.08253638988052128,0.19481844901460094,0.2466019603139526,0.028503150676811414,0.15119447388471838,0.5760200226399333,K6X_D100_D105_D115_D120_D125_D130,0.13743044829211798,K6X_D100_D105_D115_D120_D125_D130_s,0.15549378754134915,"{'K6X_D100_D105_D110_D115_D190_D230': 0.04564442370976068, 'K6X_D100_D105_D115_D120_D125_D130': 0.13743044829211798, 'K6X_D100_D105_D115_D165_D225_D230': 0.0653836779373635, 'K6X_D100_D110_D115_D220_D225_D230': 0.09645061648976948, 'K6X_D100_D115_D130_D145_D155_D185': 0.04653886097979565, 'K6X_D100_D130_D135_D155_D160_D225': 0.053001990237004346, 'K6X_D100_D140_D145_D155_D225_D230': 0.08387601238538656, 'K6X_D100_D140_D165_D190_D225_D230': 0.06380010901798747, 'K6X_D100_D200_D205_D210_D215_D220': 0.023784708394795975, 'K6X_D105_D110_D115_D125_D165_D230': 0.060257337824238914, 'K6X_D105_D120_D125_D130_D165_D190': 0.05295301155963719, 'K6X_D110_D125_D135_D150_D175_D190': 0.025511863977603206, 'K6X_D110_D125_D135_D150_D175_D195': 0.020920146850693898, 'K6X_D110_D190_D210_D215_D220_D225': 0.03317145219101695, 'K6X_D120_D125_D180_D185_D190_D195': 0.09059250894973982, 'K6X_D120_D145_D200_D215_D220_D230': 0.06452908021916043, 'K6X_D125_D135_D150_D175_D190_D210': 0.013348063192321609, 'K6X_D130_D145_D155_D180_D195_D230': 0.028670569733388006, 'K6X_D135_D155_D190_D220_D225_D230': 0.06216131670665317, 'K6X_D140_D160_D165_D170_D180_D190': 0.09411379218677249, 'K6X_D150_D205_D215_D220_D225_D230': 0.08572479698294036, 'K6X_D200_D205_D215_D220_D225_D230': 0.08508730661818517}","{'445': 0.062305026203006215, '446': 0.06184910654698285, '447': 0.060903687710950775, '448': 0.06059035900975949, '449': 0.06083965121621092, '450': 0.05991554188060645, '451': 0.060375725127403704, '452': 0.05936714142442933, '453': 0.05897232037361957, '454': 0.05963179390909683, '455': 0.06172569381610027}","{'p': 0.05832819564574941, 's': 0.06284926748482629}",0.0,0.0,0.0,0.18977900231583475,0.523123831310876,0.8949745906267645,0.3333333333333333,0.8,K6X_D130_D145_D155_D180_D195_D230,5,1,0.8484848484848485
resmlp,raw,0.05220053354609016,0.09338960746480089,0.1121005067874771,0.15830356198950032,0.11872501760154305,0.041933373754491826,"{'-3': 0.012888187730284538, '-2': 0.022317319832142864, '-1': 0.041933373754491826, '0': 0.11872501760154305, '1': 0.1121005067874771, '2': 0.03448845085850244, '3': 0.022950878258189276}",0.058961770256913,0.08077437418426901,0.09621760172314868,0.12423614075741174,0.02382922847875753,0.13810621089002897,0.6670330064822232,K6X_D100_D110_D115_D220_D225_D230,0.1233460145435053,K6X_D140_D160_D165_D170_D180_D190_s,0.15703495211017401,"{'K6X_D100_D105_D110_D115_D190_D230': 0.03839354172658021, 'K6X_D100_D105_D115_D120_D125_D130': 0.05166178469537438, 'K6X_D100_D105_D115_D165_D225_D230': 0.040287409808587214, 'K6X_D100_D110_D115_D220_D225_D230': 0.1233460145435053, 'K6X_D100_D115_D130_D145_D155_D185': 0.035609106151311895, 'K6X_D100_D130_D135_D155_D160_D225': 0.053851663135265494, 'K6X_D100_D140_D145_D155_D225_D230': 0.06498213222668077, 'K6X_D100_D140_D165_D190_D225_D230': 0.047479695480310655, 'K6X_D100_D200_D205_D210_D215_D220': 0.025947260007455057, 'K6X_D105_D110_D115_D125_D165_D230': 0.057732408050325805, 'K6X_D105_D120_D125_D130_D165_D190': 0.049841736865335586, 'K6X_D110_D125_D135_D150_D175_D190': 0.026981915858843304, 'K6X_D110_D125_D135_D150_D175_D195': 0.022345885962036526, 'K6X_D110_D190_D210_D215_D220_D225': 0.03452238976802296, 'K6X_D120_D125_D180_D185_D190_D195': 0.08017101075610208, 'K6X_D120_D145_D200_D215_D220_D230': 0.0537448510409726, 'K6X_D125_D135_D150_D175_D190_D210': 0.01331728270291464, 'K6X_D130_D145_D155_D180_D195_D230': 0.03641483852887454, 'K6X_D135_D155_D190_D220_D225_D230': 0.05020512478244607, 'K6X_D140_D160_D165_D170_D180_D190': 0.1156382925547506, 'K6X_D150_D205_D215_D220_D225_D230': 0.07191197828703888, 'K6X_D200_D205_D215_D220_D225_D230': 0.054025415081248855}","{'445': 0.055334246430052615, '446': 0.05456197984076046, '447': 0.05324988430933695, '448': 0.05272783922287003, '449': 0.052571033754018004, '450': 0.05048165272730906, '451': 0.05127264228468052, '452': 0.05112800144990671, '453': 0.05097499443287403, '454': 0.05045560398854089, '455': 0.051447990566642454}","{'p': 0.050759768533146656, 's': 0.05364129855903365}",0.0,0.0,0.0,0.06374006178869789,0.2822176336097377,0.8825522303783175,0.3333333333333333,0.6,K6X_D130_D145_D155_D180_D195_D230,6,0,0.8441558441558441
circular_cnn,raw,0.044678952907849186,0.07324021218677672,0.07220116628663456,0.1051519383801907,0.0894893527505462,0.035576168794639415,"{'-3': 0.014730591318709532, '-2': 0.026512746901118725, '-1': 0.035576168794639415, '0': 0.0894893527505462, '1': 0.07220116628663456, '2': 0.04742206457328359, '3': 0.026820579730012305}",0.06221050685099664,0.085561959242924,0.16031418172693954,0.19183963822923314,0.023150029224648087,0.11515660708865733,0.40692337990792504,K6X_D100_D140_D145_D155_D225_D230,0.12182611569684977,K6X_D100_D140_D145_D155_D225_D230_p,0.12661484645667043,"{'K6X_D100_D105_D110_D115_D190_D230': 0.044541338070955803, 'K6X_D100_D105_D115_D120_D125_D130': 0.032062062811804334, 'K6X_D100_D105_D115_D165_D225_D230': 0.06479102361289052, 'K6X_D100_D110_D115_D220_D225_D230': 0.020410539761051255, 'K6X_D100_D115_D130_D145_D155_D185': 0.020982135028599788, 'K6X_D100_D130_D135_D155_D160_D225': 0.06078876379182763, 'K6X_D100_D140_D145_D155_D225_D230': 0.12182611569684977, 'K6X_D100_D140_D165_D190_D225_D230': 0.06461183024000684, 'K6X_D100_D200_D205_D210_D215_D220': 0.029376298623508386, 'K6X_D105_D110_D115_D125_D165_D230': 0.051498324486448734, 'K6X_D105_D120_D125_D130_D165_D190': 0.02434634402374304, 'K6X_D110_D125_D135_D150_D175_D190': 0.01847906717594648, 'K6X_D110_D125_D135_D150_D175_D195': 0.015634076023613292, 'K6X_D110_D190_D210_D215_D220_D225': 0.03251272470903198, 'K6X_D120_D125_D180_D185_D190_D195': 0.06265106868059646, 'K6X_D120_D145_D200_D215_D220_D230': 0.056745182683226474, 'K6X_D125_D135_D150_D175_D190_D210': 0.016846119148537685, 'K6X_D130_D145_D155_D180_D195_D230': 0.05093043507576125, 'K6X_D135_D155_D190_D220_D225_D230': 0.053292335551044956, 'K6X_D140_D160_D165_D170_D180_D190': 0.045744614033350874, 'K6X_D150_D205_D215_D220_D225_D230': 0.05369507298245926, 'K6X_D200_D205_D215_D220_D225_D230': 0.041171491761427426}","{'445': 0.044320233266652284, '446': 0.04329250340620995, '447': 0.04360096918036675, '448': 0.04469461886022541, '449': 0.04608537996239908, '450': 0.044740604867559215, '451': 0.04403451883421697, '452': 0.04451503779039026, '453': 0.044954193909470815, '454': 0.04478830687487226, '455': 0.04644211503397813}","{'p': 0.04580336083316822, 's': 0.04355454498253015}",0.0,0.0,0.0,0.1510533637254561,0.396271248961143,0.9390175042348957,0.3333333333333333,0.8,K6X_D130_D145_D155_D180_D195_D230,6,1,0.8917748917748918
