geometry_id,role,model,M9_oof_broadband_eta_plus1,HF22_truth_broadband_eta_plus1,absolute_error,selection_time_frozen_before_HF
K6X_D100_D140_D165_D190_D225_D230,TAIL-LOCALIZATION,LF_only,0.40846148946068506,0.29505326159413714,0.11340822786654792,True
K6X_D100_D140_D165_D190_D225_D230,TAIL-LOCALIZATION,LF_global_bias,0.3313645633224333,0.29505326159413714,0.036311301728296164,True
K6X_D100_D140_D165_D190_D225_D230,TAIL-LOCALIZATION,LF_affine,0.3313645633224332,0.29505326159413714,0.03631130172829605,True
K6X_D100_D140_D165_D190_D225_D230,TAIL-LOCALIZATION,LF_ridge_residual,0.2605074041997518,0.29505326159413714,0.034545857394385315,True
K6X_D100_D140_D165_D190_D225_D230,TAIL-LOCALIZATION,LF_paired_shared_contrast,0.26052513662697957,0.29505326159413714,0.03452812496715757,True
K6X_D100_D140_D165_D190_D225_D230,TAIL-LOCALIZATION,corrected_residual_mlp,0.23309117849126001,0.29505326159413714,0.061962083102877125,True
K6X_D100_D140_D165_D190_D225_D230,TAIL-LOCALIZATION,direct_mlp,0.20225272530859167,0.29505326159413714,0.09280053628554547,True
K6X_D100_D140_D165_D190_D225_D230,TAIL-LOCALIZATION,resmlp,0.14962500311208493,0.29505326159413714,0.1454282584820522,True
K6X_D100_D140_D165_D190_D225_D230,TAIL-LOCALIZATION,circular_cnn,0.4114378216591748,0.29505326159413714,0.11638456006503767,True
K6X_D105_D110_D115_D125_D165_D230,RANKING-DISAMBIGUATION,LF_only,0.2184781161221591,0.247279883614823,0.028801767492663916,True
K6X_D105_D110_D115_D125_D165_D230,RANKING-DISAMBIGUATION,LF_global_bias,0.13460928544299244,0.247279883614823,0.11267059817183056,True
K6X_D105_D110_D115_D125_D165_D230,RANKING-DISAMBIGUATION,LF_affine,0.13460928544299242,0.247279883614823,0.11267059817183059,True
K6X_D105_D110_D115_D125_D165_D230,RANKING-DISAMBIGUATION,LF_ridge_residual,0.30290533810178955,0.247279883614823,0.05562545448696654,True
K6X_D105_D110_D115_D125_D165_D230,RANKING-DISAMBIGUATION,LF_paired_shared_contrast,0.30285743738052623,0.247279883614823,0.055577553765703225,True
K6X_D105_D110_D115_D125_D165_D230,RANKING-DISAMBIGUATION,corrected_residual_mlp,0.23609057520375104,0.247279883614823,0.011189308411071963,True
K6X_D105_D110_D115_D125_D165_D230,RANKING-DISAMBIGUATION,direct_mlp,0.11366455606890447,0.247279883614823,0.13361532754591854,True
K6X_D105_D110_D115_D125_D165_D230,RANKING-DISAMBIGUATION,resmlp,0.062214879657734534,0.247279883614823,0.18506500395708847,True
K6X_D105_D110_D115_D125_D165_D230,RANKING-DISAMBIGUATION,circular_cnn,0.13385693378972285,0.247279883614823,0.11342294982510015,True
