model,geometry_id,M8_order_profile_mae,M9_order_profile_mae,delta_M9_minus_M8,M8_eta_plus1_mae,M9_eta_plus1_mae,delta_eta_plus1
LF_only,K6X_D100_D105_D110_D115_D190_D230,0.029994526745244575,0.029994526745244575,0.0,0.029538206705342792,0.029538206705342792,0.0
LF_only,K6X_D100_D105_D115_D120_D125_D130,0.015052012145008207,0.015052012145008207,0.0,0.030651608710942056,0.030651608710942056,0.0
LF_only,K6X_D100_D105_D115_D165_D225_D230,0.05451606259363495,0.05451606259363495,0.0,0.01898920015273114,0.01898920015273114,0.0
LF_only,K6X_D100_D110_D115_D220_D225_D230,0.03336736359715757,0.03336736359715757,0.0,0.024815235989050798,0.024815235989050798,0.0
LF_only,K6X_D100_D115_D130_D145_D155_D185,0.024895104720165234,0.024895104720165234,0.0,0.13659494277401588,0.13659494277401588,0.0
LF_only,K6X_D100_D130_D135_D155_D160_D225,0.04075903513976094,0.04075903513976094,0.0,0.17330626524269246,0.17330626524269246,0.0
LF_only,K6X_D100_D140_D145_D155_D225_D230,0.049747275038546514,0.049747275038546514,0.0,0.11846842618104457,0.11846842618104457,0.0
LF_only,K6X_D100_D200_D205_D210_D215_D220,0.058014558236379035,0.058014558236379035,0.0,0.04436394353620144,0.04436394353620144,0.0
LF_only,K6X_D105_D120_D125_D130_D165_D190,0.03405784198380515,0.03405784198380515,0.0,0.07257430968552399,0.07257430968552399,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D190,0.03373226178707473,0.03373226178707473,0.0,0.1846813675863565,0.1846813675863565,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D195,0.03324857190252992,0.03324857190252992,0.0,0.17772398740961243,0.17772398740961243,0.0
LF_only,K6X_D110_D190_D210_D215_D220_D225,0.05945078659821855,0.05945078659821855,0.0,0.015752211341876626,0.015752211341876626,0.0
LF_only,K6X_D120_D125_D180_D185_D190_D195,0.027297120878768746,0.027297120878768746,0.0,0.10253674943661538,0.10253674943661538,0.0
LF_only,K6X_D120_D145_D200_D215_D220_D230,0.07451680346832967,0.07451680346832967,0.0,0.07368519840959226,0.07368519840959226,0.0
LF_only,K6X_D125_D135_D150_D175_D190_D210,0.036332746429062764,0.036332746429062764,0.0,0.20635053389203473,0.20635053389203473,0.0
LF_only,K6X_D130_D145_D155_D180_D195_D230,0.024847446200025276,0.024847446200025276,0.0,0.13723750567935633,0.13723750567935633,0.0
LF_only,K6X_D135_D155_D190_D220_D225_D230,0.07379924200714914,0.07379924200714914,0.0,0.32468372115108685,0.32468372115108685,0.0
LF_only,K6X_D140_D160_D165_D170_D180_D190,0.07859126194206577,0.07859126194206577,0.0,0.12114530250669762,0.12114530250669762,0.0
LF_only,K6X_D150_D205_D215_D220_D225_D230,0.08187879087397647,0.08187879087397647,0.0,0.061683935423750384,0.061683935423750384,0.0
LF_only,K6X_D200_D205_D215_D220_D225_D230,0.06066018137016598,0.06066018137016598,0.0,0.026939250029962666,0.026939250029962666,0.0
