geometry_id,polarization,wavelength_nm,order_n,hf_minus_lf
K6X_D200_D205_D215_D220_D225_D230,p,445,-3,-0.05402294316499503
K6X_D200_D205_D215_D220_D225_D230,p,445,-2,0.01720080352798338
K6X_D200_D205_D215_D220_D225_D230,p,445,-1,-0.08694405892432873
K6X_D200_D205_D215_D220_D225_D230,p,445,0,0.07007899478788504
K6X_D200_D205_D215_D220_D225_D230,p,445,1,-0.026459990455630328
K6X_D200_D205_D215_D220_D225_D230,p,445,2,-0.06568511277454481
K6X_D200_D205_D215_D220_D225_D230,p,445,3,-0.051446347575875025
K6X_D200_D205_D215_D220_D225_D230,p,446,-3,-0.0649042520911606
K6X_D200_D205_D215_D220_D225_D230,p,446,-2,0.0038701184221450677
K6X_D200_D205_D215_D220_D225_D230,p,446,-1,-0.06725444952653638
K6X_D200_D205_D215_D220_D225_D230,p,446,0,0.16301653219332002
K6X_D200_D205_D215_D220_D225_D230,p,446,1,-0.037971903999633995
K6X_D200_D205_D215_D220_D225_D230,p,446,2,-0.13732923681146725
K6X_D200_D205_D215_D220_D225_D230,p,446,3,-0.0656374095945706
K6X_D200_D205_D215_D220_D225_D230,p,447,-3,-0.08182265195153803
K6X_D200_D205_D215_D220_D225_D230,p,447,-2,0.007892911756258763
K6X_D200_D205_D215_D220_D225_D230,p,447,-1,0.006331546411418936
K6X_D200_D205_D215_D220_D225_D230,p,447,0,0.058842541011585925
K6X_D200_D205_D215_D220_D225_D230,p,447,1,-0.059074768233385595
K6X_D200_D205_D215_D220_D225_D230,p,447,2,-0.06277739995565491
K6X_D200_D205_D215_D220_D225_D230,p,447,3,-0.08463216829469802
K6X_D200_D205_D215_D220_D225_D230,p,448,-3,-0.013482828211643384
K6X_D200_D205_D215_D220_D225_D230,p,448,-2,-0.026710533574522882
K6X_D200_D205_D215_D220_D225_D230,p,448,-1,-0.0024102508198708406
K6X_D200_D205_D215_D220_D225_D230,p,448,0,-0.17126449526455667
K6X_D200_D205_D215_D220_D225_D230,p,448,1,-0.003508019188104476
K6X_D200_D205_D215_D220_D225_D230,p,448,2,-0.01698936333113267
K6X_D200_D205_D215_D220_D225_D230,p,448,3,-0.017672102399733384
K6X_D200_D205_D215_D220_D225_D230,p,449,-3,-0.001827877326552544
K6X_D200_D205_D215_D220_D225_D230,p,449,-2,-0.037690592697414274
K6X_D200_D205_D215_D220_D225_D230,p,449,-1,-0.002946372079472164
K6X_D200_D205_D215_D220_D225_D230,p,449,0,-0.1966650270286343
K6X_D200_D205_D215_D220_D225_D230,p,449,1,0.0009014774103018664
K6X_D200_D205_D215_D220_D225_D230,p,449,2,-0.02427758693887279
K6X_D200_D205_D215_D220_D225_D230,p,449,3,-0.005545848116752544
K6X_D200_D205_D215_D220_D225_D230,p,450,-3,0.007588968908512125
K6X_D200_D205_D215_D220_D225_D230,p,450,-2,-0.03978446906668188
K6X_D200_D205_D215_D220_D225_D230,p,450,-1,0.010772926695920088
K6X_D200_D205_D215_D220_D225_D230,p,450,0,-0.2481418779329163
K6X_D200_D205_D215_D220_D225_D230,p,450,1,0.014525487040099866
K6X_D200_D205_D215_D220_D225_D230,p,450,2,-0.024209207588756665
K6X_D200_D205_D215_D220_D225_D230,p,450,3,-0.0005698164445878742
K6X_D200_D205_D215_D220_D225_D230,p,451,-3,0.0027565729541728194
K6X_D200_D205_D215_D220_D225_D230,p,451,-2,-0.030913054029487387
K6X_D200_D205_D215_D220_D225_D230,p,451,-1,0.0026475418035978235
K6X_D200_D205_D215_D220_D225_D230,p,451,0,-0.20332435308826924
K6X_D200_D205_D215_D220_D225_D230,p,451,1,0.021013159442000363
K6X_D200_D205_D215_D220_D225_D230,p,451,2,-0.042261710799323185
K6X_D200_D205_D215_D220_D225_D230,p,451,3,-0.00336935895879718
K6X_D200_D205_D215_D220_D225_D230,p,452,-3,0.030378329973719927
K6X_D200_D205_D215_D220_D225_D230,p,452,-2,0.0029794457497295534
K6X_D200_D205_D215_D220_D225_D230,p,452,-1,0.0058065920536173946
K6X_D200_D205_D215_D220_D225_D230,p,452,0,-0.615009891654845
K6X_D200_D205_D215_D220_D225_D230,p,452,1,-0.004847975544699694
K6X_D200_D205_D215_D220_D225_D230,p,452,2,-0.048516895959516984
K6X_D200_D205_D215_D220_D225_D230,p,452,3,0.012184548745219924
K6X_D200_D205_D215_D220_D225_D230,p,453,-3,-0.004136944039278074
K6X_D200_D205_D215_D220_D225_D230,p,453,-2,-0.00906964008428773
K6X_D200_D205_D215_D220_D225_D230,p,453,-1,-0.06886084137175937
