geometry_id,wavelength_nm,true_delta_eta_plus1,true_abs_delta_eta_plus1,pred_delta_eta_plus1__LF_only,pred_delta_eta_plus1__LF_global_bias,pred_delta_eta_plus1__LF_affine,pred_delta_eta_plus1__LF_ridge_residual,pred_delta_eta_plus1__LF_paired_shared_contrast,pred_delta_eta_plus1__corrected_residual_mlp,pred_delta_eta_plus1__direct_mlp,pred_delta_eta_plus1__resmlp,pred_delta_eta_plus1__circular_cnn
K6X_D100_D105_D110_D115_D190_D230,445,-0.036772253530208715,0.036772253530208715,0.0,0.0,-0.034574965606272726,-0.034574591796566745,0.03637940034805742,-0.04150865226984024,0.01783318569262822,0.02020247280597686,0.04315186043580374
K6X_D100_D105_D110_D115_D190_D230,446,0.03895691890468957,0.03895691890468957,0.0,0.0,-0.034574965606272705,-0.03457459179656677,0.04272317662669482,-0.048188479617238045,0.01911599934101104,0.021703602125247315,0.04327605664730072
K6X_D100_D105_D110_D115_D190_D230,447,-0.0010451830637122975,0.0010451830637122975,0.0,0.0,-0.03457496560627271,-0.034574591796566745,0.049054160804637606,-0.05495577243467172,0.020386991401513413,0.02334128692746163,0.04340050121148427
K6X_D100_D105_D110_D115_D190_D230,448,-0.011737232210958036,0.011737232210958036,0.0,0.0,-0.034574965606272726,-0.034574591796566745,0.055385625366298735,-0.061580669755736984,0.02162957936525345,0.025086287409067154,0.04352523138125737
K6X_D100_D105_D110_D115_D190_D230,449,-0.015028845854137753,0.015028845854137753,0.0,0.0,-0.03457496560627272,-0.03457459179656673,0.0617227969504902,-0.06778255974253018,0.022822696715593338,0.026881951838731766,0.043650199969609574
K6X_D100_D105_D110_D115_D190_D230,450,-0.019137805748665214,0.019137805748665214,0.0,0.0,-0.03457496560627271,-0.034574591796566786,0.06806489406062441,-0.0732924702266852,0.02394265929857889,0.02864510814348857,0.04377544422944388
K6X_D100_D105_D110_D115_D190_D230,451,-0.021224270250189844,0.021224270250189844,0.0,0.0,-0.03457496560627272,-0.03457459179656673,0.07442342039044124,-0.07780325412750244,0.024965398013591766,0.030275034407774598,0.04390091200669606
K6X_D100_D105_D110_D115_D190_D230,452,-0.01676169148173893,0.01676169148173893,0.0,0.0,-0.034574965606272726,-0.03457459179656673,0.0807845157239027,-0.0810617171227932,0.025868244469165802,0.03167042136192322,0.04402664055426915
K6X_D100_D105_D110_D115_D190_D230,453,-0.004119974025575554,0.004119974025575554,0.0,0.0,-0.03457496560627271,-0.03457459179656673,0.08716161193926357,-0.082833394408226,0.026633240282535553,0.03275177627801895,0.044152664641539247
K6X_D100_D105_D110_D115_D190_D230,454,-0.005851691987293434,0.005851691987293434,0.0,0.0,-0.034574965606272726,-0.034574591796566745,0.09355047381915509,-0.08296828468640645,0.027249130109945938,0.03348243484894435,0.0442789023121198
K6X_D100_D105_D110_D115_D190_D230,455,-0.013746897423208115,0.013746897423208115,0.0,0.0,-0.034574965606272726,-0.034574591796566745,0.09995854929449881,-0.08144233872493108,0.027713363369305924,0.03388106574614842,0.04440544794003168
K6X_D100_D105_D115_D120_D125_D130,445,-0.0016850975300000126,0.0016850975300000126,0.0,0.0,-0.03494173337433798,-0.03494135559929612,-0.09219648882830755,-0.10345376531283063,-0.2682598332564036,-0.025567454596360534,0.06774936368068057
K6X_D100_D105_D115_D120_D125_D130,446,-0.0018718825769999947,0.0018718825769999947,0.0,0.0,-0.03494173337433795,-0.03494135559929623,-0.0853523975705423,-0.09730161726474762,-0.26286662618319195,-0.025376969327529267,0.06798048069079715
K6X_D100_D105_D115_D120_D125_D130,447,-0.0020360951610000066,0.0020360951610000066,0.0,0.0,-0.03494173337433798,-0.03494135559929612,-0.07861211462318635,-0.09132130444049835,-0.2569493552049001,-0.025285188108682646,0.06821120778719586
K6X_D100_D105_D115_D120_D125_D130,448,-0.0019030725999999998,0.0019030725999999998,0.0,0.0,-0.03494173337433798,-0.03494135559929612,-0.07192320763356802,-0.08528799315293628,-0.25052540500958764,-0.025256259987751647,0.06844169894854227
K6X_D100_D105_D115_D120_D125_D130,449,-0.0019115757889999752,0.0019115757889999752,0.0,0.0,-0.03494173337433795,-0.03494135559929612,-0.06520764578002514,-0.07962357004483545,-0.24359393119812006,-0.025231578697760895,0.06867186476786932
K6X_D100_D105_D115_D120_D125_D130,450,-0.0020671192649999726,0.0020671192649999726,0.0,0.0,-0.03494173337433798,-0.034941355599296176,-0.058628761985013766,-0.07388255000114441,-0.23613852262496948,-0.025129107137521117,0.06890173504749933
K6X_D100_D105_D115_D120_D125_D130,451,-0.002000505396999974,0.002000505396999974,0.0,0.0,-0.03494173337433798,-0.03494135559929612,-0.05195149464571902,-0.06848702828089398,-0.22813730438550311,-0.024848180512587234,0.06913133213917413
K6X_D100_D105_D115_D120_D125_D130,452,-0.0019332358820000062,0.0019332358820000062,0.0,0.0,-0.03494173337433795,-0.03494135559929612,-0.045435619973806074,-0.06306310494740808,-0.21956800421078998,-0.024277739226818085,0.0693604573607445
K6X_D100_D105_D115_D120_D125_D130,453,-0.0020856345289999856,0.0020856345289999856,0.0,0.0,-0.03494173337433798,-0.03494135559929612,-0.03881701137239918,-0.057827651500701904,-0.21041387319564814,-0.023309712608655303,0.06958924482266107
K6X_D100_D105_D115_D120_D125_D130,454,-0.0021538708499999892,0.0021538708499999892,0.0,0.0,-0.03494173337433798,-0.034941355599296176,-0.03233740555025022,-0.05260570844014484,-0.20066593090693158,-0.02185672273238501,0.0698177441954613
K6X_D100_D105_D115_D120_D125_D130,455,-0.0020974817509999966,0.0020974817509999966,0.0,0.0,-0.03494173337433798,-0.03494135559929612,-0.025779858905803255,-0.04739176233609521,-0.19032185276349384,-0.019867847363154084,0.07004579404989877
K6X_D100_D105_D115_D165_D225_D230,445,0.013902353639186436,0.013902353639186436,0.0,0.0,-0.03578849873983182,-0.03578811180992584,0.08708211898908337,0.14910850425561267,0.0206707293788592,0.010943773513038955,0.014758800466855362
K6X_D100_D105_D115_D165_D225_D230,446,0.01623665580802882,0.01623665580802882,0.0,0.0,-0.03578849873983184,-0.03578811180992587,0.08776182932364221,0.1472947970032692,0.022727043678363167,0.011165848622719445,0.014806912591060005
K6X_D100_D105_D115_D165_D225_D230,447,0.015286567564578812,0.015286567564578812,0.0,0.0,-0.03578849873983182,-0.035788111809925874,0.08916811186585671,0.1444128267467022,0.024735932548840843,0.011390621463457741,0.014855199803908668
K6X_D100_D105_D115_D165_D225_D230,448,0.01379250851269144,0.01379250851269144,0.0,0.0,-0.03578849873983183,-0.03578811180992587,0.09034500750040296,0.1397460214793682,0.026662920912106834,0.011607713997364044,0.01490360995133718
K6X_D100_D105_D115_D165_D225_D230,449,0.012550140722593146,0.012550140722593146,0.0,0.0,-0.03578849873983182,-0.03578811180992588,0.08666190569506703,0.12712813168764114,0.0284684548775355,0.011799131830533348,0.014952184011538826
K6X_D100_D105_D115_D165_D225_D230,450,0.008408168157859594,0.008408168157859594,0.0,0.0,-0.03578849873983184,-0.03578811180992588,0.05884790124368208,0.07905856954554717,0.030109046647946038,0.011943322916825608,0.015000925709803895
K6X_D100_D105_D115_D165_D225_D230,451,0.00643173882503581,0.00643173882503581,0.0,0.0,-0.03578849873983182,-0.03578811180992587,0.03386568673219571,0.06364527468880017,0.031539534529050194,0.012020597855250045,0.0150498387714227
K6X_D100_D105_D115_D165_D225_D230,452,0.006446962344770386,0.006446962344770386,0.0,0.0,-0.035788498739831844,-0.035788111809925874,0.047546552134607456,0.08493117367227873,0.032716269294420876,0.012018676847219467,0.015098924438158669
K6X_D100_D105_D115_D165_D225_D230,453,0.010106111465345916,0.010106111465345916,0.0,0.0,-0.03578849873983183,-0.03578811180992588,0.06060667998637474,0.08978822578986487,0.03360142062107722,0.011935879786809288,0.015148160358270012
K6X_D100_D105_D115_D165_D225_D230,454,0.019092332784071908,0.019092332784071908,0.0,0.0,-0.03578849873983184,-0.03578811180992586,0.06952773205432863,0.0870123989880085,0.034168617178996406,0.011781016985575356,0.015197566399971642
K6X_D100_D105_D115_D165_D225_D230,455,0.051603690390830514,0.051603690390830514,0.0,0.0,-0.035788498739831816,-0.03578811180992586,0.0763189050527941,0.08198669056097668,0.034407866497834526,0.011570426325003304,0.015247132629156113
K6X_D100_D110_D115_D220_D225_D230,445,-0.03173940106459,0.03173940106459,0.0,0.0,-0.03567055593136258,-0.03567017027660372,0.034543263731827395,-0.019484524925549807,0.01576970765988034,0.018884946902592972,0.001730185467749834
K6X_D100_D110_D115_D220_D225_D230,446,-0.02740973311727,0.02740973311727,0.0,0.0,-0.03567055593136259,-0.0356701702766037,0.040664198207109904,-0.013534044226010622,0.019085869193077087,0.018706974883874253,0.0017370209097862244
K6X_D100_D110_D115_D220_D225_D230,447,-0.0081213248378,0.0081213248378,0.0,0.0,-0.035670555931362605,-0.03567017027660372,0.04696902232711774,-0.0065202017625173025,0.02253194401661554,0.018548347055912018,0.0017438782379031181
K6X_D100_D110_D115_D220_D225_D230,448,0.017573153434700003,0.017573153434700003,0.0,0.0,-0.03567055593136258,-0.03567017027660368,0.05380379623965255,0.0013349528114000864,0.026065404216448484,0.018413792053858444,0.0017507708010574188
K6X_D100_D110_D115_D220_D225_D230,449,0.024165330602899996,0.024165330602899996,0.0,0.0,-0.03567055593136259,-0.035670170276603706,0.061116976385991374,0.010103850315014526,0.029649170736471803,0.018300796548525483,0.001757690993448099
K6X_D100_D110_D115_D220_D225_D230,450,0.0384881912305,0.0384881912305,0.0,0.0,-0.0356705559313626,-0.035670170276603734,0.06948590312693623,0.019603467235962554,0.03325294454892477,0.018200007577737168,0.001764629501849413
K6X_D100_D110_D115_D220_D225_D230,451,0.04265260686740001,0.04265260686740001,0.0,0.0,-0.03567055593136259,-0.03567017027660371,0.07902313876087155,0.028921525925397873,0.03684825450181961,0.01809583852688472,0.0017716052631537114
K6X_D100_D110_D115_D220_D225_D230,452,0.0329606833769,0.0329606833769,0.0,0.0,-0.03567055593136258,-0.03567017027660369,0.09010765479506622,0.03647138923406601,0.04040429244438806,0.017967542012532547,0.0017786038418610896
K6X_D100_D110_D115_D220_D225_D230,453,0.0224187826343,0.0224187826343,0.0,0.0,-0.03567055593136259,-0.035670170276603685,0.10094971674508299,0.040064358462889985,0.04388253390789032,0.017790131270885468,0.0017856302050252761
K6X_D100_D110_D115_D220_D225_D230,454,0.0167949318539,0.0167949318539,0.0,0.0,-0.035670555931362584,-0.03567017027660373,0.10868884446673663,0.040714494884014116,0.047233064969380706,0.017537906765937805,0.0017926860600709915
K6X_D100_D110_D115_D220_D225_D230,455,0.018829220182799998,0.018829220182799998,0.0,0.0,-0.035670555931362584,-0.03567017027660373,0.11236417055854298,0.03975413739681245,0.050396775205930056,0.01718741903702417,0.0017997599206864834
K6X_D100_D115_D130_D145_D155_D185,445,-0.23267006901600007,0.23267006901600007,0.0,0.0,-0.029076797781906527,-0.02907648341603397,-0.1012047711189542,-0.21049916744232178,-0.16871176163355506,-0.16693099339803064,-0.12318366765975952
K6X_D100_D115_D130_D145_D155_D185,446,-0.191259103935,0.191259103935,0.0,0.0,-0.029076797781906638,-0.029076483416034082,-0.09617931967230087,-0.2092423836390177,-0.1644851962725321,-0.16207398970921838,-0.12293036778767907
K6X_D100_D115_D130_D145_D155_D185,447,-0.159622498725,0.159622498725,0.0,0.0,-0.029076797781906527,-0.029076483416034082,-0.09116118751750069,-0.20649238427480066,-0.15952050685882568,-0.15704381465911865,-0.1226770281791687
K6X_D100_D115_D130_D145_D155_D185,448,-0.12804053628400003,0.12804053628400003,0.0,0.0,-0.029076797781906527,-0.029076483416034193,-0.08611191238359861,-0.20222969849904382,-0.15375280380249023,-0.15181215604146325,-0.12242358922958374
K6X_D100_D115_D130_D145_D155_D185,449,-0.29903107314199995,0.29903107314199995,0.0,0.0,-0.029076797781906638,-0.029076483416034193,-0.08109377741594148,-0.19649022817611694,-0.14716454346974694,-0.14633242289225257,-0.12217007080713915
K6X_D100_D115_D130_D145_D155_D185,450,-0.16352115437500003,0.16352115437500003,0.0,0.0,-0.029076797781906416,-0.02907648341603386,-0.07602586224968988,-0.18926620483398438,-0.13979826370875048,-0.1405491828918457,-0.12191651264826464
K6X_D100_D115_D130_D145_D155_D185,451,-0.11772493872599998,0.11772493872599998,0.0,0.0,-0.029076797781906638,-0.02907648341603386,-0.07099679276406146,-0.1806864937146505,-0.1317625641822815,-0.13440378506978345,-0.1216629147529602
