geometry,polarization,wavelength_nm,metric,FDTD,RCWA,signed_error,abs_error
ALT1,P_XLIKE,447,T_total,0.6921109425615171,0.8318352304101024,-0.13972428784858537,0.13972428784858537
CONTROL0,P_XLIKE,447,R_total,0.212147328188676,0.14165116723939544,0.07049616094928055,0.07049616094928055
ALT1,P_XLIKE,447,R_total,0.3099471308227058,0.1681647695898238,0.14178236123288201,0.14178236123288201
CONTROL0,P_XLIKE,448,eta_plus1,0.6176136275352448,0.7394412177046764,-0.12182759016943157,0.12182759016943157
ALT1,P_XLIKE,448,eta_plus1,0.519789865340945,0.7307544267965657,-0.2109645614556207,0.2109645614556207
CONTROL0,P_XLIKE,448,eta_0,0.05352290289386841,0.029264998565359232,0.024257904328509175,0.024257904328509175
ALT1,P_XLIKE,448,eta_0,0.07032698105434528,0.033254583390724395,0.03707239766362088,0.03707239766362088
CONTROL0,P_XLIKE,448,eta_minus1,0.00418579477186475,0.002214289686928725,0.0019715050849360245,0.0019715050849360245
ALT1,P_XLIKE,448,eta_minus1,0.034371356658785955,0.018454697949757258,0.015916658709028697,0.015916658709028697
CONTROL0,P_XLIKE,448,T_total,0.7860797759711573,0.8616173105748065,-0.0755375346036492,0.0755375346036492
ALT1,P_XLIKE,448,T_total,0.6802213303439733,0.8370876989184459,-0.15686636857447267,0.15686636857447267
CONTROL0,P_XLIKE,448,R_total,0.2117054581996563,0.13838268942464707,0.07332276877500923,0.07332276877500923
ALT1,P_XLIKE,448,R_total,0.3160412374293879,0.16291230108245705,0.15312893634693084,0.15312893634693084
CONTROL0,P_XLIKE,449,eta_plus1,0.6134930027681076,0.7490187965441467,-0.13552579377603913,0.13552579377603913
ALT1,P_XLIKE,449,eta_plus1,0.4808286963266864,0.7391094835569721,-0.25828078723028575,0.25828078723028575
CONTROL0,P_XLIKE,449,eta_0,0.05696706896337352,0.02888504084764129,0.02808202811573223,0.02808202811573223
ALT1,P_XLIKE,449,eta_0,0.07294011973117413,0.03263818690192618,0.040301932829247954,0.040301932829247954
CONTROL0,P_XLIKE,449,eta_minus1,0.004219707740344167,0.0026310700566276094,0.0015886376837165573,0.0015886376837165573
ALT1,P_XLIKE,449,eta_minus1,0.037141623748710786,0.01801525297112948,0.019126370777581305,0.019126370777581305
CONTROL0,P_XLIKE,449,T_total,0.7850935455537688,0.8590750827830708,-0.07398153722930201,0.07398153722930201
ALT1,P_XLIKE,449,T_total,0.6996031578630661,0.8431393441661846,-0.14353618630311848,0.14353618630311848
CONTROL0,P_XLIKE,449,R_total,0.21260016667635243,0.14092491721697575,0.07167524945937667,0.07167524945937667
ALT1,P_XLIKE,449,R_total,0.2969364243816374,0.15686065583461384,0.14007576854702358,0.14007576854702358
CONTROL0,P_XLIKE,450,eta_plus1,0.6094015133035777,0.7649905045282254,-0.15558899122464764,0.15558899122464764
ALT1,P_XLIKE,450,eta_plus1,0.5398816134613701,0.7437661693366346,-0.20388455587526455,0.20388455587526455
CONTROL0,P_XLIKE,450,eta_0,0.06002378255467571,0.02885476729435402,0.031169015260321693,0.031169015260321693
ALT1,P_XLIKE,450,eta_0,0.07824369204760351,0.032051228090253986,0.04619246395734952,0.04619246395734952
CONTROL0,P_XLIKE,450,eta_minus1,0.004343414081073194,0.0023831064785086605,0.001960307602564533,0.001960307602564533
ALT1,P_XLIKE,450,eta_minus1,0.04150912165298384,0.017430614818131566,0.02407850683485227,0.02407850683485227
CONTROL0,P_XLIKE,450,T_total,0.783819730389412,0.8666484724404631,-0.08282874205105106,0.08282874205105106
ALT1,P_XLIKE,450,T_total,0.7092578344421673,0.8446457049449336,-0.13538787050276635,0.13538787050276635
CONTROL0,P_XLIKE,450,R_total,0.21251490306855242,0.13335152755881324,0.07916337550973918,0.07916337550973918
ALT1,P_XLIKE,450,R_total,0.29750575344764385,0.155354295050285,0.14215145839735885,0.14215145839735885
CONTROL0,P_XLIKE,451,eta_plus1,0.605470970510408,0.766173550091196,-0.16070257958078804,0.16070257958078804
ALT1,P_XLIKE,451,eta_plus1,0.5341689330700774,0.7472403653449018,-0.2130714322748244,0.2130714322748244
CONTROL0,P_XLIKE,451,eta_0,0.06410349098399198,0.030340467579675876,0.03376302340431611,0.03376302340431611
ALT1,P_XLIKE,451,eta_0,0.07860750553651392,0.03147191667497689,0.047135588861537035,0.047135588861537035
CONTROL0,P_XLIKE,451,eta_minus1,0.004117912725005053,0.0022120285775746804,0.0019058841474303726,0.0019058841474303726
ALT1,P_XLIKE,451,eta_minus1,0.042936247525404904,0.01687885180727699,0.026057395718127915,0.026057395718127915
CONTROL0,P_XLIKE,451,T_total,0.7824449342229058,0.8680188996296987,-0.08557396540679285,0.08557396540679285
ALT1,P_XLIKE,451,T_total,0.7018469621341394,0.8455028890573125,-0.14365592692317308,0.14365592692317308
CONTROL0,P_XLIKE,451,R_total,0.21649864683793163,0.13198110037029698,0.08451754646763465,0.08451754646763465
ALT1,P_XLIKE,451,R_total,0.3011684581218697,0.15449711094276897,0.14667134717910074,0.14667134717910074
CONTROL0,P_XLIKE,452,eta_plus1,0.5921103720143089,0.7558362004756157,-0.1637258284613068,0.1637258284613068
ALT1,P_XLIKE,452,eta_plus1,0.530216560058377,0.7500305004054677,-0.21981394034709067,0.21981394034709067
CONTROL0,P_XLIKE,452,eta_0,0.06806454504757821,0.033057749858382265,0.035006795189195944,0.035006795189195944
ALT1,P_XLIKE,452,eta_0,0.0803647037904899,0.03092755222649227,0.04943715156399764,0.04943715156399764
CONTROL0,P_XLIKE,452,eta_minus1,0.003121864952256946,0.002370440758136595,0.000751424194120351,0.000751424194120351
ALT1,P_XLIKE,452,eta_minus1,0.04507402551738376,0.01634589983294593,0.028728125684437826,0.028728125684437826
CONTROL0,P_XLIKE,452,T_total,0.7616698810821232,0.8611783532556052,-0.09950847217348202,0.09950847217348202
ALT1,P_XLIKE,452,T_total,0.7020825269967417,0.8459892741408415,-0.1439067471440998,0.1439067471440998
CONTROL0,P_XLIKE,452,R_total,0.2303969245845927,0.1388216467440008,0.09157527784059191,0.09157527784059191
ALT1,P_XLIKE,452,R_total,0.30258596293252243,0.15401072585936562,0.1485752370731568,0.1485752370731568
CONTROL0,P_XLIKE,453,eta_plus1,0.5957567856550672,0.8184440037922083,-0.2226872181371411,0.2226872181371411
ALT1,P_XLIKE,453,eta_plus1,0.5261510651132291,0.7523717917310859,-0.22622072661785686,0.22622072661785686
CONTROL0,P_XLIKE,453,eta_0,0.05693276568532047,0.02405841668591912,0.03287434899940135,0.03287434899940135
ALT1,P_XLIKE,453,eta_0,0.08253272998568405,0.030433704202748577,0.052099025782935474,0.052099025782935474
CONTROL0,P_XLIKE,453,eta_minus1,0.010811497238474532,0.0047508398232107,0.006060657415263832,0.006060657415263832
ALT1,P_XLIKE,453,eta_minus1,0.047330787598044724,0.015830802083667772,0.03149998551437695,0.03149998551437695
CONTROL0,P_XLIKE,453,T_total,0.8018699837368316,0.8936432380736009,-0.0917732543367693,0.0917732543367693
ALT1,P_XLIKE,453,T_total,0.7027215594439821,0.8462869945925308,-0.1435654351485487,0.1435654351485487
CONTROL0,P_XLIKE,453,R_total,0.18577822018571435,0.1063567619262383,0.07942145825947605,0.07942145825947605
ALT1,P_XLIKE,453,R_total,0.30338136119150905,0.15371300540754382,0.14966835578396523,0.14966835578396523
CONTROL0,P_XLIKE,454,eta_plus1,0.5983218212329973,0.7839035713805961,-0.1855817501475988,0.1855817501475988
ALT1,P_XLIKE,454,eta_plus1,0.5222142758063347,0.7544467211932699,-0.23223244538693522,0.23223244538693522
CONTROL0,P_XLIKE,454,eta_0,0.06853580190625391,0.0307998915135618,0.03773591039269211,0.03773591039269211
ALT1,P_XLIKE,454,eta_0,0.0853679932595873,0.03000683901044993,0.05536115424913737,0.05536115424913737
CONTROL0,P_XLIKE,454,eta_minus1,0.007324889831466678,0.0024806544697153934,0.004844235361751284,0.004844235361751284
ALT1,P_XLIKE,454,eta_minus1,0.04971594643086209,0.015336481774213179,0.034379464656648914,0.034379464656648914
CONTROL0,P_XLIKE,454,T_total,0.8017553076337574,0.8852923376488429,-0.0835370300150855,0.0835370300150855
ALT1,P_XLIKE,454,T_total,0.7044551554379667,0.846572804241034,-0.14211764880306732,0.14211764880306732
CONTROL0,P_XLIKE,454,R_total,0.19434790949547562,0.11470766235188203,0.07964024714359359,0.07964024714359359
ALT1,P_XLIKE,454,R_total,0.30031191747519703,0.15342719575957772,0.1468847217156193,0.1468847217156193
CONTROL0,P_XLIKE,455,eta_plus1,0.5914150526616254,0.7733027483414074,-0.18188769567978202,0.18188769567978202
ALT1,P_XLIKE,455,eta_plus1,0.5201830901034317,0.7564325703974841,-0.23624948029405246,0.23624948029405246
CONTROL0,P_XLIKE,455,eta_0,0.07356800231960013,0.03358236557563846,0.03998563674396167,0.03998563674396167
ALT1,P_XLIKE,455,eta_0,0.08870549051210895,0.029673178480893753,0.0590323120312152,0.0590323120312152
CONTROL0,P_XLIKE,455,eta_minus1,0.006777012546565835,0.002551887949101162,0.0042251245974646735,0.0042251245974646735
ALT1,P_XLIKE,455,eta_minus1,0.0521256509362019,0.014870191331031136,0.037255459605170765,0.037255459605170765
CONTROL0,P_XLIKE,455,T_total,0.7982786175914144,0.8815902773878473,-0.08331165979643296,0.08331165979643296
ALT1,P_XLIKE,455,T_total,0.7086329341878692,0.8470702635220173,-0.1384373293341481,0.1384373293341481
CONTROL0,P_XLIKE,455,R_total,0.19877077052708741,0.11840972261230784,0.08036104791477958,0.08036104791477958
ALT1,P_XLIKE,455,R_total,0.2975758174378378,0.15292973647748148,0.1446460809603563,0.1446460809603563
