geometry,polarization,wavelength_nm,metric,FDTD,RCWA,signed_error,abs_error
CONTROL0,P_XLIKE,445,eta_plus1,0.6290726467266827,0.6094201852446082,0.019652461482074557,0.019652461482074557
ALT1,P_XLIKE,445,eta_plus1,0.5447557860404281,0.7065566344297853,-0.16180084838935727,0.16180084838935727
CONTROL0,P_XLIKE,445,eta_0,0.04383240406677253,0.02791931424832186,0.01591308981845067,0.01591308981845067
ALT1,P_XLIKE,445,eta_0,0.07301322512883401,0.035421370546360825,0.03759185458247319,0.03759185458247319
CONTROL0,P_XLIKE,445,eta_minus1,0.0036588658398835354,0.0026762182571373992,0.0009826475827461362,0.0009826475827461362
ALT1,P_XLIKE,445,eta_minus1,0.03318178256664381,0.01950268704751671,0.013679095519127098,0.013679095519127098
CONTROL0,P_XLIKE,445,T_total,0.7856390637721073,0.7242572371377545,0.061381826634352876,0.061381826634352876
ALT1,P_XLIKE,445,T_total,0.6958243059604862,0.8190974814746189,-0.12327317551413275,0.12327317551413275
CONTROL0,P_XLIKE,445,R_total,0.2126747030206799,0.27574276286222227,-0.06306805984154237,0.06306805984154237
ALT1,P_XLIKE,445,R_total,0.30173946832652304,0.1809025185254166,0.12083694980110643,0.12083694980110643
CONTROL0,P_XLIKE,446,eta_plus1,0.6254447368689665,0.6592468768971435,-0.03380214002817694,0.03380214002817694
ALT1,P_XLIKE,446,eta_plus1,0.542522630907541,0.7156803119843493,-0.1731576810768083,0.1731576810768083
CONTROL0,P_XLIKE,446,eta_0,0.04703429364555191,0.01835766071369887,0.02867663293185304,0.02867663293185304
ALT1,P_XLIKE,446,eta_0,0.0729281935767866,0.03467293331737522,0.03825526025941139,0.03825526025941139
CONTROL0,P_XLIKE,446,eta_minus1,0.003877717863982564,0.00171439292772691,0.002163324936255654,0.002163324936255654
ALT1,P_XLIKE,446,eta_minus1,0.03389387856888982,0.01918351179189657,0.01471036677699325,0.01471036677699325
CONTROL0,P_XLIKE,446,T_total,0.7864859153249993,0.7589517013845181,0.027534213940481278,0.027534213940481278
ALT1,P_XLIKE,446,T_total,0.6943242507858663,0.8260147984848393,-0.13169054769897293,0.13169054769897293
CONTROL0,P_XLIKE,446,R_total,0.2120032672861126,0.24104829861299715,-0.029045031326884546,0.029045031326884546
ALT1,P_XLIKE,446,R_total,0.3032532817485577,0.17398520151497626,0.12926808023358144,0.12926808023358144
CONTROL0,P_XLIKE,447,eta_plus1,0.6210829086115847,0.7287927962183429,-0.10770988760675826,0.10770988760675826
ALT1,P_XLIKE,447,eta_plus1,0.5377365939551998,0.7236078525463109,-0.1858712585911111,0.1858712585911111
CONTROL0,P_XLIKE,447,eta_0,0.050370508372291366,0.026459750903137392,0.023910757469153974,0.023910757469153974
ALT1,P_XLIKE,447,eta_0,0.0723217123524477,0.03395226674674092,0.038369445605706785,0.038369445605706785
CONTROL0,P_XLIKE,447,eta_minus1,0.003984463516565464,0.002159846921754972,0.001824616594810492,0.001824616594810492
ALT1,P_XLIKE,447,eta_minus1,0.03445843783277581,0.01882649701133626,0.01563194082143955,0.01563194082143955
CONTROL0,P_XLIKE,447,T_total,0.7856783010576783,0.858348832760461,-0.0726705317027827,0.0726705317027827
