wavelength_nm,CONTROL0_FDTD_eta_plus1,CONTROL0_RCWA_eta_plus1,ALT1_FDTD_eta_plus1,ALT1_RCWA_eta_plus1,CONTROL0_FDTD_T,CONTROL0_RCWA_T,ALT1_FDTD_T,ALT1_RCWA_T,CONTROL0_FDTD_R,CONTROL0_RCWA_R,ALT1_FDTD_R,ALT1_RCWA_R,CONTROL0_FDTD_eta0,CONTROL0_RCWA_eta0,ALT1_FDTD_eta0,ALT1_RCWA_eta0,CONTROL0_FDTD_eta_minus1,CONTROL0_RCWA_eta_minus1,ALT1_FDTD_eta_minus1,ALT1_RCWA_eta_minus1,Delta_candidate_RCWA_eta_plus1,Delta_candidate_HF_eta_plus1,Delta_candidate_RCWA_T,Delta_candidate_HF_T,Delta_candidate_RCWA_R,Delta_candidate_HF_R,Delta_candidate_RCWA_directionality,Delta_candidate_HF_directionality
445,0.6290726467266827,0.6094201852446082,0.5447557860404281,0.7065566344297853,0.7856390637721073,0.7242572371377545,0.6958243059604862,0.8190974814746189,0.2126747030206799,0.27574276286222227,0.30173946832652304,0.1809025185254166,0.04383240406677253,0.02791931424832186,0.07301322512883401,0.035421370546360825,0.0036588658398835354,0.0026762182571373992,0.03318178256664381,0.01950268704751671,0.09713644918517716,-0.08431686068625466,0.09484024433686444,-0.08981475781162118,-0.09484024433680566,0.08906476530584315,-191.48824107617193,-0.05163147826112535
446,0.6254447368689665,0.6592468768971435,0.542522630907541,0.7156803119843493,0.7864859153249993,0.7589517013845181,0.6943242507858663,0.8260147984848393,0.2120032672861126,0.24104829861299715,0.3032532817485577,0.17398520151497626,0.04703429364555191,0.01835766071369887,0.0729281935767866,0.03467293331737522,0.003877717863982564,0.00171439292772691,0.03389387856888982,0.01918351179189657,0.056433435087205885,-0.08292210596142546,0.06706309710032121,-0.09216166453913299,-0.06706309709802089,0.0912500144624451,-347.2295747315341,-0.05263928529594519
447,0.6210829086115847,0.7287927962183429,0.5377365939551998,0.7236078525463109,0.7856783010576783,0.858348832760461,0.6921109425615171,0.8318352304101024,0.212147328188676,0.14165116723939544,0.3099471308227058,0.1681647695898238,0.050370508372291366,0.026459750903137392,0.0723217123524477,0.03395226674674092,0.003984463516565464,0.002159846921754972,0.03445843783277581,0.01882649701133626,-0.0051849436720320385,-0.08334631465638487,-0.0265136023503586,-0.09356735849616127,0.02651360235042835,0.09779980263402982,-298.9923780457525,-0.053847036293185435
448,0.6176136275352448,0.7394412177046764,0.519789865340945,0.7307544267965657,0.7860797759711573,0.8616173105748065,0.6802213303439733,0.8370876989184459,0.2117054581996563,0.13838268942464707,0.3160412374293879,0.16291230108245705,0.05352290289386841,0.029264998565359232,0.07032698105434528,0.033254583390724395,0.00418579477186475,0.002214289686928725,0.034371356658785955,0.018454697949757258,-0.008686790908110753,-0.09782376219429989,-0.024529611656360584,-0.10585844562718405,0.02452961165780998,0.10433577922973158,-294.343392657664,-0.05529236573377738
449,0.6134930027681076,0.7490187965441467,0.4808286963266864,0.7391094835569721,0.7850935455537688,0.8590750827830708,0.6996031578630661,0.8431393441661846,0.21260016667635243,0.14092491721697575,0.2969364243816374,0.15686065583461384,0.05696706896337352,0.02888504084764129,0.07294011973117413,0.03263818690192618,0.004219707740344167,0.0026310700566276094,0.037141623748710786,0.01801525297112948,-0.009909312987174568,-0.1326643064414212,-0.01593573861688613,-0.08549038769070261,0.015935738617638084,0.084336257705285,-243.65532177174612,-0.06487490324139622
450,0.6094015133035777,0.7649905045282254,0.5398816134613701,0.7437661693366346,0.783819730389412,0.8666484724404631,0.7092578344421673,0.8446457049449336,0.21251490306855242,0.13335152755881324,0.29750575344764385,0.155354295050285,0.06002378255467571,0.02885476729435402,0.07824369204760351,0.032051228090253986,0.004343414081073194,0.0023831064785086605,0.04150912165298384,0.017430614818131566,-0.021224335191590726,-0.06951989984220763,-0.02200276749552943,-0.07456189594724472,0.02200276749147176,0.08499085037909143,-278.3354861334139,-0.06431935157193402
451,0.605470970510408,0.766173550091196,0.5341689330700774,0.7472403653449018,0.7824449342229058,0.8680188996296987,0.7018469621341394,0.8455028890573125,0.21649864683793163,0.13198110037029698,0.3011684581218697,0.15449711094276897,0.06410349098399198,0.030340467579675876,0.07860750553651392,0.03147191667497689,0.004117912725005053,0.0022120285775746804,0.042936247525404904,0.01687885180727699,-0.01893318474629424,-0.07130203744033059,-0.02251601057238617,-0.0805979720887664,0.02251601057247199,0.08466981128393808,-302.0961256820188,-0.06764411579549034
452,0.5921103720143089,0.7558362004756157,0.530216560058377,0.7500305004054677,0.7616698810821232,0.8611783532556052,0.7020825269967417,0.8459892741408415,0.2303969245845927,0.1388216467440008,0.30258596293252243,0.15401072585936562,0.06806454504757821,0.033057749858382265,0.0803647037904899,0.03092755222649227,0.003121864952256946,0.002370440758136595,0.04507402551738376,0.01634589983294593,-0.005805700070148023,-0.06189381195593191,-0.015189079114763748,-0.059587354085381516,0.015189079115364823,0.07218903834792972,-272.97399672787174,-0.07310522940664677
453,0.5957567856550672,0.8184440037922083,0.5261510651132291,0.7523717917310859,0.8018699837368316,0.8936432380736009,0.7027215594439821,0.8462869945925308,0.18577822018571435,0.1063567619262383,0.30338136119150905,0.15371300540754382,0.05693276568532047,0.02405841668591912,0.08253272998568405,0.030433704202748577,0.010811497238474532,0.0047508398232107,0.047330787598044724,0.015830802083667772,-0.06607221206112235,-0.06960572054183811,-0.04735624348107015,-0.09914842429284954,0.047356243481305516,0.11760314100579469,-124.74772569299805,-0.06470827984142602
454,0.5983218212329973,0.7839035713805961,0.5222142758063347,0.7544467211932699,0.8017553076337574,0.8852923376488429,0.7044551554379667,0.846572804241034,0.19434790949547562,0.11470766235188203,0.30031191747519703,0.15342719575957772,0.06853580190625391,0.0307998915135618,0.0853679932595873,0.03000683901044993,0.007324889831466678,0.0024806544697153934,0.04971594643086209,0.015336481774213179,-0.029456850187326133,-0.07610754542666254,-0.03871953340780887,-0.09730015219579069,0.0387195334076957,0.10596400797972141,-266.8138097642969,-0.07483226659859787
