wavelength_nm,fresh_run,target_cp_power,same_spin_leakage_power,optional_reverse_channel,total_power,L_fraction_under_R_in,R_fraction_under_R_in,DoCP_RminusL,conversion_to_leakage_ratio,status,x_run_fsp_path,y_run_fsp_path
447.0,true,0.742510027913,0.032496678205,0.33522895911,0.775006706118,0.958069165146,0.041930834854,-0.916138330292,22.8487977519,PASS,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_447NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_447NM_YIN.fsp
447.5,true,0.372847793907,0.0357187083584,0.321402085838,0.408566502265,0.912575533823,0.0874244661771,-0.825151067646,10.4384455946,BORDERLINE,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_447p5NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_447p5NM_YIN.fsp
448.0,true,0.267805154613,0.0294288860722,0.289560888413,0.297234040685,0.90099086227,0.0990091377298,-0.80198172454,9.10007786078,BORDERLINE,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_448NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_448NM_YIN.fsp
448.5,true,0.536026961188,0.0173618791421,0.262810319881,0.55338884033,0.968626257205,0.0313737427949,-0.93725251441,30.8737871518,PASS,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_448p5NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_448p5NM_YIN.fsp
449.0,true,0.930748584293,0.00632747527474,0.263721839453,0.937076059568,0.993247639602,0.00675236039821,-0.986495279204,147.096360536,PASS,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_449NM_XIN.fsp,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r_fresh_448nm_check\_saved_fsp\BW1R_B4INT_J1J2_D194_T90_PSI97_H525_449NM_YIN.fsp
