stage,module,api_name,role,signature,doc_first_line
FMM2C3,basis,LatticeVectors,unit-cell lattice,"(u: jax.Array, v: jax.Array) -> None",Stores a pair of lattice vectors.
FMM2C3,basis,generate_expansion,minimal Fourier expansion,"(primitive_lattice_vectors: fmmax._basis.LatticeVectors, approximate_num_terms: int, truncation: fmmax._basis.Truncation = <Truncation.CIRCULAR: 'circular'>) -> fmmax._basis.Expansion",Generates the expansion for the specified real-space basis.
FMM2C3,fmm,eigensolve_isotropic_media,uniform layer eigensolve for air/source/SiO2/TiO2,"(wavelength: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, permittivity: jax.Array, expansion: fmmax._basis.Expansion, formulation: Union[fmmax._fmm.Formulation, Callable[[jax.Array, fmmax._basis.Expansion, fmmax._basis.LatticeVectors], Tuple[jax.Array, jax.Array]]] = <Formulation.JONES_DIRECT_FOURIER: 'jones_direct_fourier'>) -> 'LayerSolveResult'",Performs the eigensolve for a layer with isotropic permittivity.
FMM2C3,scattering,stack_s_matrix,top/source/bottom stack scattering matrix,"(layer_solve_results: Sequence[fmmax._fmm_result.LayerSolveResult], layer_thicknesses: Sequence[jax.Array], force_x64_solve: bool = False) -> 'ScatteringMatrix'",Computes the s-matrix for a stack of layers.
FMM2C3,sources,gaussian_source,single localized source proxy,"(fwhm: jax.Array, location: jax.Array, in_plane_wavevector: jax.Array, primitive_lattice_vectors: fmmax._basis.LatticeVectors, expansion: fmmax._basis.Expansion) -> jax.Array",Returns the coefficients for a Gaussian source at the specified location.
FMM2C3,sources,amplitudes_for_source,source current to wave amplitudes,"(jx: jax.Array, jy: jax.Array, jz: jax.Array, s_matrix_before_source: fmmax._scattering.ScatteringMatrix, s_matrix_after_source: fmmax._scattering.ScatteringMatrix) -> Tuple[jax.Array, jax.Array, jax.Array, jax.Array, jax.Array, jax.Array]",Computes wave amplitudes resulting from an internal source.
FMM2C3,fields,directional_poynting_flux,top/bottom directional Poynting-flux-like scalar,"(forward_amplitude: jax.Array, backward_amplitude: jax.Array, layer_solve_result: fmmax._fmm_result.LayerSolveResult) -> Tuple[jax.Array, jax.Array]",Returns total forward and backward Poynting flux.
