candidate_id,target_bin,target_phase_deg,phi_offset_deg,source,trace_id,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,direct_gap_nm,periodic_gap_nm,manufacturing_pass,continuous_loss,quantized_loss,phase_error_deg,projector_shape_error,sigma2_over_sigma1,combined_leakage,Txx_center,spectral_instability,ensemble_dispersion,C0_blend_disagreement,risk_class,physics_origin,hash_status,geometry_family,exact_surrogate_hash,canonical_surrogate_hash,symmetry_surrogate_hash,throughput_penalty,novelty_penalty
LPML_INV_B1_GRA_79df623b8968,1,103.0,43.0,GRADIENT_FINE,GF_O43_B1_S44,112.0,110.0,102.0,198.0,0.8,87.0,123.0,True,0.0,7.43625020980835,14.366775287008439,0.31241336464881897,0.3400351107120514,0.1364852637052536,0.9587447643280029,0.32375210523605347,1.8616763353347778,0.0007489374838769436,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1112_L110_W102_P8,79df623b8968cd3304fe413e0c570ced7aa42c82548eeb0d3db4d088e0a7d7d5,6b9ba1447661647c89690299172280dbd153e57843f247095cec7ba184f3753a,9dcb77358653962c6ce2255ecc07739baf1d97c87b0c704b41aab5fbb72d1f52,0.04125523567199707,0.0
LPML_INV_B4_GRA_d1978e7ef844,4,279.0,39.0,GRADIENT_FINE,GF_O39_B4_S35,109.0,106.0,99.0,202.0,0.9,94.5,122.5,True,0.0,53.44551467895508,146.10013691278226,0.5345544815063477,0.6389111876487732,0.41158097982406616,0.9873483180999756,0.32397082448005676,1.6298961639404297,0.0001656094827922061,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1109_L106_W99_P9,d1978e7ef844aa8d8bb53adc3f5f4476feac203d31cd8d0bef3ef5f185173c1d,2cee1d570674244b6a9d6c37141b179873068a086c3dd66340ad18ed553aa1a0,7083df05fa6eb20d5904a3de9863ca7e131056971c4d991ddc23b3d35e6c7f72,0.012651681900024414,0.0
LPML_INV_B4_GRA_958a3c5eb58c,4,279.0,39.0,GRADIENT_FINE,GF_O39_B4_S29,108.0,106.0,100.0,201.0,0.1,94.0,124.0,True,0.0,53.577091217041016,144.17157835911578,0.6031230092048645,0.7623782753944397,0.577210009098053,0.9837052226066589,0.30035972595214844,2.127093553543091,0.000441478390712291,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1108_L106_W100_P1,958a3c5eb58cb7690086a782118664538b5d5f566a909dbceb747f500eb0b89b,bc0c8036ceedb6d4e90d0a3da92f841155e539985148f03e25557e7a435a85c4,2e8c8854296423e6cf954d5529942f8257379e42f55e399822858171fc3fab64,0.016294777393341064,0.0
LPML_INV_B5_GRA_ec51a1384186,5,339.0,39.0,GRADIENT_FINE,GF_O39_B5_S2,109.0,107.0,100.0,201.0,0.5,93.0,123.0,True,0.0,32.779232025146484,86.35787243146056,0.5586393475532532,0.6822232007980347,0.48229992389678955,1.030587077140808,0.3691449761390686,1.6411362886428833,0.0003481474122963846,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1109_L107_W100_P5,ec51a1384186884b2329ab3b1e7a13a2ef059b52079788e86b838990cb2c9cd2,2104a9cb0685555e5ecbaed046dad0be1a45775a58a542be9c67a0bd271ec053,6a7cec0509c96e834c1e39ca7b7ed4c4bd9ef5afc431563782ef5e5fecdf4d46,0.0,0.0
LPML_INV_B5_GRA_255a9059e72c,5,343.0,43.0,GRADIENT_FINE,GF_O43_B5_S8,108.0,106.0,99.0,200.0,0.2,93.0,125.0,True,0.0,31.085601806640625,79.86143362505132,0.6066412329673767,0.7691453695297241,0.5864832997322083,0.9853001236915588,0.29971131682395935,1.9359798431396484,0.00039514200761914253,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1108_L106_W99_P2,255a9059e72c88c3775dd21876858cd62ceb795c2221e570568f363a78bde98a,40d417c9e9d5b599ee87157ad6c66c156b0b5daa7a9fe370cb3360e54a402ff2,df82e0b521be4e0362010c476cab0999e3731684c3bfed17fd992f6fee5b73c7,0.014699876308441162,0.0
LPML_INV_B0_GRA_a328cffb3e2d,0,41.0,41.0,GRADIENT_FINE,GF_O41_B0_S23,108.0,106.0,99.0,202.0,0.5,95.0,123.0,True,0.0,10.762575149536133,21.553233954318223,0.5972261428833008,0.7507678270339966,0.5589224100112915,0.9795100092887878,0.28968849778175354,2.014720916748047,0.00042060003033839166,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1108_L106_W99_P5,a328cffb3e2d3fc5f2f20d1a8b962f9240ae77b1d6d12749ece343f957aadef8,862ca4f3714c233edc7621d46596670c6d4b0beb270b6f7e6a2bcf4726c12e23,25aa2985de518b55084ad1625f2c1bf9833ee187138c5cfebcd365b4cab9642e,0.020489990711212158,0.0
LPML_INV_B0_GRA_f606365e04c9,0,41.0,41.0,GRADIENT_FINE,GF_O41_B0_S15,108.0,106.0,100.0,199.0,0.7,92.0,126.0,True,0.0,10.914176940917969,22.421571271427577,0.6152888536453247,0.7869011163711548,0.6188133955001831,0.9913158416748047,0.32923755049705505,2.0212368965148926,0.00027664279332384467,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1108_L106_W100_P7,f606365e04c9b958852cc5a33668c73957da1aa4e98310feab4c21ce995e3ec7,20b7a2b0f655ab3251fc6862a0fedf94e5923b3dd3725ebae0d3e1f2b51b8331,8f8079f6b7b9bf76fb35436ae57b902eacfa2efdcb21146f875b03849f43fbad,0.008684158325195312,0.0
LPML_INV_B1_GRA_112d925c41d0,1,101.0,41.0,GRADIENT_FINE,GF_O41_B1_S7,112.0,110.0,101.0,196.0,0.3,85.0,125.0,True,0.0,6.478227615356445,11.46560718704227,0.33240604400634766,0.36265841126441956,0.14688082039356232,0.9462732076644897,0.30787864327430725,1.569831132888794,0.000556190381757915,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1112_L110_W101_P3,112d925c41d05df05e40b0996a3f56cbe55ab3a7c36f7cc3a8b5992c6375c281,d587dc155912e9f6bdfee9787547b1fb5330b0605d06e51536dd050cfe7897ec,e5be409225e107a571fbafd6a17199ad7f51ec72ad8a31be47e25ef38717a97f,0.053726792335510254,0.0
LPML_INV_B1_GRA_d0d35c9af643,1,101.0,41.0,GRADIENT_FINE,GF_O41_B1_S60,112.0,108.0,101.0,199.0,-1.2,89.0,123.0,True,0.0,7.024439334869385,12.541306486032273,0.32142287492752075,0.3483218252658844,0.13596518337726593,0.9578808546066284,0.35012155771255493,1.3694896697998047,0.0009405207238160074,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1112_L108_W101_P-12,d0d35c9af643cfd8ee68f1f8bf90c67f4fb0e4ed5eac5bf565dca1676a4df737,ecf0cbeec106850c8c11abc8ddab9b434536818d8586d17b1f83b55c1fd726f7,e8ce4d203dafd208f2c34589f75e6138d13a89207be3805e4a033a76ec2918dc,0.04211914539337158,0.0
LPML_INV_B2_GRA_00093b0b23b8,2,161.0,41.0,GRADIENT_FINE,GF_O41_B2_S60,112.0,110.0,101.0,197.0,0.8,86.0,124.0,True,0.0,27.540576934814453,71.9123638463421,0.3322197496891022,0.3629552721977234,0.1487947553396225,0.9510514140129089,0.3268071711063385,1.8552147150039673,0.0005847871070727706,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1112_L110_W101_P8,00093b0b23b85f16947533a8ddef3eb2f5d87b9e33add99520dd5f4bb582ffe1,cb8bf70021bf221586f5baf96aab6d40f40960616e7e33b1184a5fdfe36cf3b3,539c72eb4409f9c0b818f44f8999be3b11b60b241944e4b6bc877564ce58b4d6,0.048948585987091064,0.0
LPML_INV_B2_GRA_ba88a6e77c4d,2,161.0,41.0,GRADIENT_FINE,GF_O41_B2_S24,112.0,110.0,101.0,196.0,0.7,85.0,125.0,True,0.0,27.351015090942383,71.12692624273649,0.34670549631118774,0.3798947036266327,0.15873411297798157,0.9490697383880615,0.3199824392795563,1.794169545173645,0.0005831227172166109,MODEL_DISAGREEMENT_HIGH_RISK,SURROGATE_PREDICTION_NOT_PHYSICS,PLANNED_SURROGATE_IDENTITY_NOT_FORMAL_GEOMETRY_HASH,J1112_L110_W101_P7,ba88a6e77c4d1b6ab60996b548844dccd72c87e99d76acebb7bbf3d051e4bda3,cfbbea3afab9498b651b9c436ba5778966a4f52ede019a9c56a76108b34a71a8,b39ec8697eb5849c23910b7bd50194d68e2426b766c1c268360df01347f7b97c,0.05093026161193848,0.0
