candidate_id,H_nm,D_nm,polarization,reference_blank_id,reference_blank_hash,txx_real,txx_imag,txx_amplitude,txx_phase_deg_wrapped,tyx_real,tyx_imag,T,R_raw,R_total,energy_residual,cross_pol_fraction,x_input_jones_power_reconstruction_residual,source_fsp_path,source_fsp_sha256
NP_P1D_H600_D110,600,110,x,P1D_FIXED_REFERENCE_BLANK_X,b0e0b6864d76c7fde22990d0bb56507745dab35e0009b6c9db5655349bf4a492,-0.32761743686753503,0.9653304341157007,1.0194096487524829,108.74637609787247,4.285176495100516e-10,1.0990850562518005e-09,0.963247464201427,-0.017550715314074386,0.017550715314074386,0.019201820484498575,1.3391268769377587e-18,0.027629496390056497,runtime_fsp/np_k6_p1d0b_corner_pilot_v1/NP_P1D_H600_D110_post.fsp,4f02a756c1e532f0d15d0b67f6ded1258e4e67fde331536920b9917f8da7e298
NP_P1D_H400_D230,400,230,x,P1D_FIXED_REFERENCE_BLANK_X,b0e0b6864d76c7fde22990d0bb56507745dab35e0009b6c9db5655349bf4a492,1.0091859224763482,0.11338915305392025,1.0155359797440577,6.410698529321142,-1.7682776980580454e-09,-2.6316016077737615e-09,0.9559443014705367,-0.025613478226401715,0.025613478226401715,0.018442220303061623,9.746924416235877e-18,0.027625794474490206,runtime_fsp/np_k6_p1d0b_corner_pilot_v1/NP_P1D_H400_D230_post.fsp,a3966040364902afd5a9c359ba27d10fb31a0f0d454e0926215216a6e2099f75
