phase_bin,x_nm,diameter_nm,nominal_area_nm2,local_dx_min_nm,local_dx_max_nm,local_dy_nm,cells_across_x,cells_across_y,left_right_grid_phase_asymmetry_nm,up_down_grid_phase_asymmetry_nm
0,-725.0,130.0,13273.228961416877,11.92307692307687,21.78571428571438,12.083333333333332,10,11,5.8823529411764826,0.0
1,-435.0,145.00000000000003,16512.996385431357,11.92307692307687,21.78571428571438,12.083333333333332,12,13,1.0587911840678754e-13,0.0
2,-145.00000000000003,155.0,18869.190875623695,11.92307692307687,21.78571428571438,12.083333333333332,13,13,5.293955920339377e-14,0.0
3,145.00000000000003,180.00000000000003,25446.900494077334,11.92307692307687,21.78571428571438,12.083333333333332,15,15,4.632211430296955e-14,0.0
4,435.0,195.0,29864.76516318797,11.92307692307687,21.78571428571438,12.083333333333332,15,17,3.139534883720873,0.0
5,725.0,230.00000000000003,41547.56284372503,11.92307692307687,21.78571428571438,12.083333333333332,18,19,5.174418604650683,0.0
