planned_candidate_id,role,reference_candidate_id,planned_J1_side_nm,planned_J2_length_nm,planned_J2_width_nm,planned_D_nm,planned_Psi_deg,wavelength_nm,status,physics_fields,prediction_label,geometry_hash_status,manufacturing_status,solver_authorized
LP_5D_PHASE_REACHABILITY_01,LOW_PHASE_EXTREME,LPML_R2_LOW_PHASE_AND_SIX_BIN_COVERAGE_024,106.0,106.0,99.0,205.11947737842937,1.9556813975228868,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_02,LOW_PHASE_EXTREME,LPML_R2_LOW_PHASE_AND_SIX_BIN_COVERAGE_035,104.0,105.0,99.0,203.1206537996567,1.9749340108819766,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_03,LOW_PHASE_EXTREME,LPML_R2_LOW_PHASE_AND_SIX_BIN_COVERAGE_022,104.0,106.0,101.0,205.11947737842937,1.9556813975228868,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_04,LOW_PHASE_EXTREME,LPML_R2_LOW_PHASE_AND_SIX_BIN_COVERAGE_029,104.0,106.0,98.0,205.08778608196053,1.9556813975228868,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_05,LOW_PHASE_EXTREME,LPML_R2_LOW_PHASE_AND_SIX_BIN_COVERAGE_032,104.0,106.0,97.0,206.11889772653063,1.9556813975228868,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_06,LOW_PHASE_EXTREME,LPML_R2_LOW_PHASE_AND_SIX_BIN_COVERAGE_025,112.0,106.0,101.0,205.08778608196053,1.6764710468067516,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_07,HIGH_PHASE_EXTREME,LPML_R2_HIGH_UNCERTAINTY_007,112.0,112.5,102.0,192.12756179163884,-2.0879838327233444,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_08,HIGH_PHASE_EXTREME,LPML_R2_HIGH_UNCERTAINTY_010,112.0,111.0,104.0,192.12756179163884,-2.0879838327233444,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_09,HIGH_PHASE_EXTREME,LPML_R2_HIGH_UNCERTAINTY_005,112.0,112.0,101.0,192.62756179163884,-2.0879838327233444,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_10,HIGH_PHASE_EXTREME,LPML_R2_BOUNDARY_AND_HIGH_GRADIENT_053,112.0,111.0,103.0,192.01041638411183,-2.0879838327233444,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
