plan_index,candidate_id,group,role,normalized_coordinate,raw_displacement_from_anchor,exact_geometry_hash_sha256,canonical_relative_geometry_hash_sha256,symmetry_equivalence_hash_sha256,geometry_json,anchor_distance,corridor_distance,corridor_parameter,predicted_phase_deg,predicted_projector_risk,source_model_disagreement,status,physics_fields,prediction_label,physics_label,history_label,projector_lineage,no_d9_promotion
1,PDCB_PHASE_LOCAL_01,PHASE_LOCAL,PHASE_LOCAL_01,"[-1,2,-1]","[-1,0,0]",cb54b6f48738a946b96aab5a2ea01e5cfae0aff9ae52682cc1c6c9c1f670392f,51effa9c56efeebed6e2d8d38c917fc507a768f8a2a908071080084c9ce72b92,51effa9c56efeebed6e2d8d38c917fc507a768f8a2a908071080084c9ce72b92,"{""D_nm"":201.5,""H_nm"":500.0,""J1_center_nm"":[-100.0,-0.5],""J1_rotation_deg"":0.0,""J1_shape"":""sharp_rectangle"",""J1_side_nm"":110,""J2_center_nm"":[101.5,-0.5],""J2_length_nm"":106,""J2_shape"":""sharp_rectangle"",""J2_width_nm"":99,""Psi_deg"":0.0,""center_grid"":""INTEGER_OR_EXACT_HALF_NM"",""direct_gap_nm"":93.5,""material"":""APCD_TIO2_NATIVE_M1"",""nearest_periodic_gap_nm"":324.0,""no_overlap"":true,""normalization"":""LP_WEIGHTED_G0_SQRT_T_NORM_V1"",""observable"":""LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1"",""period_nm"":[432.0,432.0],""primitive_valid"":true,""reference_plane_z_nm"":1000.0,""wavelength_nm"":450.0}",1.0,1.0,0,80.89392600000001,0.028999999999999998,0.15000000000000002,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,PROSPECTIVE_CROSS_BRANCH_DIAGNOSTIC_PHYSICS,NOT_HISTORICAL_ORIGINAL22_PHYSICS,projector_preserved_from_backbone,True
2,PDCB_PHASE_LOCAL_02,PHASE_LOCAL,PHASE_LOCAL_02,"[1,2,-1]","[1,0,0]",597724b4ccd1ce918bfb6359381d94d9349cfed9290c3d26e0292efde81ff6e5,d95a212e3c7d822b022ae953184b7787924eafbedad38847ff999506b6ea392c,d95a212e3c7d822b022ae953184b7787924eafbedad38847ff999506b6ea392c,"{""D_nm"":201.5,""H_nm"":500.0,""J1_center_nm"":[-100.0,-0.5],""J1_rotation_deg"":0.0,""J1_shape"":""sharp_rectangle"",""J1_side_nm"":110,""J2_center_nm"":[101.5,-0.5],""J2_length_nm"":106,""J2_shape"":""sharp_rectangle"",""J2_width_nm"":101,""Psi_deg"":0.0,""center_grid"":""INTEGER_OR_EXACT_HALF_NM"",""direct_gap_nm"":93.5,""material"":""APCD_TIO2_NATIVE_M1"",""nearest_periodic_gap_nm"":324.0,""no_overlap"":true,""normalization"":""LP_WEIGHTED_G0_SQRT_T_NORM_V1"",""observable"":""LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1"",""period_nm"":[432.0,432.0],""primitive_valid"":true,""reference_plane_z_nm"":1000.0,""wavelength_nm"":450.0}",1.0,0.7453559924999299,0.2222222222222222,81.59392600000001,0.021,0.1372677996249965,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,PROSPECTIVE_CROSS_BRANCH_DIAGNOSTIC_PHYSICS,NOT_HISTORICAL_ORIGINAL22_PHYSICS,projector_preserved_from_backbone,True
3,PDCB_PHASE_LOCAL_03,PHASE_LOCAL,PHASE_LOCAL_03,"[0,3,-1]","[0,1,0]",a9d757a84feda0d579e0c9bf66d21deeb67739bbe74e712729320c924caa745e,eed990b41066cce7b3129a00515187cb08aecaade6f8153c4ac0254e47b348d4,eed990b41066cce7b3129a00515187cb08aecaade6f8153c4ac0254e47b348d4,"{""D_nm"":202.0,""H_nm"":500.0,""J1_center_nm"":[-100.0,-0.5],""J1_rotation_deg"":0.0,""J1_shape"":""sharp_rectangle"",""J1_side_nm"":110,""J2_center_nm"":[102.0,-0.5],""J2_length_nm"":106,""J2_shape"":""sharp_rectangle"",""J2_width_nm"":100,""Psi_deg"":0.0,""center_grid"":""INTEGER_OR_EXACT_HALF_NM"",""direct_gap_nm"":94.0,""material"":""APCD_TIO2_NATIVE_M1"",""nearest_periodic_gap_nm"":324.0,""no_overlap"":true,""normalization"":""LP_WEIGHTED_G0_SQRT_T_NORM_V1"",""observable"":""LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1"",""period_nm"":[432.0,432.0],""primitive_valid"":true,""reference_plane_z_nm"":1000.0,""wavelength_nm"":450.0}",1.0,1.0,0,80.993926,0.028,0.15000000000000002,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,PROSPECTIVE_CROSS_BRANCH_DIAGNOSTIC_PHYSICS,NOT_HISTORICAL_ORIGINAL22_PHYSICS,projector_preserved_from_backbone,True
4,PDCB_PHASE_LOCAL_04,PHASE_LOCAL,PHASE_LOCAL_04,"[0,2,-2]","[0,0,-1]",68accd04aedfe5fa41f53b531de5e11d6e47d1413d590915f031704b024e3042,8e3685f46afac6ead3965e5b50c63a2d5d6f17ff188588bec05fd101aa097ee1,8e3685f46afac6ead3965e5b50c63a2d5d6f17ff188588bec05fd101aa097ee1,"{""D_nm"":201.5024813742997,""H_nm"":500.0,""J1_center_nm"":[-100.0,-0.5],""J1_rotation_deg"":0.0,""J1_shape"":""sharp_rectangle"",""J1_side_nm"":110,""J2_center_nm"":[101.5,-1.5],""J2_length_nm"":106,""J2_shape"":""sharp_rectangle"",""J2_width_nm"":100,""Psi_deg"":-0.28434396594244415,""center_grid"":""INTEGER_OR_EXACT_HALF_NM"",""direct_gap_nm"":93.25499813328946,""material"":""APCD_TIO2_NATIVE_M1"",""nearest_periodic_gap_nm"":323.75251675898977,""no_overlap"":true,""normalization"":""LP_WEIGHTED_G0_SQRT_T_NORM_V1"",""observable"":""LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1"",""period_nm"":[432.0,432.0],""primitive_valid"":true,""reference_plane_z_nm"":1000.0,""wavelength_nm"":450.0}",1.0,1.0,0,81.42392600000001,0.027000000000000003,0.15000000000000002,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,PROSPECTIVE_CROSS_BRANCH_DIAGNOSTIC_PHYSICS,NOT_HISTORICAL_ORIGINAL22_PHYSICS,projector_preserved_from_backbone,True
5,PDCB_PHASE_LOCAL_05,PHASE_LOCAL,PHASE_LOCAL_05,"[-1,2,0]","[-1,0,1]",0041b553b56833df59e9304c2dc984eb5ce0a0a303f3a62e3cd5835081689339,458b548c81f26a78a2971b2bc378739dfcb61da77fa146747efd7e0aa97c1801,458b548c81f26a78a2971b2bc378739dfcb61da77fa146747efd7e0aa97c1801,"{""D_nm"":201.5024813742997,""H_nm"":500.0,""J1_center_nm"":[-100.0,-0.5],""J1_rotation_deg"":0.0,""J1_shape"":""sharp_rectangle"",""J1_side_nm"":110,""J2_center_nm"":[101.5,0.5],""J2_length_nm"":106,""J2_shape"":""sharp_rectangle"",""J2_width_nm"":99,""Psi_deg"":0.28434396594244415,""center_grid"":""INTEGER_OR_EXACT_HALF_NM"",""direct_gap_nm"":93.25747949231089,""material"":""APCD_TIO2_NATIVE_M1"",""nearest_periodic_gap_nm"":323.7549981180112,""no_overlap"":true,""normalization"":""LP_WEIGHTED_G0_SQRT_T_NORM_V1"",""observable"":""LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1"",""period_nm"":[432.0,432.0],""primitive_valid"":true,""reference_plane_z_nm"":1000.0,""wavelength_nm"":450.0}",1.4142135623730951,1.4142135623730951,0,80.71392600000001,0.026999999999999996,0.17071067811865476,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,PROSPECTIVE_CROSS_BRANCH_DIAGNOSTIC_PHYSICS,NOT_HISTORICAL_ORIGINAL22_PHYSICS,projector_preserved_from_backbone,True
6,PDCB_PHASE_LOCAL_06,PHASE_LOCAL,PHASE_LOCAL_06,"[0,3,0]","[0,1,1]",085e6a7b12d7ba9fade9600bf7a6d8f9a4c4362c2a18f7f459ce9af5c40b1ba8,cfd89c1eedf5bfe092da29718f1ea1ae747ae514c39ea0cbf9df8ffedc34e3d7,cfd89c1eedf5bfe092da29718f1ea1ae747ae514c39ea0cbf9df8ffedc34e3d7,"{""D_nm"":202.0024752323595,""H_nm"":500.0,""J1_center_nm"":[-100.0,-0.5],""J1_rotation_deg"":0.0,""J1_shape"":""sharp_rectangle"",""J1_side_nm"":110,""J2_center_nm"":[102.0,0.5],""J2_length_nm"":106,""J2_shape"":""sharp_rectangle"",""J2_width_nm"":100,""Psi_deg"":0.2836401557578161,""center_grid"":""INTEGER_OR_EXACT_HALF_NM"",""direct_gap_nm"":93.75560294711852,""material"":""APCD_TIO2_NATIVE_M1"",""nearest_periodic_gap_nm"":323.753127714759,""no_overlap"":true,""normalization"":""LP_WEIGHTED_G0_SQRT_T_NORM_V1"",""observable"":""LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1"",""period_nm"":[432.0,432.0],""primitive_valid"":true,""reference_plane_z_nm"":1000.0,""wavelength_nm"":450.0}",1.4142135623730951,1.3743685418725535,0.1111111111111111,80.81392600000001,0.026000000000000002,0.16871842709362767,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,PROSPECTIVE_CROSS_BRANCH_DIAGNOSTIC_PHYSICS,NOT_HISTORICAL_ORIGINAL22_PHYSICS,projector_preserved_from_backbone,True
7,PDCB_PROJECTOR_LOCAL_07,PROJECTOR_LOCAL,PROJECTOR_LOCAL_01,"[3,1,1]","[1,0,0]",ae17d1965723022181fc38f83db51304266cfef0f866051a81dd0310327f4cc1,e507daee7302cc297dfbb86687d2a3832715fcf1147143f97c3ad50c660d0b8e,e507daee7302cc297dfbb86687d2a3832715fcf1147143f97c3ad50c660d0b8e,"{""D_nm"":201.00995000248122,""H_nm"":500.0,""J1_center_nm"":[-100.0,-0.5],""J1_rotation_deg"":0.0,""J1_shape"":""sharp_rectangle"",""J1_side_nm"":110,""J2_center_nm"":[101.0,1.5],""J2_length_nm"":106,""J2_shape"":""sharp_rectangle"",""J2_width_nm"":103,""Psi_deg"":0.5700884449988864,""center_grid"":""INTEGER_OR_EXACT_HALF_NM"",""direct_gap_nm"":92.50016105985807,""material"":""APCD_TIO2_NATIVE_M1"",""nearest_periodic_gap_nm"":323.4902110573769,""no_overlap"":true,""normalization"":""LP_WEIGHTED_G0_SQRT_T_NORM_V1"",""observable"":""LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1"",""period_nm"":[432.0,432.0],""primitive_valid"":true,""reference_plane_z_nm"":1000.0,""wavelength_nm"":450.0}",1.0,1.0,1,82.183926,0.014,0.15000000000000002,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,PROSPECTIVE_CROSS_BRANCH_DIAGNOSTIC_PHYSICS,NOT_HISTORICAL_ORIGINAL22_PHYSICS,projector_preserved_from_backbone,True
8,PDCB_PROJECTOR_LOCAL_08,PROJECTOR_LOCAL,PROJECTOR_LOCAL_02,"[2,2,2]","[0,1,1]",074278e998e770abd51f9dc787ca88e5fabc03e5efe33652836e27c8610377d5,e6b05a0d82b35bcedd9950cafb1c53fb642bdfb7ef01332047b4ebf1582a0aa6,e6b05a0d82b35bcedd9950cafb1c53fb642bdfb7ef01332047b4ebf1582a0aa6,"{""D_nm"":201.52233126877033,""H_nm"":500.0,""J1_center_nm"":[-100.0,-0.5],""J1_rotation_deg"":0.0,""J1_shape"":""sharp_rectangle"",""J1_side_nm"":110,""J2_center_nm"":[101.5,2.5],""J2_length_nm"":106,""J2_shape"":""sharp_rectangle"",""J2_width_nm"":102,""Psi_deg"":0.8529758803824378,""center_grid"":""INTEGER_OR_EXACT_HALF_NM"",""direct_gap_nm"":92.76898328098483,""material"":""APCD_TIO2_NATIVE_M1"",""nearest_periodic_gap_nm"":323.2466520122145,""no_overlap"":true,""normalization"":""LP_WEIGHTED_G0_SQRT_T_NORM_V1"",""observable"":""LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1"",""period_nm"":[432.0,432.0],""primitive_valid"":true,""reference_plane_z_nm"":1000.0,""wavelength_nm"":450.0}",1.4142135623730951,1.4142135623730951,1,81.403926,0.015000000000000001,0.17071067811865476,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,PROSPECTIVE_CROSS_BRANCH_DIAGNOSTIC_PHYSICS,NOT_HISTORICAL_ORIGINAL22_PHYSICS,projector_preserved_from_backbone,True
9,PDCB_PROJECTOR_LOCAL_09,PROJECTOR_LOCAL,PROJECTOR_LOCAL_03,"[2,1,2]","[0,0,1]",c8c77432ffd0c14edb11cc9e3bcd6e7748aa5896b4f3eea02e43a90897ac0098,9366d1d5f1673fb5be786799d92f9c973621adef66bc49cf5c969980ea5f8110,9366d1d5f1673fb5be786799d92f9c973621adef66bc49cf5c969980ea5f8110,"{""D_nm"":201.02238681301145,""H_nm"":500.0,""J1_center_nm"":[-100.0,-0.5],""J1_rotation_deg"":0.0,""J1_shape"":""sharp_rectangle"",""J1_side_nm"":110,""J2_center_nm"":[101.0,2.5],""J2_length_nm"":106,""J2_shape"":""sharp_rectangle"",""J2_width_nm"":102,""Psi_deg"":0.8550973962667232,""center_grid"":""INTEGER_OR_EXACT_HALF_NM"",""direct_gap_nm"":92.26717988647343,""material"":""APCD_TIO2_NATIVE_M1"",""nearest_periodic_gap_nm"":323.24479307346195,""no_overlap"":true,""normalization"":""LP_WEIGHTED_G0_SQRT_T_NORM_V1"",""observable"":""LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1"",""period_nm"":[432.0,432.0],""primitive_valid"":true,""reference_plane_z_nm"":1000.0,""wavelength_nm"":450.0}",1.0,1.0,1,81.653926,0.012,0.15000000000000002,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,PROSPECTIVE_CROSS_BRANCH_DIAGNOSTIC_PHYSICS,NOT_HISTORICAL_ORIGINAL22_PHYSICS,projector_preserved_from_backbone,True
10,PDCB_PROJECTOR_LOCAL_10,PROJECTOR_LOCAL,PROJECTOR_LOCAL_04,"[3,2,1]","[1,1,0]",4bbdd7adf5219df8b491befc845544ccbbafeeaaf3b80c2a88cc32d7894c378a,f558c669c6e628086fcc2d06c8c16f0e642dad8616a973f9e715ee5f52056733,f558c669c6e628086fcc2d06c8c16f0e642dad8616a973f9e715ee5f52056733,"{""D_nm"":201.50992531386635,""H_nm"":500.0,""J1_center_nm"":[-100.0,-0.5],""J1_rotation_deg"":0.0,""J1_shape"":""sharp_rectangle"",""J1_side_nm"":110,""J2_center_nm"":[101.5,1.5],""J2_length_nm"":106,""J2_shape"":""sharp_rectangle"",""J2_width_nm"":103,""Psi_deg"":0.5686739264890189,""center_grid"":""INTEGER_OR_EXACT_HALF_NM"",""direct_gap_nm"":93.00139473798791,""material"":""APCD_TIO2_NATIVE_M1"",""nearest_periodic_gap_nm"":323.49146942412153,""no_overlap"":true,""normalization"":""LP_WEIGHTED_G0_SQRT_T_NORM_V1"",""observable"":""LP_WEIGHTED_G0_COORDINATE_PERIODIC_G0_V1"",""period_nm"":[432.0,432.0],""primitive_valid"":true,""reference_plane_z_nm"":1000.0,""wavelength_nm"":450.0}",1.4142135623730951,1.4142135623730951,1,81.933926,0.017,0.17071067811865476,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,PROSPECTIVE_CROSS_BRANCH_DIAGNOSTIC_PHYSICS,NOT_HISTORICAL_ORIGINAL22_PHYSICS,projector_preserved_from_backbone,True
