candidate_id,target_bin,selection_rank,selection_role,target_phase_deg,phi_offset_deg,geometry_family,calibrated_risk_class,calibrated_risk_score,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,J1_center_x_nm,J1_center_y_nm,J2_center_x_nm,J2_center_y_nm,H_nm,period_x_nm,period_y_nm,material,exact_geometry_hash_sha256,canonical_relative_geometry_hash_sha256,symmetry_equivalence_geometry_hash_sha256,direct_gap_nm,periodic_gap_nm,manufacturing_pass,source_candidate_pool_hash,status,physics_label,prediction_label
LPML_INV_B0_GRA_9e075ededc76,0,1,BEST_TUPLE_RELEVANT,1.0,1.0,J1108_L106_W99_P10,CALIBRATED_LOW_RISK,0.046982097841167386,108,106,99,202.0,1.0,-100.98461721079552,-1.7626930501656346,100.98461721079552,1.7626930501656346,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,0902ce9b8d170da7e500861cb8b08d16da8a492a4a4f22df946b3bef14be5986,2daef9ac6ec67d38fbf0cfeb08f9f3a9ac1dd99723c8535ffef73995499a20f0,edc00b04378e3b47410132a3784735aae5d577a6f90cbbae7253985321ff33bb,95.0,123.0,True,950c9cd5228652ea7b12e8895b8455b07c778487c20ff3782da5a9de6b34dcfa,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS
LPML_INV_B0_GRA_71b7770452e7,0,2,BEST_SINGLE_BIN_PARETO,1.0,1.0,J1108_L106_W100_P9,CALIBRATED_LOW_RISK,0.046982097841167386,108,106,100,202.0,0.9,-100.98753988064772,-1.5864390484938882,100.98753988064772,1.5864390484938882,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,ed29515a2156f2add6bf1d5c447cfef24144469cfbf9563f8e7f09d36b202645,aadb58b43bd52c33752e805cf59d29e3c343bedcecc1daa05747dfcab9504640,2dc89767913c971148b9171eb96dc09f886584d6e77d5acaf03e437533765f6b,95.0,123.0,True,950c9cd5228652ea7b12e8895b8455b07c778487c20ff3782da5a9de6b34dcfa,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS
LPML_INV_B0_DER_41bac671f444,0,3,BEST_SINGLE_BIN_PARETO,0.0,0.0,J1109_L107_W98_P-4,CALIBRATED_LOW_RISK,0.046982097841167386,109,107,98,204.0,-0.4,-101.99751433195027,0.7120885503920784,101.99751433195027,-0.7120885503920784,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,3832835c9ac242c7be6061f77573cd7bf84c03dce3d759b8e43782a5d4742f49,eee221a652e050d37808baaf407adb8626b046408be6380e6f582e3502336931,c8a7f8e4d9cb1453af536eb9de3c4e46b5836d62467d980160bf1bc6c10599c8,96.0,120.0,True,950c9cd5228652ea7b12e8895b8455b07c778487c20ff3782da5a9de6b34dcfa,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS
LPML_INV_B0_DER_483c7b8e72d1,0,4,BEST_SINGLE_BIN_PARETO,0.0,0.0,J1109_L108_W100_P-10,CALIBRATED_LOW_RISK,0.04730650644300678,109,108,100,204.0,-1.0,-101.98446490595191,1.7801454566029182,101.98446490595191,-1.7801454566029182,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,10a558a82c90303ee68232d74efea112099ea09d8cbf4775b9e6858f400c53b6,3d45b610911e5eb2434ce1e97f3f0eca31149a7a3063005757dc4b1748b55853,3e30644ecd9ee902bea30df576c1ab84a14c58fccf85d4773ec3cd74291f0a50,95.5,119.5,True,950c9cd5228652ea7b12e8895b8455b07c778487c20ff3782da5a9de6b34dcfa,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS
LPML_INV_B0_GRA_590ad651d09c,0,5,DIVERSITY_BACKUP,55.0,55.0,J1108_L106_W99_P7,CALIBRATED_LOW_RISK,0.047803398291510896,108,106,99,202.0,0.7,-100.99246233570565,-1.233917084359964,100.99246233570565,1.233917084359964,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,7a42af636796bf65eefdbd91d7b60c6027cad9cfdf95a19ad93875bb8ac90ed7,1da7cc7a4727c6dbb8f8e92a4b3e7e0d4c6e206d4ce379c5482d139569eb7e98,14e9b5ad92436bd784d6be9b98329da98ac28c4a054204be805af20ff25932bb,95.0,123.0,True,950c9cd5228652ea7b12e8895b8455b07c778487c20ff3782da5a9de6b34dcfa,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS
LPML_INV_B0_GRA_30168dbc66e4,0,6,LOWEST_CALIBRATED_RISK,3.0,3.0,J1108_L106_W99_P6,CALIBRATED_LOW_RISK,0.04812335602990593,108,106,99,202.0,0.6,-100.99446210591672,-1.057650195740825,100.99446210591672,1.057650195740825,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,a72334b7266a983cf7e3ca51007373ea850ec8e30a12fc6a64afc3581f65ece9,be184a429310dc36344a64a3beafea7731e391b90dd80e993802c3e4d324b680,f20fd66feb217ab5161d570f099eb48d2716b52d97c2fe1719a4c39744b96e5c,95.0,123.0,True,950c9cd5228652ea7b12e8895b8455b07c778487c20ff3782da5a9de6b34dcfa,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS
LPML_INV_B1_GRA_c4219b9eaa04,1,1,BEST_TUPLE_RELEVANT,70.0,10.0,J1110_L106_W100_P7,CALIBRATED_LOW_RISK,0.046982097841167386,110,106,100,203.0,0.7,-101.49242502053588,-1.2400255847775876,101.49242502053588,1.2400255847775876,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,a56a50d1345eb2b4c6bfd6260c46e53afae0e3f675c1383ac0f17f09bdedd1eb,8e574a2507da0a9e354f803ec089f2ccc0a1d37919d35e85bdb3f5fc8d3375e5,166ec8f90261242c95dd883fe429803421003748e9098be37a1d48acbfece50c,95.0,121.0,True,950c9cd5228652ea7b12e8895b8455b07c778487c20ff3782da5a9de6b34dcfa,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS
LPML_INV_B1_GRA_012d91036d7d,1,2,BEST_SINGLE_BIN_PARETO,75.0,15.0,J1111_L107_W100_P7,CALIBRATED_LOW_RISK,0.046982097841167386,111,107,100,204.0,0.7,-101.9923877053661,-1.2461340851952112,101.9923877053661,1.2461340851952112,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,d42fb192a27114c75946a779e95b84a9635741970c164d331424ae50ca7f9735,cc2d88c4d21c2018bd46629dc946c045a10b4a75e199c6ba6c409371ea4f80f6,e0c8cdc6d58a69cc8baaca0cfc1084980affb7c1d519bbfea7580b1c43a2a155,95.0,119.0,True,950c9cd5228652ea7b12e8895b8455b07c778487c20ff3782da5a9de6b34dcfa,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS
LPML_INV_B1_GRA_c89f98bf4d71,1,3,BEST_SINGLE_BIN_PARETO,70.0,10.0,J1110_L106_W99_P7,CALIBRATED_LOW_RISK,0.046982097841167386,110,106,99,204.0,0.7,-101.9923877053661,-1.2461340851952112,101.9923877053661,1.2461340851952112,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,f74a68a899a587d22645d7fb081303d8ce03d9355a859c0dde03a95015ab354c,bb7afe0ed145bf7ba67a45b3bdb532ef7cfc8acc2fc747582bdc7cb4b6f86c19,67ab2f58c91a81fdc2757a4d503874d40b50e7efbeee4db8b19419022f1c4c45,96.0,120.0,True,950c9cd5228652ea7b12e8895b8455b07c778487c20ff3782da5a9de6b34dcfa,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS
LPML_INV_B1_GRA_464431e7fc00,1,4,BEST_SINGLE_BIN_PARETO,63.0,3.0,J1108_L106_W99_P9,CALIBRATED_LOW_RISK,0.046982097841167386,108,106,99,202.0,0.9,-100.98753988064772,-1.5864390484938882,100.98753988064772,1.5864390484938882,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,d48560963cabb14e3fdcf354be1d2b6ecc4fa8e890bc57af25d0cef867f61003,23599873ae69feb8af2eaeeb6c7c2b4c9b1ab519f40f47e570fdf6b97b1f643f,2d6f62f9756c79b64db89ba20080979eb11ea38c44780077598c263c4a5c0f09,95.0,123.0,True,950c9cd5228652ea7b12e8895b8455b07c778487c20ff3782da5a9de6b34dcfa,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS
