model,fold,held_out_geometry,scope,value,count,eta_plus1_MAE,eta_plus1_RMSE,eta_plus1_Spearman,transmitted_order_MAE,all_order_weighted_MAE,T_MAE,R_MAE,directionality_MAE,non_target_leakage_MAE,predicted_transmitted_order_sum_mismatch,predicted_reflected_consistency,negative_power_violations,nan_inf_count
CNN,1,K6X_D100_D105_D115_D120_D125_D130,geometry,K6X_D100_D105_D115_D120_D125_D130,22,0.016055613261266814,0.0183727524948878,0.8418972332015812,0.10737279057502747,0.04816754162311554,0.1388352466497703,0.1154062211440568,0.5155835859171646,0.14146467704683874,5.960464477539063e-08,1.4901161193847656e-08,0,0
CNN,1,K6X_D100_D105_D115_D120_D125_D130,polarization,p,11,0.015327479105527363,0.017659578700570444,0.990909090909091,0.10744079947471619,0.04753061756491661,0.12797895815906124,0.10346562719475921,0.5176060299064406,0.1283439543140094,5.960464477539063e-08,1.4901161193847656e-08,0,0
CNN,1,K6X_D100_D105_D115_D120_D125_D130,polarization,s,11,0.016783747417006268,0.019059258867940552,0.9363636363636365,0.10730481147766113,0.04880446568131447,0.14969153514047936,0.12734681509335435,0.5135611419278888,0.15458539977966804,5.960464477539063e-08,1.4901161193847656e-08,0,0
CNN,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,445,2,0.03023554858830721,0.030278885763748233,0.9999999999999999,0.10235428810119629,0.04554380849003792,0.12772219267653734,0.10330848199354138,0.5261726798125556,0.09748661428590777,5.960464477539063e-08,1.4901161193847656e-08,0,0
CNN,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,446,2,0.021763815508019674,0.021832319177815397,0.9999999999999999,0.1022186353802681,0.045626260340213776,0.12993516294909319,0.1057423034318679,0.5226129351687436,0.10817137724339587,5.960464477539063e-08,0.0,0,0
CNN,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,447,2,0.013964856613595894,0.014084909510170843,0.9999999999999999,0.10230761766433716,0.045795999467372894,0.13256157438545424,0.1081747077339543,0.5193567246081605,0.11859670287069712,5.960464477539063e-08,1.4901161193847656e-08,0,0
CNN,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,448,2,0.006689026867680997,0.007003838393597373,0.9999999999999999,0.10260431468486786,0.04604910686612129,0.1349139151993407,0.11065385146071499,0.5166657581892404,0.1282248734304985,0.0,1.4901161193847656e-08,0,0
CNN,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,449,2,0.002231376769773391,0.0022364231838491325,0.9999999999999999,0.10335548222064972,0.04647619649767876,0.13689099618025657,0.11308300124712012,0.5146607305605504,0.13674085659905527,0.0,1.4901161193847656e-08,0,0
CNN,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,450,2,0.0056630567809521914,0.006111249831546314,0.9999999999999999,0.10534320771694183,0.047381848096847534,0.13917230130009262,0.11547085466487249,0.5130532726398935,0.14483532827872242,5.960464477539063e-08,1.4901161193847656e-08,0,0
CNN,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,451,2,0.010960696100689143,0.011232950592861881,0.9999999999999999,0.10775195062160492,0.04845285788178444,0.14144648296518708,0.11788774145755121,0.5119148650553365,0.15240716416471506,5.960464477539063e-08,0.0,0,0
CNN,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,452,2,0.015666930152525183,0.01588178034234271,0.9999999999999999,0.11015300452709198,0.04952013120055199,0.14325523564888393,0.12029141889001112,0.511447785536147,0.15892218070257036,5.960464477539063e-08,1.4901161193847656e-08,0,0
CNN,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,453,2,0.019711091693877927,0.019884923196484914,0.9999999999999999,0.11253690719604492,0.05057716742157936,0.1451319718617794,0.12263069617714628,0.5114144289808162,0.1648430635556573,5.960464477539063e-08,1.4901161193847656e-08,0,0
CNN,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,454,2,0.02328399260443738,0.02343664372531031,0.9999999999999999,0.11499374359846115,0.051661476492881775,0.14721353235122064,0.12495056436011595,0.5116794703814067,0.1704975696591416,5.960464477539063e-08,0.0,0,0
CNN,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,455,2,0.026441354194075978,0.02658558511733098,0.9999999999999999,0.11748157441616058,0.0527581125497818,0.14894434762962755,0.12727481116772904,0.5124407941559609,0.17538571672486475,5.960464477539063e-08,1.4901161193847656e-08,0,0
MLP,1,K6X_D100_D105_D115_D120_D125_D130,geometry,K6X_D100_D105_D115_D120_D125_D130,22,0.11583080881841838,0.11955620972991958,-0.6205533596837945,0.11401976644992828,0.04819415137171745,0.08221565125216786,0.06431518142144078,0.4086462722954703,0.19804645871593526,1.1920928955078125e-07,1.4901161193847656e-08,0,0
MLP,1,K6X_D100_D105_D115_D120_D125_D130,polarization,p,11,0.11019748076871355,0.11393372679858664,-1.0,0.11435770988464355,0.048115652054548264,0.07833688296721664,0.059741699891965185,0.41115674015105286,0.18853438270104442,1.1920928955078125e-07,1.4901161193847656e-08,0,0
MLP,1,K6X_D100_D105_D115_D120_D125_D130,polarization,s,11,0.1214641368681232,0.1249258999077215,-1.0,0.11368183046579361,0.04827265441417694,0.0860944195371191,0.06888866295091635,0.4061358044398878,0.20755853473082606,1.1920928955078125e-07,1.4901161193847656e-08,0,0
MLP,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,445,2,0.06806605580183714,0.06828624187690287,0.9999999999999999,0.10139986127614975,0.04307032376527786,0.08392237511443407,0.0644166859708878,0.4308867277213385,0.151988490520916,1.1920928955078125e-07,1.4901161193847656e-08,0,0
MLP,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,446,2,0.0783714363716724,0.07856066031854844,0.9999999999999999,0.10402798652648926,0.044146258383989334,0.08366699783755144,0.06467766106212074,0.42633827613115355,0.16203841930806262,0.0,0.0,0,0
MLP,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,447,2,0.08837812150625426,0.08854474882350624,0.9999999999999999,0.10663902014493942,0.04521868750452995,0.08377588789253432,0.06483331694539915,0.4216681241872087,0.17215406900343333,1.1920928955078125e-07,7.450580596923828e-09,0,0
MLP,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,448,2,0.09825079151458219,0.09840783679972939,0.9999999999999999,0.10925466567277908,0.04628625139594078,0.08356886486441029,0.06493663443257398,0.41711460202602485,0.18181967128015364,0.0,0.0,0,0
MLP,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,449,2,0.10778311346864913,0.10792917899154342,0.9999999999999999,0.11175988614559174,0.04729762673377991,0.0829530543906295,0.06489760430760405,0.4127832051117513,0.19073618276043985,5.960464477539063e-08,7.450580596923828e-09,0,0
MLP,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,450,2,0.11698565345014927,0.1171193427702283,0.9999999999999999,0.11421102285385132,0.048283252865076065,0.08261780501179306,0.06473402875168165,0.40837954429306883,0.19960342865961994,1.1920928955078125e-07,7.450580596923828e-09,0,0
MLP,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,451,2,0.12605945563266394,0.1261875972280724,0.9999999999999999,0.11668115854263306,0.04927428066730499,0.08226193172617341,0.06452676517876932,0.4039789297964711,0.20832135755651499,1.1920928955078125e-07,1.4901161193847656e-08,0,0
MLP,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,452,2,0.13491159505998063,0.13503515599328994,0.9999999999999999,0.11908069998025894,0.050237398594617844,0.08143785784317409,0.06424562589312773,0.3997970056928166,0.21634942310083238,5.960464477539063e-08,0.0,0,0
MLP,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,453,2,0.14344663875961278,0.14356200631310687,0.9999999999999999,0.12140016257762909,0.05117478221654892,0.08068951609319419,0.06385230961408361,0.39561911466883504,0.22413615485280697,0.0,1.4901161193847656e-08,0,0
MLP,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,454,2,0.1518239571611314,0.15193370898732939,0.9999999999999999,0.12373063713312149,0.05211339890956879,0.08016376080390314,0.06340515509793562,0.39134165628877066,0.23198768816271215,5.960464477539063e-08,1.4901161193847656e-08,0,0
MLP,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,455,2,0.16006207827606908,0.16016911158933303,0.9999999999999999,0.1260322779417038,0.05303345248103142,0.07931411219604906,0.06294120838166489,0.38720180933273396,0.23937616066979578,5.960464477539063e-08,7.450580596923828e-09,0,0
LF_DFT,1,K6X_D100_D105_D115_D120_D125_D130,geometry,K6X_D100_D105_D115_D120_D125_D130,22,0.1473632676783796,0.14911833734581595,-0.4285714285714286,0.07284973725820766,0.03813692482873201,0.17660211143931176,0.1765164861101664,0.31606843569079485,0.3239653791176914,1.1102230246251565e-16,2.7755575615628914e-17,0,0
LF_DFT,1,K6X_D100_D105_D115_D120_D125_D130,polarization,p,11,0.14835170273883558,0.1500996339591263,-1.0,0.07386351476964251,0.03817046851503119,0.1699151705599433,0.17002382984449446,0.3124725038693608,0.31826687329877895,1.1102230246251565e-16,2.7755575615628914e-17,0,0
LF_DFT,1,K6X_D100_D105_D115_D120_D125_D130,polarization,s,11,0.14637483261792356,0.1481305402369729,-1.0,0.07183595974677279,0.03810338114243284,0.18328905231868023,0.18300914237583832,0.3196643675122289,0.3296638849366039,1.1102230246251565e-16,2.7755575615628914e-17,0,0
LF_DFT,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,445,2,0.1096729730007959,0.10967620934028872,0.0,0.0611910412419351,0.03341117297780262,0.1731173222183801,0.1730638249576389,0.32944338565973863,0.28279029521917615,1.1102230246251565e-16,2.7755575615628914e-17,0,0
LF_DFT,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,446,2,0.11790891010635199,0.11791262472086193,0.0,0.06369829006879223,0.03444023710538137,0.17392076185128752,0.17403623736362062,0.326732470762173,0.2918296719576396,1.1102230246251565e-16,2.7755575615628914e-17,0,0
LF_DFT,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,447,2,0.12586363083873506,0.1258677480087153,0.0,0.06616912308535171,0.035449311013969274,0.17508212092139186,0.1749037366182903,0.323878755466597,0.300945751760127,1.1102230246251565e-16,2.7755575615628914e-17,0,0
LF_DFT,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,448,2,0.1337022476406192,0.13370563355926124,0.0,0.06859718607725607,0.036438846098317636,0.17592089118817444,0.17571892727917882,0.321120227182824,0.3096231388287937,1.1102230246251565e-16,2.7755575615628914e-17,0,0
