geometry_id,geometry_hash,case_id,wavelength_nm,polarization,truth_T,truth_R,truth_eta_plus1,truth_directionality,cnn_T_abs_error,cnn_R_abs_error,cnn_eta_plus1_abs_error,cnn_directionality_abs_error,mlp_T_abs_error,mlp_R_abs_error,mlp_eta_plus1_abs_error,mlp_directionality_abs_error,cnn_eta_uncertainty,mlp_eta_uncertainty,cnn_mlp_disagreement_eta,cnn_mlp_disagreement_all_order,lf_order_distribution_residual,individual_order_prediction_available,selection_prediction_source
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,NP_K6_M2_BATCH1_G01_P,445,p,0.8027212895412202,0.19600795365889503,0.008278878019326705,0.5755781898365419,0.2353753723163362,0.11315093778054283,0.20235624761772775,0.20431417916874095,0.26243272199819045,0.15587232850472496,0.2355299428243699,0.12432152722934886,0.04455320164561272,0.04272164069648874,0.03317369520664215,0.010811040177941322,0.036245687273898944,False,NP_K6_M2_ACTIVE_LEARNING_BATCH1 frozen ensemble predictions; M3 retraining not used
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,NP_K6_M2_BATCH1_G01_P,446,p,0.7937894321193417,0.2056978320263652,5.228681366895442e-05,0.009733957410451455,0.23283390767476164,0.10482549913894851,0.2034869803686812,0.3531099137061867,0.25551842219731413,0.1473074282027455,0.24162933366496112,0.43926219904363484,0.03806056082248688,0.0436665842336166,0.03814235329627991,0.011098693124949932,0.03692459724702441,False,NP_K6_M2_ACTIVE_LEARNING_BATCH1 frozen ensemble predictions; M3 retraining not used
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,NP_K6_M2_BATCH1_G01_P,447,p,0.7847599879269597,0.21493451055043886,0.0005653115033242296,0.04458314890079766,0.22926156673479048,0.09648792687898924,0.19681634883889226,0.3107403743822071,0.24850278053331343,0.13919209186083129,0.2390220997811225,0.40219389682597845,0.03243185207247734,0.04461541141004399,0.042205750942230225,0.011369760148227215,0.037592424036973084,False,NP_K6_M2_ACTIVE_LEARNING_BATCH1 frozen ensemble predictions; M3 retraining not used
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,NP_K6_M2_BATCH1_G01_P,448,p,0.7479624449289735,0.25187248968157044,0.003396732339950668,0.1350003918124118,0.19689932456383064,0.05997504807439574,0.18879503237238301,0.21376504102221344,0.21371498694786384,0.10337181902852782,0.2341299079560317,0.3096000114964566,0.027683811262249947,0.04556563968665043,0.04533487558364868,0.011614897288382053,0.03815897736143407,False,NP_K6_M2_ACTIVE_LEARNING_BATCH1 frozen ensemble predictions; M3 retraining not used
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,NP_K6_M2_BATCH1_G01_P,449,p,0.7319481421983346,0.268085480037059,0.0014399836643919953,0.05816475694220314,0.18422824635864343,0.043710499701176464,0.18653955060398722,0.2850390260930752,0.19970614209533777,0.08827280968156892,0.23405971127903605,0.38430257494408837,0.02381519228219986,0.04651503336458493,0.04752016067504883,0.011852140538394451,0.03862560536157426,False,NP_K6_M2_ACTIVE_LEARNING_BATCH1 frozen ensemble predictions; M3 retraining not used
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,NP_K6_M2_BATCH1_G01_P,450,p,0.7201820001807265,0.27969502041212696,0.014641985926250026,0.27189092271679477,0.17466688015127707,0.03157822659142834,0.1700951599744763,0.06675623423701688,0.18994080879355002,0.07777349522240978,0.21886509594001433,0.16848807103282376,0.020809950307011604,0.04746126986562921,0.048769935965538025,0.012090476229786873,0.038995269850141505,False,NP_K6_M2_ACTIVE_LEARNING_BATCH1 frozen ensemble predictions; M3 retraining not used
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,NP_K6_M2_BATCH1_G01_P,451,p,0.7465487633308866,0.2529157985817589,0.022683337002295335,0.36396222228183644,0.20208208900303626,0.05737933620103225,0.15975782308052175,0.028879899922751362,0.21830325466007972,0.10565906866677627,0.20886586639354818,0.07437412029132945,0.018639346584677696,0.04840222210052029,0.04910804331302643,0.01230653841048479,0.0392722633963625,False,NP_K6_M2_ACTIVE_LEARNING_BATCH1 frozen ensemble predictions; M3 retraining not used
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,NP_K6_M2_BATCH1_G01_P,452,p,0.38297415150024017,0.6117578239838001,0.0021839196755752644,0.035314420431979764,0.1615862213291971,0.30286819652713504,0.17887074696279906,0.29716416242705956,0.14328103887222687,0.2520805390278217,0.22744257199026488,0.40102615001784936,0.017262635752558708,0.04933587724208975,0.04857182502746582,0.012500690296292305,0.03946191357928518,False,NP_K6_M2_ACTIVE_LEARNING_BATCH1 frozen ensemble predictions; M3 retraining not used
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,NP_K6_M2_BATCH1_G01_P,453,p,0.7449890122222477,0.25428084522041494,0.03269823094228204,0.7918399389104452,0.19924107645030553,0.05281748384681528,0.147831080357042,0.4610474522428122,0.22071817968364293,0.10649486393180674,0.1950411031641633,0.35744739726348784,0.016626430675387383,0.050260188990209786,0.04721002280712128,0.01267662737518549,0.03957031269727154,False,NP_K6_M2_ACTIVE_LEARNING_BATCH1 frozen ensemble predictions; M3 retraining not used
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,NP_K6_M2_BATCH1_G01_P,454,p,0.7819841354430157,0.21827605111626075,0.025739534409933953,0.8298984862984163,0.23403720551137508,0.0867005314108999,0.15506734081894788,0.4999269642055971,0.25969122343663753,0.1435939993140371,0.2001485241332713,0.3974054254711611,0.016665229573845863,0.05117325688352886,0.045081183314323425,0.012843702919781208,0.039604136263575854,False,NP_K6_M2_ACTIVE_LEARNING_BATCH1 frozen ensemble predictions; M3 retraining not used
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,NP_K6_M2_BATCH1_G01_P,455,p,0.7860331954597607,0.2133329511408107,0.030165325254468505,0.9297819651189662,0.2349898638366833,0.08925923697907762,0.1516554994878487,0.5998245693269587,0.2657113494514599,0.14962729804475144,0.19390772715184254,0.49913879404695993,0.017304453998804092,0.05207340490241849,0.042252227663993835,0.012983758933842182,0.03957041141746445,False,NP_K6_M2_ACTIVE_LEARNING_BATCH1 frozen ensemble predictions; M3 retraining not used
