fold,held_out_geometry,model,best_epoch,best_monitor_loss,count,eta_plus1_MAE,eta_plus1_RMSE,eta_plus1_Spearman,transmitted_order_MAE,all_order_weighted_MAE,T_MAE,R_MAE,directionality_MAE,non_target_leakage_MAE,predicted_transmitted_order_sum_mismatch,predicted_reflected_consistency,negative_power_violations,nan_inf_count
5,K6X_D100_D140_D145_D155_D225_D230,LF_DFT,,,22,0.07794962477213632,0.0868558206131888,-0.6860530773574253,0.07715082469761786,0.03803653622281655,0.04194037682432004,0.04201710096026403,0.16823261477928914,0.04755212518690506,1.1102230246251565e-16,0.0,0,0
6,K6X_D100_D200_D205_D210_D215_D220,CNN,35,0.03469240292906761,22,0.014429101549999868,0.0162907058170283,0.6578204404291361,0.03478960692882538,0.028618812561035156,0.16329400614307887,0.1631346338346409,0.4227635176840994,0.15472407995990756,1.1920928955078125e-07,2.9802322387695312e-08,0,0
6,K6X_D100_D200_D205_D210_D215_D220,MLP,29,0.03834805637598038,22,0.0869941613074592,0.08811532133614203,-0.003952569169960475,0.054533883929252625,0.03802482411265373,0.14319331374762898,0.1438320533236614,0.2975125755497238,0.15110603734006747,1.1920928955078125e-07,5.960464477539063e-08,0,0
6,K6X_D100_D200_D205_D210_D215_D220,LF_DFT,,,22,0.1155402731274541,0.116319113426813,0.7684923771880295,0.0920119326242289,0.04965400073359506,0.19351391416334485,0.19317590288927217,0.30402037160660617,0.14585795812207608,0.0,0.0,0,0
7,K6X_D125_D135_D150_D175_D190_D210,CNN,77,0.0013121352531015873,22,0.027519400074286618,0.032407882330721095,0.6205533596837945,0.012796537950634956,0.011449110694229603,0.02097983396298586,0.021059365820204904,0.053315368304568504,0.013806779305511845,1.1920928955078125e-07,1.4901161193847656e-08,0,0
7,K6X_D125_D135_D150_D175_D190_D210,MLP,168,0.0005846483400091529,22,0.01374415219155672,0.015986426438815395,0.9243365330321853,0.009811964817345142,0.010252309963107109,0.012908745683162682,0.013016713438532057,0.06439109255952345,0.009931431997599372,1.1920928955078125e-07,1.4901161193847656e-08,0,0
7,K6X_D125_D135_D150_D175_D190_D210,LF_DFT,,,22,0.35372347620065,0.3569164611200307,0.0,0.09857394830104062,0.04624650152500698,0.03726090449841624,0.037186147256540465,0.4630794443895669,0.32314340802759023,1.1102230246251565e-16,2.7755575615628914e-17,0,0
8,K6X_D130_D145_D155_D180_D195_D230,CNN,38,0.022223837673664093,22,0.12377351141842335,0.14521308788512938,0.28514963297572,0.04382413253188133,0.026839666068553925,0.06815188795504143,0.06789403647363333,0.2609051593767218,0.13376832864056026,1.1920928955078125e-07,2.9802322387695312e-08,0,0
8,K6X_D130_D145_D155_D180_D195_D230,MLP,16,0.017195459455251694,22,0.0856466900841084,0.11256503147114463,0.9040090344438172,0.03267065808176994,0.02189556695520878,0.0713327169165005,0.07117179952063492,0.21380197383140737,0.09791296221547952,1.1920928955078125e-07,2.9802322387695312e-08,0,0
8,K6X_D130_D145_D155_D180_D195_D230,LF_DFT,,,22,0.29904421206085763,0.31678012547261497,0.5990965556182948,0.09059373688419671,0.045712418608674046,0.06932640263769035,0.06840964586001475,0.4977902832245047,0.32382054151188217,0.0,0.0,0,0
9,K6X_D200_D205_D215_D220_D225_D230,CNN,20,0.03862430155277252,22,0.10054480741830511,0.10259555227124566,0.49068322981366463,0.07023736089468002,0.0407063327729702,0.13262577811869788,0.12267845276499491,0.34362395977243626,0.19425940569143804,1.1920928955078125e-07,2.9802322387695312e-08,0,0
9,K6X_D200_D205_D215_D220_D225_D230,MLP,8,0.10829499363899231,22,0.2476679315300876,0.2479803692299403,0.8430265386787127,0.14022767543792725,0.06674440950155258,0.10162633166161533,0.09394081832401335,0.25953349942380327,0.24792178843501345,1.1920928955078125e-07,2.9802322387695312e-08,0,0
9,K6X_D200_D205_D215_D220_D225_D230,LF_DFT,,,22,0.4077263381503346,0.40827400991901097,0.8430265386787127,0.12158169552341443,0.05972225609874988,0.1272605540639251,0.12714602402809286,0.24896496567661774,0.2960056974351057,1.1102230246251565e-16,2.7755575615628914e-17,0,0
