fold,held_out_geometry,model,best_epoch,best_monitor_loss,count,eta_plus1_MAE,eta_plus1_RMSE,eta_plus1_Spearman,transmitted_order_MAE,all_order_weighted_MAE,T_MAE,R_MAE,directionality_MAE,non_target_leakage_MAE,predicted_transmitted_order_sum_mismatch,predicted_reflected_consistency,negative_power_violations,nan_inf_count
1,K6X_D100_D105_D115_D120_D125_D130,CNN,5,0.03552936762571335,22,0.016055613261266814,0.0183727524948878,0.8418972332015812,0.10737279057502747,0.04816754162311554,0.1388352466497703,0.1154062211440568,0.5155835859171646,0.14146467704683874,5.960464477539063e-08,1.4901161193847656e-08,0,0
1,K6X_D100_D105_D115_D120_D125_D130,MLP,4,0.028664646670222282,22,0.11583080881841838,0.11955620972991958,-0.6205533596837945,0.11401976644992828,0.04819415137171745,0.08221565125216786,0.06431518142144078,0.4086462722954703,0.19804645871593526,1.1920928955078125e-07,1.4901161193847656e-08,0,0
1,K6X_D100_D105_D115_D120_D125_D130,LF_DFT,,,22,0.1473632676783796,0.14911833734581595,-0.4285714285714286,0.07284973725820766,0.03813692482873201,0.17660211143931176,0.1765164861101664,0.31606843569079485,0.3239653791176914,1.1102230246251565e-16,2.7755575615628914e-17,0,0
2,K6X_D100_D110_D115_D220_D225_D230,CNN,2,0.12587061524391174,22,0.11384364480307264,0.11656873840778575,-0.6623376623376624,0.15589523315429688,0.06745914369821548,0.11841100144045408,0.02456476805462484,0.6369816956260216,0.2322546455662012,5.960464477539063e-08,2.9802322387695312e-08,0,0
2,K6X_D100_D110_D115_D220_D225_D230,MLP,2,0.164467915892601,22,0.4530190364066724,0.4536107742329828,-0.7165443252399775,0.19262170791625977,0.08199745416641235,0.08017550583660116,0.10746142285828428,0.3053237481615988,0.37284353057007136,5.960464477539063e-08,7.450580596923828e-09,0,0
2,K6X_D100_D110_D115_D220_D225_D230,LF_DFT,,,22,0.2598398681374436,0.26043050105340715,-0.007340485601355168,0.1600896157449877,0.06847890546841426,0.021611402039372264,0.02161353785370814,0.4847953004060765,0.26852143559327635,0.0,2.7755575615628914e-17,0,0
3,K6X_D100_D115_D130_D145_D155_D185,CNN,60,0.008079798892140388,22,0.07598669489064634,0.08886739886885929,0.7120271033314512,0.024700041860342026,0.013654795475304127,0.03987209556408576,0.040863322807917685,0.1345875371973795,0.0839297826022352,1.1920928955078125e-07,7.450580596923828e-09,0,0
3,K6X_D100_D115_D130_D145_D155_D185,MLP,28,0.006470547057688236,22,0.06845983696734587,0.08247758387571369,0.6973461321287409,0.02052772231400013,0.012200605124235153,0.03337391471578995,0.03369585935164779,0.09714269641937551,0.05066899577780113,1.7881393432617188e-07,1.4901161193847656e-08,0,0
3,K6X_D100_D115_D130_D145_D155_D185,LF_DFT,,,22,0.4356117750481944,0.44317605548271144,0.0,0.11178331290774035,0.05109276956592237,0.09684431831590805,0.09681240914007566,0.4854338135664955,0.3468714127804526,1.1102230246251565e-16,2.7755575615628914e-17,0,0
4,K6X_D100_D130_D135_D155_D160_D225,CNN,19,0.009522704407572746,22,0.03766104267772114,0.05783483147829554,0.0694522868435912,0.06810322403907776,0.03329988196492195,0.03917935967651027,0.039081718567375044,0.2937958741706982,0.036842447486484714,1.1920928955078125e-07,1.4901161193847656e-08,0,0
4,K6X_D100_D130_D135_D155_D160_D225,MLP,6,0.00543552078306675,22,0.056817853188964706,0.0695102070547948,-0.22190852625635235,0.048856742680072784,0.026697922497987747,0.02271095746547713,0.02231746396969809,0.3175178129541704,0.0438769172210234,1.1920928955078125e-07,1.4901161193847656e-08,0,0
4,K6X_D100_D130_D135_D155_D160_D225,LF_DFT,,,22,0.2915225777978247,0.2968544596007704,0.0,0.11237040631186178,0.05002834483562135,0.04537245626288701,0.04529273734261647,0.604255194420102,0.2535590335149872,0.0,0.0,0,0
5,K6X_D100_D140_D145_D155_D225_D230,CNN,11,0.027119215577840805,22,0.11458890063290732,0.13962343081928166,-0.8159232072275552,0.11710133403539658,0.056176938116550446,0.052743437070264215,0.052850592472203674,0.1050849270547248,0.06869615803635036,1.1920928955078125e-07,2.9802322387695312e-08,0,0
5,K6X_D100_D140_D145_D155_D225_D230,MLP,2,0.021587535738945007,22,0.08644859075500663,0.10112202708872563,-0.5742518351214004,0.05548476055264473,0.03151835501194,0.09800119716383753,0.11378901682946883,0.16682817182347695,0.06804358171435214,1.1920928955078125e-07,7.450580596923828e-09,0,0
