geometry_id,wavelength_nm,metric,p_value,s_value,delta_p_minus_s,abs_delta
K6X_D100_D105_D115_D120_D125_D130,445,T,0.9558855772274175,0.9667532937900248,-0.010867716562607321,0.010867716562607321
K6X_D100_D105_D115_D120_D125_D130,445,R,0.043685748696156955,0.03338315033479617,0.010302598361360785,0.010302598361360785
K6X_D100_D105_D115_D120_D125_D130,445,eta_plus1,0.30819879215492857,0.30988388968507696,-0.001685097530148394,0.001685097530148394
K6X_D100_D105_D115_D120_D125_D130,445,eta_0,0.5122998155365458,0.51266352812286,-0.0003637125863141799,0.0003637125863141799
K6X_D100_D105_D115_D120_D125_D130,445,eta_minus1,0.05258309875405251,0.04750046993702284,0.005082628817029672,0.005082628817029672
K6X_D100_D105_D115_D120_D125_D130,445,directionality,0.8542523888281347,0.8670885598148445,-0.01283617098670975,0.01283617098670975
K6X_D100_D105_D115_D120_D125_D130,445,tx_-3,0.013790109194815159,0.010795987211167812,0.0029941219836473465,0.0029941219836473465
K6X_D100_D105_D115_D120_D125_D130,445,tx_-2,0.027316825464367867,0.030626215040683746,-0.00330938957631588,0.00330938957631588
K6X_D100_D105_D115_D120_D125_D130,445,tx_-1,0.05258309841156006,0.04750046879053116,0.0050826296210289,0.0050826296210289
K6X_D100_D105_D115_D120_D125_D130,445,tx_0,0.5122998356819153,0.5126635432243347,-0.0003637075424194336,0.0003637075424194336
K6X_D100_D105_D115_D120_D125_D130,445,tx_1,0.3081987798213959,0.30988389253616333,-0.001685112714767456,0.001685112714767456
K6X_D100_D105_D115_D120_D125_D130,445,tx_2,0.0328783243894577,0.04870093613862991,-0.01582261174917221,0.01582261174917221
K6X_D100_D105_D115_D120_D125_D130,445,tx_3,0.008818610571324825,0.006582267582416534,0.002236342988908291,0.002236342988908291
K6X_D100_D105_D115_D120_D125_D130,446,T,0.956545459768868,0.9677002905143892,-0.01115483074552126,0.01115483074552126
K6X_D100_D105_D115_D120_D125_D130,446,R,0.04306265167721002,0.03206142254177972,0.0110012291354303,0.0110012291354303
