theta_index,delta_theta_deg,L1_nm,W1_nm,L2_nm,W2_nm,D_nm,direct_clearance_nm,periodic_image_clearance_nm,global_minimum_clearance_nm,direct_headroom_over_60_nm,periodic_headroom_over_60_nm,nearest_direct_pair,nearest_periodic_pair,global_nearest_pair,direct_overlap_or_touch,no_direct_or_periodic_overlap_or_touch,cell_containment_pass,current_inherited_gate_pass,geometry_hash_sha256,scan_method
116,81.16,258,88,198,78,217,69.182634911806,67.182634911806,67.182634911806,9.182634911806,7.182634911806,"{""distance_nm"": 69.18263491180602, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.32283658015554, 64.5], ""point_b_nm"": [-23.32283658015554, -4.682634911806012], ""touch_or_overlap"": false}","{""distance_nm"": 67.18263491180602, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.32283658015554, 152.5], ""point_b_nm"": [23.32283658015554, 219.68263491180602], ""touch_or_overlap"": false}","{""distance_nm"": 67.18263491180602, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.32283658015554, 152.5], ""point_b_nm"": [23.32283658015554, 219.68263491180602], ""touch_or_overlap"": false}",True,True,True,True,585e21274866d6c0ef797f279cc8215b820e39a009ab468a1f4e5dcbf4d0d979,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
117,81.17,258,88,198,78,217,69.186707095907,67.186707095907,67.186707095907,9.186707095907,7.186707095907,"{""distance_nm"": 69.18670709590653, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.34095577325178, 64.5], ""point_b_nm"": [-23.340955773251775, -4.686707095906521], ""touch_or_overlap"": false}","{""distance_nm"": 67.18670709590651, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.34095577325178, 152.5], ""point_b_nm"": [23.340955773251775, 219.6867070959065], ""touch_or_overlap"": false}","{""distance_nm"": 67.18670709590651, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.34095577325178, 152.5], ""point_b_nm"": [23.340955773251775, 219.6867070959065], ""touch_or_overlap"": false}",True,True,True,True,11417a9b674b99433216209a51f16507d455b263d4cd63b145be2ac3e8d96ecb,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
118,81.18,258,88,198,78,217,69.190782442341,67.190782442341,67.190782442341,9.190782442341,7.190782442341,"{""distance_nm"": 69.19078244234076, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.359074255341852, 64.5], ""point_b_nm"": [-23.35907425534186, -4.6907824423407645], ""touch_or_overlap"": false}","{""distance_nm"": 67.19078244234078, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.359074255341852, 152.5], ""point_b_nm"": [23.35907425534186, 219.69078244234078], ""touch_or_overlap"": false}","{""distance_nm"": 67.19078244234078, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.359074255341852, 152.5], ""point_b_nm"": [23.35907425534186, 219.69078244234078], ""touch_or_overlap"": false}",True,True,True,True,16a3ac366c188e4ea31a3cf51d7dc08156235b52540cd4b5bd165ebe618429a7,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
119,81.19,258,88,198,78,217,69.194860950985,67.194860950985,67.194860950985,9.194860950985,7.194860950985,"{""distance_nm"": 69.19486095098459, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.377192025873796, 64.5], ""point_b_nm"": [-23.377192025873804, -4.694860950984597], ""touch_or_overlap"": false}","{""distance_nm"": 67.1948609509846, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.377192025873796, 152.5], ""point_b_nm"": [23.377192025873804, 219.6948609509846], ""touch_or_overlap"": false}","{""distance_nm"": 67.1948609509846, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.377192025873796, 152.5], ""point_b_nm"": [23.377192025873804, 219.6948609509846], ""touch_or_overlap"": false}",True,True,True,True,cda164ef3a53f55c9e3ebc46bfbc9e5e668fa44212c743a4b87b040be239fd1e,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
120,81.20,258,88,198,78,217,69.198942621714,67.198942621714,67.198942621714,9.198942621714,7.198942621714,"{""distance_nm"": 69.19894262171378, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.39530908429579, 64.5], ""point_b_nm"": [-23.39530908429579, -4.6989426217137815], ""touch_or_overlap"": false}","{""distance_nm"": 67.19894262171377, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.39530908429579, 152.5], ""point_b_nm"": [23.39530908429579, 219.69894262171377], ""touch_or_overlap"": false}","{""distance_nm"": 67.19894262171377, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.39530908429579, 152.5], ""point_b_nm"": [23.39530908429579, 219.69894262171377], ""touch_or_overlap"": false}",True,True,True,True,1e66a77e2427aaefb2f5844d111c687615ebf6b59d16f7f01d3f34770a66af93,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
121,81.21,258,88,198,78,217,69.203027454404,67.203027454404,67.203027454404,9.203027454404,7.203027454404,"{""distance_nm"": 69.20302745440398, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.41342543005588, 64.5], ""point_b_nm"": [-23.413425430055902, -4.70302745440398], ""touch_or_overlap"": false}","{""distance_nm"": 67.20302745440398, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.41342543005588, 152.5], ""point_b_nm"": [23.413425430055902, 219.70302745440398], ""touch_or_overlap"": false}","{""distance_nm"": 67.20302745440398, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.41342543005588, 152.5], ""point_b_nm"": [23.413425430055902, 219.70302745440398], ""touch_or_overlap"": false}",True,True,True,True,92f0489e57beec3ed42b4d0c53168207ad05c0f94e823996895d96fa349eb271,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
122,81.22,258,88,198,78,217,69.207115448931,67.207115448931,67.207115448931,9.207115448931,7.207115448931,"{""distance_nm"": 69.20711544893078, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.431541062602292, 64.5], ""point_b_nm"": [-23.431541062602292, -4.707115448930776], ""touch_or_overlap"": false}","{""distance_nm"": 67.20711544893078, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.431541062602292, 152.5], ""point_b_nm"": [23.431541062602292, 219.70711544893078], ""touch_or_overlap"": false}","{""distance_nm"": 67.20711544893078, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.431541062602292, 152.5], ""point_b_nm"": [23.431541062602292, 219.70711544893078], ""touch_or_overlap"": false}",True,True,True,True,b6775a1dfe458c1f63ddbf6f6c28a3da772b20df2a6335768e5631db6f1fdf05,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
123,81.23,258,88,198,78,217,69.211206605170,67.211206605170,67.211206605170,9.211206605170,7.211206605170,"{""distance_nm"": 69.21120660516964, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.449655981383145, 64.5], ""point_b_nm"": [-23.449655981383145, -4.711206605169641], ""touch_or_overlap"": false}","{""distance_nm"": 67.21120660516965, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.449655981383145, 152.5], ""point_b_nm"": [23.449655981383145, 219.71120660516965], ""touch_or_overlap"": false}","{""distance_nm"": 67.21120660516965, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.449655981383145, 152.5], ""point_b_nm"": [23.449655981383145, 219.71120660516965], ""touch_or_overlap"": false}",True,True,True,True,10daab40c28f6829cd3bf01be1e7d69ce9e551a268d08ef71676953a42c36949,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
124,81.24,258,88,198,78,217,69.215300922996,67.215300922996,67.215300922996,9.215300922996,7.215300922996,"{""distance_nm"": 69.21530092299594, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.467770185846618, 64.5], ""point_b_nm"": [-23.467770185846597, -4.715300922995934], ""touch_or_overlap"": false}","{""distance_nm"": 67.21530092299594, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.467770185846618, 152.5], ""point_b_nm"": [23.467770185846597, 219.71530092299594], ""touch_or_overlap"": false}","{""distance_nm"": 67.21530092299594, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.467770185846618, 152.5], ""point_b_nm"": [23.467770185846597, 219.71530092299594], ""touch_or_overlap"": false}",True,True,True,True,dde2ddd099520adddc598420372f5c1aa8c0be64dd8984cd205ba1821eb703b5,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
125,81.25,258,88,198,78,217,69.219398402285,67.219398402285,67.219398402285,9.219398402285,7.219398402285,"{""distance_nm"": 69.21939840228494, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.485883675440903, 64.5], ""point_b_nm"": [-23.485883675440906, -4.7193984022849325], ""touch_or_overlap"": false}","{""distance_nm"": 67.21939840228492, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.485883675440903, 152.5], ""point_b_nm"": [23.485883675440906, 219.71939840228492], ""touch_or_overlap"": false}","{""distance_nm"": 67.21939840228492, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.485883675440903, 152.5], ""point_b_nm"": [23.485883675440906, 219.71939840228492], ""touch_or_overlap"": false}",True,True,True,True,888b74e756a249509254b32d78cdf65a4250c40010419534b53b18564b1410a6,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
126,81.26,258,88,198,78,217,69.223499042912,67.223499042912,67.223499042912,9.223499042912,7.223499042912,"{""distance_nm"": 69.22349904291184, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.503996449614306, 64.5], ""point_b_nm"": [-23.503996449614313, -4.723499042911843], ""touch_or_overlap"": false}","{""distance_nm"": 67.22349904291184, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.503996449614306, 152.5], ""point_b_nm"": [23.503996449614313, 219.72349904291184], ""touch_or_overlap"": false}","{""distance_nm"": 67.22349904291184, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.503996449614306, 152.5], ""point_b_nm"": [23.503996449614313, 219.72349904291184], ""touch_or_overlap"": false}",True,True,True,True,b5467dd1ce3d7af654e394db92ee14b0e2fe0646b30be50a3f32252428e79fdf,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
127,81.27,258,88,198,78,217,69.227602844752,67.227602844752,67.227602844752,9.227602844752,7.227602844752,"{""distance_nm"": 69.22760284475174, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.52210850781499, 64.5], ""point_b_nm"": [-23.522108507814988, -4.727602844751738], ""touch_or_overlap"": false}","{""distance_nm"": 67.22760284475174, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.52210850781499, 152.5], ""point_b_nm"": [23.522108507814988, 219.72760284475174], ""touch_or_overlap"": false}","{""distance_nm"": 67.22760284475174, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.52210850781499, 152.5], ""point_b_nm"": [23.522108507814988, 219.72760284475174], ""touch_or_overlap"": false}",True,True,True,True,d98f6ff0104af5cf7c6eef31d5e4b2e1cae11a40a7add15ce1c0c7f90aa90127,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
128,81.28,258,88,198,78,217,69.231709807680,67.231709807680,67.231709807680,9.231709807680,7.231709807680,"{""distance_nm"": 69.23170980767962, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.54021984949135, 64.5], ""point_b_nm"": [-23.54021984949133, -4.73170980767962], ""touch_or_overlap"": false}","{""distance_nm"": 67.23170980767961, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.54021984949135, 152.5], ""point_b_nm"": [23.54021984949133, 219.7317098076796], ""touch_or_overlap"": false}","{""distance_nm"": 67.23170980767961, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.54021984949135, 152.5], ""point_b_nm"": [23.54021984949133, 219.7317098076796], ""touch_or_overlap"": false}",True,True,True,True,807dfbd2a840a6d043004ffb5e2e99461d5bcedf3780bb73a515abda891ddb01,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
129,81.29,258,88,198,78,217,69.235819931570,67.235819931570,67.235819931570,9.235819931570,7.235819931570,"{""distance_nm"": 69.23581993157036, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-23.558330474091534, 64.5], ""point_b_nm"": [-23.558330474091534, -4.735819931570364], ""touch_or_overlap"": false}","{""distance_nm"": 67.23581993157038, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.558330474091534, 152.5], ""point_b_nm"": [23.558330474091534, 219.73581993157038], ""touch_or_overlap"": false}","{""distance_nm"": 67.23581993157038, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [23.558330474091534, 152.5], ""point_b_nm"": [23.558330474091534, 219.73581993157038], ""touch_or_overlap"": false}",True,True,True,True,8592a195ab4b373c5e4b68dd7ae4ce6e4ff8f9467f7c6856542093a0803c3405,current exact polygon segment distance; fixed IAR-C2 geometry; 0.01-degree grid
