candidate_id,wavelength_nm,source_position_label,position_id,source_x_nm,source_y_nm,dipole_axis,result_csv,cone_half_angle_deg,R_power,L_power,L_fraction,DoCP_RminusL,total_cone_power,peak_abs_theta_deg,status
BW2_J1J2_D194_T90_PSI99_H525,447.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,5.0,1.0328791323466131e-12,2.9014333029586473e-12,0.7374689607571869,-0.47493792151437375,3.93431243530526e-12,10.434287000400207,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,10.0,3.99013631916654e-12,1.3473854676896183e-11,0.7715220810600439,-0.543044162120088,1.7463990996062724e-11,10.434287000400207,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,20.0,1.3975338662512682e-11,5.642571177984117e-11,0.801489628710071,-0.6029792574201419,7.040105044235385e-11,10.434287000400207,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,center,center,0.0,0.0,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,5.0,4.890146296806506e-13,2.239836675899979e-12,0.8207983598517835,-0.6415967197035671,2.7288513055806297e-12,15.785064336797854,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,center,center,0.0,0.0,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,10.0,2.1553226346118533e-12,8.060299003009946e-12,0.7890169868200391,-0.5780339736400782,1.02156216376218e-11,15.785064336797854,ok
BW2_J1J2_D194_T90_PSI99_H525,447.0,center,center,0.0,0.0,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,20.0,1.3021240493805822e-11,2.5200107847825523e-11,0.6593202213218924,-0.31864044264378477,3.8221348341631345e-11,15.785064336797854,ok
BW2_J1J2_D194_T90_PSI97_H525,447.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,5.0,1.1224839799361413e-12,2.9266652723353118e-12,0.7227852296858504,-0.44557045937170087,4.049149252271453e-12,10.434287000400207,ok
BW2_J1J2_D194_T90_PSI97_H525,447.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,10.0,4.302923880297679e-12,1.3560654000279667e-11,0.7591230654315815,-0.5182461308631628,1.7863577880577345e-11,10.434287000400207,ok
BW2_J1J2_D194_T90_PSI97_H525,447.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,20.0,1.4844171075552255e-11,5.652014918163863e-11,0.7919945005843938,-0.5839890011687875,7.136432025719089e-11,10.434287000400207,ok
BW2_J1J2_D194_T90_PSI97_H525,447.0,center,center,0.0,0.0,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,5.0,4.237208577202905e-13,2.3309796327389843e-12,0.8461826034489702,-0.6923652068979405,2.754700490459275e-12,16.302785877802556,ok
BW2_J1J2_D194_T90_PSI97_H525,447.0,center,center,0.0,0.0,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,10.0,1.9593386587483672e-12,8.227963984754621e-12,0.8076685529708939,-0.6153371059417879,1.0187302643502989e-11,16.302785877802556,ok
BW2_J1J2_D194_T90_PSI97_H525,447.0,center,center,0.0,0.0,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,20.0,1.2660856618381462e-11,2.5014815447024776e-11,0.6639514061911944,-0.32790281238238894,3.767567206540624e-11,16.302785877802556,ok
BW2_J1J2_D194_T90_PSI99_H525,448.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,5.0,1.0614182341641136e-12,2.937332009168036e-12,0.7345625083902124,-0.4691250167804249,3.9987502433321494e-12,10.434287000400209,ok
BW2_J1J2_D194_T90_PSI99_H525,448.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,10.0,4.083579424825146e-12,1.371937671236681e-11,0.7706235192988997,-0.5412470385977993,1.7802956137191956e-11,10.434287000400209,ok
BW2_J1J2_D194_T90_PSI99_H525,448.0,center,center,0.0,0.0,x,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,20.0,1.4272279049943341e-11,5.773016635391594e-11,0.801780634395254,-0.6035612687905082,7.200244540385928e-11,10.434287000400209,ok
BW2_J1J2_D194_T90_PSI99_H525,448.0,center,center,0.0,0.0,y,D:\project\worktrees\blue_apcd_cp_stage10_bw2a\outputs\stage10_cp_dipole_bw2a_no_dbr_microled_xline_center_spectral_run\stage10_cp_dipole_bw2a_center_spectral_case_results.csv,5.0,4.968754261934472e-13,2.4148289691398453e-12,0.82935237966127,-0.65870475932254,2.9117043953332925e-12,15.785064336797854,ok
