candidate_id,target_bin,nearest_bin_mode,unique_nearest_bins,Tx_mean,ratio_median,matrix_error_median,y_direct_leakage_median,phase_err_at_452nm,phase_err_max,extraction_schema_gate,projector_gate,phase_bin_gate,wavelength_stability_gate,b2c_class,class_meaning_cn,soft_rank_score,geometry_margin_note
LPML1A4_0157_B300_exploration_B300_H500,300,240,240,0.596152,1.525693,0.968701,0.363980,45.543915,84.369067,pass,fail,fail,pass,high_Tx_but_nonselective,透过高但泄漏/矩阵误差导致投影选择失败,1054.633566,not_available_in_batch_results
LPML1A4_0093_B300_exploration_B300_H500,300,180,180,0.779973,0.899749,1.056853,0.825546,111.201295,126.811138,pass,fail,fail,pass,high_Tx_but_nonselective,透过高但泄漏/矩阵误差导致投影选择失败,987.759854,not_available_in_batch_results
LPML1A4_0178_B300_exploration_B300_H650,300,60,0;60,0.912648,1.006323,0.997636,0.871888,90.452269,103.727366,pass,fail,fail,fail,high_Tx_but_nonselective,透过高但泄漏/矩阵误差导致投影选择失败,912.879590,not_available_in_batch_results
LPML1A4_0028_B300_exploration_B300_H600,300,300,240;300,0.261044,0.412745,1.626343,0.458557,29.250068,41.036022,pass,fail,near,fail,phase_near_but_nonselective,相位接近目标，但投影选择失败，不能算 APCD LP 成功,945.507670,not_available_in_batch_results
LPML1A4_0196_B300_exploration_B300_H500,300,300,240;300,0.153109,0.153982,3.296620,0.488182,25.473485,43.635772,pass,fail,near,fail,phase_near_but_nonselective,相位接近目标，但投影选择失败，不能算 APCD LP 成功,912.426209,not_available_in_batch_results
LPML1A4_0049_B300_exploration_B300_H500,300,120,120,0.412817,1.377731,0.905772,0.121019,178.091363,178.091363,pass,fail,fail,pass,phase_drifted_nonselective,相位漂移且投影选择失败，可作为负样本,918.938201,not_available_in_batch_results
