wavelength_nm,S0_xy_sourcepower_normalized,S1_xy_sourcepower_normalized,S2_xy_sourcepower_normalized,S3_xy_sourcepower_normalized,DoLP_xy,psi_xy_deg,DoCP_xy,useful_LP_axisfree_xy,upward_source_normalized_power_xy,net_source_normalized_power_xy,farfield_center_S0_xy,farfield_center_S1_xy,farfield_center_S2_xy,farfield_center_S3_xy,farfield_center_DoLP_xy,farfield_center_psi_xy_deg,farfield_center_DoCP_xy,farfield_angular_integral_raw_xy,farfield_angular_integral_over_sourcepower_xy
400.00000000000006,2.747079502286458,0.19225934362154784,0.007544682339444119,-0.020868669662200447,0.07004068194374467,1.123630083575386,-0.007596674812225481,1.469743411990142,0.00629938713209122,-0.07405640535736478,4.450535815872633e-15,-1.2748670210990456e-16,2.3443286398688065e-16,2.1650657972975653e-16,0.059960211156212424,59.26887286491131,0.04864730645635874,1.691179290334758e-14,4.580724800353082
401.0000000000001,2.9952629288064605,0.14487695490933072,0.007189689993307125,-0.02752144153194692,0.0484282171825128,1.420519996160787,-0.009188322423138174,1.5701590862207147,0.006895637911276735,-0.07473029927189595,4.185219713832403e-15,-4.595448577010056e-16,1.6180370378048662e-16,1.975888178352074e-16,0.1164091869782218,80.3015300422337,0.047211097945984645,1.8346280424522362e-14,5.019149156174915
402.0000000000001,3.212102008123592,0.08104620972922127,-0.0010589775388478396,-0.01585496963426012,0.025233671816959784,179.6256981595162,-0.004936010623000759,1.64657756801959,0.007389347876487681,-0.07594572976244117,4.250104556734168e-15,-1.0161567881757575e-15,-1.43896384427204e-18,2.719859655738706e-16,0.23909007259888435,90.04056780459386,0.06399512340065062,1.944871278194021e-14,5.374024711307727
403.0000000000001,3.2094599009315234,-0.04820096026413545,-0.00905544783358182,-0.00042875982378749386,0.015281138592055286,95.32002846291967,-0.00013359251619347209,1.629252051241651,0.007222494264721716,-0.07704018141596505,8.650022920668887e-15,-1.4339303390988479e-15,-7.268394656167765e-17,3.561368186497689e-16,0.16598467945230275,91.45088017837595,0.04117177745261161,1.880361827681733e-14,5.24766611193687
404.00000000000006,3.2514107677259654,-0.11259717898039179,-0.011393917511247034,0.0005884954984289419,0.03480710517027664,92.88909865998309,0.0001809969703829625,1.6822914821349866,0.007151797970721208,-0.07796224623957251,1.5552677318776917e-14,-8.85589700173018e-16,-3.5347313418144157e-16,4.844437433486067e-16,0.06130946229522248,100.87942771894346,0.03114857547798105,1.8430496363826353e-14,5.194778999080221
405.00000000000017,3.20743792326639,-0.12945682396151392,-0.014088386152350297,-0.002086367997744497,0.04059974609795313,93.10544025526058,-0.0006504780599525311,1.6688295442879757,0.00695490926424343,-0.07903126971836205,1.7439255753689593e-14,4.111395756901114e-15,-7.715763741783279e-16,4.2403482569111663e-16,0.23987085989325255,174.68553014501518,0.02431496112449663,1.7746827464752698e-14,5.051791339137186
406.00000000000006,3.245763411918081,-0.17311444883164673,-0.0036203525049192994,0.013030382213494743,0.0533471726184657,90.59902766010875,0.004014581643766343,1.7094578564661875,0.007012422850356552,-0.08004461613570497,7.53673370533393e-15,3.525002825382324e-15,-1.8914007071249112e-16,2.6080754566875993e-16,0.46838240990766966,178.46432098646312,0.034604850836666826,1.768102126546425e-14,5.082952659113207
407.0000000000001,3.3392328345395623,-0.29197939435456066,0.01761733451797357,0.024409036331890916,0.08759808608277773,88.27354831423914,0.00730977369394986,1.8158716199149985,0.007137584330226955,-0.08101007673556145,9.35671876263601e-15,2.5574042210869664e-15,-2.7849812979276233e-16,1.1551926801613028e-16,0.2749386449523045,176.89252571381445,0.012346130192288238,1.780269288225228e-14,5.168540465051729
408.00000000000006,3.3880329290177382,-0.3617858265112727,0.02725068384528799,0.010491313851213357,0.10708593453446436,87.84623070608271,0.003096579658762351,1.8754218007275707,0.00723935450504083,-0.08200376715724784,1.0457065951538695e-14,7.707888692954765e-16,-3.08635394944609e-16,-1.27971591689328e-16,0.07939931370491947,169.08904866008118,-0.012237810518016073,1.7862348606789952e-14,5.237014753067136
409.0,3.393689058175199,-0.3255799316695798,0.025913134255031132,0.0009901291537259861,0.09624026253977604,87.72469079934476,0.00029175600261338694,1.8601492920561729,0.0072130126918628365,-0.08379765695077704,1.446648665705833e-14,-8.283488030814938e-16,-2.497540552546979e-16,-2.0736512793841383e-16,0.05980590897964757,98.3892479899449,-0.01433417337977072,1.761221229682754e-14,5.21448866646042
