entity_type,rank,tile_x,tile_y,dimer_index,phase_bin_deg,pillar_role,center_x_nm,center_y_nm,distance_to_source_nm,local_bias_note
dimer,1,0,0,2,120,,-215.9538930000001,0.0,215.9538930000001,two central dimers are equidistant from optical origin
dimer,2,0,0,3,180,,215.9538930000001,0.0,215.9538930000001,two central dimers are equidistant from optical origin
dimer,3,0,-1,2,120,,-215.9538930000001,-432.0,482.97006522335886,
dimer,4,0,-1,3,180,,215.9538930000001,-432.0,482.97006522335886,
dimer,5,0,1,2,120,,-215.9538930000001,432.0,482.97006522335886,
dimer,6,0,1,3,180,,215.9538930000001,432.0,482.97006522335886,
pillar,1,0,0,3,180,J2,115.95389300000011,0.0,115.95389300000011,closest object is phase-180 J2; local coupling bias is plausible
pillar,2,0,0,2,120,J2,-215.9538930000001,32.5,218.3857456471358,
pillar,3,0,0,2,120,J1,-215.9538930000001,-72.5,227.7988891585196,
pillar,4,0,0,3,180,J1,295.9538930000001,0.0,295.9538930000001,
pillar,5,0,1,2,120,J1,-215.9538930000001,359.5,419.3761246206745,
pillar,6,0,-1,3,180,J2,115.95389300000011,-432.0,447.29107447148493,
