supercell_index,phase_bin_deg,actual_common_phase_deg,actual_common_phase_unwrapped_deg,dimer_center_x_nm,dimer_center_y_nm,position_monotonic_along_plus_x,phase_sequence_monotonic_along_plus_x,nominal_phase_step_deg,actual_phase_step_from_previous_deg,nominal_dphi_dx_rad_per_nm,repo_empirical_predicted_order,layout_consistency,source_file
0,0,-3.239252,-3.239252,-1079.7694649999999,0.0,True,True,60.0,,0.002424585953624364,+1 / +x (Stage12 periodic FDTD convention),pass,outputs/stage12_1_h500_lp_k6_forward_layout/stage12_1_k6_forward_layout_plan.csv
1,60,63.970518,63.970518000000006,-647.861679,0.0,True,True,60.0,67.20977,0.002424585953624364,+1 / +x (Stage12 periodic FDTD convention),pass,outputs/stage12_1_h500_lp_k6_forward_layout/stage12_1_k6_forward_layout_plan.csv
2,120,128.570843,128.570843,-215.9538930000001,0.0,True,True,60.0,64.600325,0.002424585953624364,+1 / +x (Stage12 periodic FDTD convention),pass,outputs/stage12_1_h500_lp_k6_forward_layout/stage12_1_k6_forward_layout_plan.csv
3,180,175.864813,175.864813,215.9538930000001,0.0,True,True,60.0,47.29397,0.002424585953624364,+1 / +x (Stage12 periodic FDTD convention),pass,outputs/stage12_1_h500_lp_k6_forward_layout/stage12_1_k6_forward_layout_plan.csv
4,240,-127.365287,232.634713,647.8616789999999,0.0,True,True,60.0,56.76990000000001,0.002424585953624364,+1 / +x (Stage12 periodic FDTD convention),pass,outputs/stage12_1_h500_lp_k6_forward_layout/stage12_1_k6_forward_layout_plan.csv
5,300,-52.525765,307.47423499999996,1079.769465,0.0,True,True,60.0,74.83952199999996,0.002424585953624364,+1 / +x (Stage12 periodic FDTD convention),pass,outputs/stage12_1_h500_lp_k6_forward_layout/stage12_1_k6_forward_layout_plan.csv
