case_id,polarization,wavelength_nm,T_total,R_total,closure,residual,eta_plus1,eta_0,eta_minus1,directionality_plus1_over_pm1,eta_plus1_over_minus1,order_sum_T_mismatch,open_order_count,dominant_order_n
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.0,0.6645395228575506,0.31370830712431785,0.9782478299818684,0.021752170018131567,0.12770937175908914,0.07749109348523618,0.10609584088292513,0.5462212339749181,1.2037170420281993,1.1102230246251565e-16,8,1
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.99999999999994,0.6654779334259456,0.3159345609102673,0.9814124943362129,0.018587505663787085,0.12621588925145463,0.07529954404336861,0.10887825034763673,0.53687382197911,1.159238772192432,1.1102230246251565e-16,8,2
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,446.99999999999994,0.6669196403574248,0.31723261741889336,0.9841522577763182,0.01584774222368185,0.12528033139673386,0.07365590336852923,0.11167225129367654,0.5287147748054658,1.1218573096307576,0.0,8,2
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,448.00000000000006,0.6644086033410306,0.3217713840675411,0.9861799874085717,0.013820012591428343,0.12493244240714103,0.07222501692005684,0.11392815846797932,0.5230349498804847,1.0965896762235,0.0,8,2
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,449.0,0.6732583472226461,0.31785906821391796,0.9911174154365641,0.008882584563435936,0.12003026137271312,0.07188473323102708,0.11317258405758984,0.5147032453709336,1.0605948637846214,1.1102230246251565e-16,8,6
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,450.0,0.6945426528202804,0.2962506721904919,0.9907933250107723,0.009206674989227726,0.12032614874663729,0.07047835680416716,0.12140996334314873,0.4977582691573428,0.9910731000432956,1.1102230246251565e-16,8,6
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,450.9999999999999,0.6983156128100103,0.2924541205962708,0.990769733406281,0.009230266593718894,0.11988536679181609,0.06912175469221797,0.12471404215902884,0.49012942143252863,0.9612820233903133,0.0,8,6
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,451.99999999999994,0.7032621991252792,0.28696737680538725,0.9902295759306665,0.009770424069333539,0.11908806505677268,0.06766782163644688,0.12771498965644484,0.48252265432918456,0.9324517456965802,0.0,8,6
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,453.00000000000006,0.708220072449662,0.2806204839016053,0.9888405563512673,0.01115944364873267,0.11823705160795078,0.06599836674340691,0.13046883256337782,0.4754091444273976,0.9062474867360738,1.1102230246251565e-16,8,6
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,453.9999999999999,0.7130372384880856,0.2737916665588422,0.9868289050469279,0.013171094953072171,0.11743625718079492,0.06408031835574131,0.13297384483999405,0.4689757171659369,0.8831530540619071,0.0,8,6
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,455.00000000000006,0.7173564500890918,0.26685046196177137,0.9842069120508632,0.015793087949136864,0.11679755287967072,0.06189564729859222,0.1351864034041045,0.46351186243039033,0.8639741123264807,1.1102230246251565e-16,8,6
