wavelength_nm,delta_T,delta_R,delta_eta_plus1,delta_eta_0,delta_eta_minus1,delta_residual
445.0,-0.011206591832011892,0.010875641686048876,-0.009224539755004868,0.009017619544037708,-0.008226908024321189,0.000330950145963016
445.99999999999994,-0.0042043952641992455,0.0029661036979943267,-0.007039072459688128,0.01167518724084253,-0.010014939695897701,0.0012382915662049188
446.99999999999994,0.001336689764229626,-0.0022194584410323848,-0.005553671825791917,0.01262884576705451,-0.009028831607517454,0.0008827686768027587
448.00000000000006,-0.0012601754486210037,0.0007660088333849013,-0.004382587680256997,0.012741969597051601,-0.008729378834415172,0.0004941666152361024
449.0,0.005702886270899654,-0.002256506052126017,-0.008231337581387319,0.01351325658973291,-0.011705188689374452,-0.003446380218773637
450.0,0.025671063650991033,-0.022811649475202256,-0.0072509638407380755,0.013059947838866208,-0.005654486103677178,-0.002859414175788777
450.9999999999999,0.038807804889940956,-0.03619304775496546,-0.007190632489980878,0.012872958173623598,-0.001791995081285247,-0.0026147571349754983
451.99999999999994,0.012393357362710078,-0.011310820224264051,-0.0036116180635698825,0.012112767508099857,-0.004503393473546252,-0.001082537138446027
453.00000000000006,0.012837008116286408,-0.010256292365595443,-0.004540779564946376,0.01143358959397836,-0.0054138794968390525,-0.002580715750690965
453.9999999999999,0.013238131152972787,-0.00995996430106949,-0.004704803562661536,0.010768915257433127,-0.005600883851907379,-0.003278166851903297
455.00000000000006,0.012935819426165951,-0.009200459260842897,-0.004583400640458604,0.010067373949382542,-0.005825838435448372,-0.003735360165323054
