case_id,polarization,wavelength_nm,order_n,u_x,transmitted_fraction,eta_abs,power_source_norm
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.0,-1,-0.9366827804495408,0.15965316920009232,0.10609584088292513,0.1596531692000923
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.0,0,-0.6809356540127592,0.11660870545670618,0.07749109348523618,0.11660870545670615
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.0,1,-0.42518852757597764,0.19217724057996272,0.12770937175908914,0.19217724057996266
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.0,2,-0.16944140113919598,0.18983437558573868,0.12615244537370784,0.18983437558573862
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.0,3,0.08630572529758569,0.06541036740030133,0.04346777434213333,0.06541036740030132
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.0,4,0.3420528517343673,0.0742402218700693,0.049335561618374546,0.07424022187006929
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.0,5,0.597799978171149,0.02275428227747957,0.015121119887642294,0.022754282277479568
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.0,6,0.8535471046079306,0.17932163762965,0.1191663155084422,0.17932163762964998
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.99999999999994,-1,-0.9387876855741464,0.16360910689723523,0.10887825034763673,0.16360910689723523
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.99999999999994,0,-0.6824658464936867,0.11315107573247273,0.07529954404336861,0.11315107573247273
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.99999999999994,1,-0.42614400741322694,0.18966202019905132,0.12621588925145463,0.18966202019905132
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.99999999999994,2,-0.16982216833276717,0.19466194092400482,0.12954322616279024,0.19466194092400482
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.99999999999994,3,0.0864996707476926,0.059521437883824024,0.039610203477468,0.059521437883824024
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.99999999999994,4,0.3428215098281523,0.07172529124866237,0.047731598594533894,0.07172529124866237
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.99999999999994,5,0.5991433489086122,0.023905452388417445,0.01590855105305638,0.023905452388417445
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,445.99999999999994,6,0.8554651879890719,0.18376367472633212,0.12229067049563717,0.18376367472633212
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,446.99999999999994,-1,-0.9408925906987521,0.16744483823242573,0.11167225129367654,0.16744483823242573
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,446.99999999999994,0,-0.6839960389746141,0.11044194669248987,0.07365590336852923,0.11044194669248987
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,446.99999999999994,1,-0.4270994872504763,0.18784921573098656,0.12528033139673386,0.18784921573098656
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,446.99999999999994,2,-0.1702029355263384,0.19893010690877408,0.13267039535586367,0.19893010690877408
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,446.99999999999994,3,0.08669361619779954,0.054528672789059075,0.036366242845646976,0.054528672789059075
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,446.99999999999994,4,0.3435901679219374,0.06903108180359599,0.046038184249938205,0.06903108180359599
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,446.99999999999994,5,0.6004867196460754,0.02484035711330556,0.016566522032355743,0.02484035711330556
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,446.99999999999994,6,0.8573832713702133,0.1869337807293631,0.12466980981468054,0.1869337807293631
NP_K6_M10B_ALT1_UX_M0d482758620690_P_XLIKE,P_XLIKE,448.00000000000006,-1,-0.9429974958233579,0.17147303315321727,0.11392815846797932,0.17147303315321727
