phase_bin,x_nm,diameter_nm,nominal_area_nm2,cells_across_x,cells_across_y,deep_tio2_area_proxy_nm2,effective_material_occupancy_proxy_nm2,relative_effective_area_proxy_error,interface_effective_cell_count,anisotropic_interface_cell_count,component_disagreement_cell_count,exact_geometric_fill_fraction
0,-725.0,130.0,13273.228961416875,14,13,11309.999999999995,13284.761904761895,0.0008688875463947024,22,32,32,False
1,-435.0,145.0,16512.99638543135,15,15,14483.888888888921,16539.666666666693,0.0016151085249963013,22,34,34,False
2,-145.0,155.0,18869.190875623695,16,17,16762.60416666668,18916.458333333343,0.002505007131530506,23,45,45,False
3,145.0,180.0,25446.900494077327,20,19,22803.15789473685,25642.1052631579,0.007671062694885261,31,55,55,False
4,435.0,195.0,29864.76516318797,20,21,26954.181818181758,30136.272727272662,0.009091233853710608,34,55,55,False
5,725.0,230.0,41547.56284372502,23,23,37436.36363636353,40899.22727272716,-0.015604659494384176,37,55,55,False
