case_type,candidate_performance_label,wavelength_nm,formal_T_total,formal_R_total,formal_closure,formal_residual,formal_fraction_sum,formal_fraction_sum_residual,formal_absolute_order_sum,formal_absolute_order_sum_minus_T,formal_eta_plus1_abs,formal_eta_0_abs,formal_eta_minus1_abs,formal_non_target_abs,formal_directionality,formal_plus_minus_ratio,formal_plus1_u_x,formal_dominant_order,diagnostic_T_total,diagnostic_R_total,diagnostic_closure,diagnostic_residual,diagnostic_fraction_sum,diagnostic_fraction_sum_residual,diagnostic_absolute_order_sum,diagnostic_absolute_order_sum_minus_T,diagnostic_eta_plus1_abs,diagnostic_eta_0_abs,diagnostic_eta_minus1_abs,diagnostic_non_target_abs,diagnostic_directionality,diagnostic_plus_minus_ratio,diagnostic_plus1_u_x,diagnostic_dominant_order,delta_T_total,delta_R_total,delta_closure,delta_residual,delta_fraction_sum,delta_absolute_order_sum,delta_eta_plus1_abs,delta_eta_0_abs,delta_eta_minus1_abs,delta_directionality
m2_index_diagnostic,False,445.0,0.7813159017068165,0.21388085026365827,0.9951967519704747,0.004803248029525198,0.9999999999999999,1.1102230246251565e-16,0.7813159017068164,-1.1102230246251565e-16,0.6908267487795045,0.051517719779046095,0.00038254515610282167,0.09048915292731197,0.998893113389941,1805.8698110761645,0.2557471264367816,1,0.7813159017068165,0.21388085026365827,0.9951967519704747,0.004803248029525198,0.9999999999999999,1.1102230246251565e-16,0.7813159017068164,-1.1102230246251565e-16,0.6908267487795045,0.051517719779046095,0.00038254515610282167,0.09048915292731197,0.998893113389941,1805.8698110761645,0.2557471264367816,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m2_index_diagnostic,False,445.99999999999994,0.7847795078231997,0.21544429429467263,1.0002238021178724,-0.00022380211787234594,0.9999999999999999,1.1102230246251565e-16,0.7847795078231996,-1.1102230246251565e-16,0.6913340614225246,0.0516337388465674,0.0005104837789746755,0.09344544640067498,0.9985242818418811,1354.2723390958538,0.25632183908045975,1,0.7847795078231997,0.21544429429467263,1.0002238021178724,-0.00022380211787234594,0.9999999999999999,1.1102230246251565e-16,0.7847795078231996,-1.1102230246251565e-16,0.6913340614225246,0.0516337388465674,0.0005104837789746755,0.09344544640067498,0.9985242818418811,1354.2723390958538,0.25632183908045975,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m2_index_diagnostic,False,446.99999999999994,0.7727650830493785,0.21929847071668207,0.9920635537660606,0.00793644623393941,1.0,0.0,0.7727650830493785,0.0,0.6748100927111219,0.05064310488987132,0.0006395304852635364,0.09795499033825661,0.9981063562305739,1055.1648565010119,0.2568965517241379,1,0.7727650830493785,0.21929847071668207,0.9920635537660606,0.00793644623393941,1.0,0.0,0.7727650830493785,0.0,0.6748100927111219,0.05064310488987132,0.0006395304852635364,0.09795499033825661,0.9981063562305739,1055.1648565010119,0.2568965517241379,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m2_index_diagnostic,False,448.00000000000006,0.7754348423830397,0.24868473581253336,1.024119578195573,-0.024119578195573088,0.9999999999999999,1.1102230246251565e-16,0.7754348423830396,-1.1102230246251565e-16,0.6992679983789094,0.03162302836819568,0.0001923914413512183,0.07616684400413021,0.999449886100339,3634.610736671844,0.2574712643678161,1,0.7754348423830397,0.24868473581253336,1.024119578195573,-0.024119578195573088,0.9999999999999999,1.1102230246251565e-16,0.7754348423830396,-1.1102230246251565e-16,0.6992679983789094,0.03162302836819568,0.0001923914413512183,0.07616684400413021,0.999449886100339,3634.610736671844,0.2574712643678161,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m2_index_diagnostic,False,449.0,0.7169769668767384,0.2942513202530947,1.011228287129833,-0.011228287129833092,0.9999999999999999,1.1102230246251565e-16,0.7169769668767383,-1.1102230246251565e-16,0.5791444848073394,0.05094259800356953,0.004110552802440727,0.1378324820693989,0.9859047842285732,140.89211661834395,0.25804597701149423,1,0.7169769668767384,0.2942513202530947,1.011228287129833,-0.011228287129833092,0.9999999999999999,1.1102230246251565e-16,0.7169769668767383,-1.1102230246251565e-16,0.5791444848073394,0.05094259800356953,0.004110552802440727,0.1378324820693989,0.9859047842285732,140.89211661834395,0.25804597701149423,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m2_index_diagnostic,False,450.0,0.7267741680563367,0.26100222615253255,0.9877763942088692,0.012223605791130798,1.0,0.0,0.7267741680563367,0.0,0.6087855469257185,0.05360130784988615,0.0023391142505546146,0.11798862113061814,0.9923448867337397,260.2632799066453,0.25862068965517243,1,0.7267741680563367,0.26100222615253255,0.9877763942088692,0.012223605791130798,1.0,0.0,0.7267741680563367,0.0,0.6087855469257185,0.05360130784988615,0.0023391142505546146,0.11798862113061814,0.9923448867337397,260.2632799066453,0.25862068965517243,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m2_index_diagnostic,False,450.9999999999999,0.7481913645955629,0.25323653025683135,1.0014278948523943,-0.0014278948523942514,1.0,0.0,0.7481913645955629,0.0,0.6320301886922298,0.050765580969709165,0.0028684917278037105,0.11616117590333308,0.9909639386054293,220.3353708731627,0.2591954022988506,1,0.7481913645955629,0.25323653025683135,1.0014278948523943,-0.0014278948523942514,1.0,0.0,0.7481913645955629,0.0,0.6320301886922298,0.050765580969709165,0.0028684917278037105,0.11616117590333308,0.9909639386054293,220.3353708731627,0.2591954022988506,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m2_index_diagnostic,False,451.99999999999994,0.7543299677188644,0.24238629297255912,0.9967162606914235,0.0032837393085764777,1.0,0.0,0.7543299677188644,0.0,0.6439376882679924,0.04789579782539962,0.0040478721304019775,0.11039227945087204,0.9875062890972036,159.08054096660547,0.2597701149425287,1,0.7543299677188644,0.24238629297255912,0.9967162606914235,0.0032837393085764777,1.0,0.0,0.7543299677188644,0.0,0.6439376882679924,0.04789579782539962,0.0040478721304019775,0.11039227945087204,0.9875062890972036,159.08054096660547,0.2597701149425287,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m2_index_diagnostic,False,453.00000000000006,0.7550816141201805,0.2428971906938752,0.9979788048140557,0.002021195185944319,1.0000000000000002,-2.220446049250313e-16,0.7550816141201807,2.220446049250313e-16,0.6444808209496602,0.044710511012331595,0.0047309747096211385,0.11060079317052052,0.9854254813567681,136.22580134258865,0.26034482758620686,1,0.7550816141201805,0.2428971906938752,0.9979788048140557,0.002021195185944319,1.0000000000000002,-2.220446049250313e-16,0.7550816141201807,2.220446049250313e-16,0.6444808209496602,0.044710511012331595,0.0047309747096211385,0.11060079317052052,0.9854254813567681,136.22580134258865,0.26034482758620686,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m2_index_diagnostic,False,453.9999999999999,0.7632268159471394,0.23612420655056518,0.9993510224977046,0.0006489775022954503,1.0000000000000002,-2.220446049250313e-16,0.7632268159471396,2.220446049250313e-16,0.6559076714334883,0.04219458109311799,0.005978195970730313,0.10731914451365132,0.981935870623207,109.71665610241959,0.260919540229885,1,0.7632268159471394,0.23612420655056518,0.9993510224977046,0.0006489775022954503,1.0000000000000002,-2.220446049250313e-16,0.7632268159471396,2.220446049250313e-16,0.6559076714334883,0.04219458109311799,0.005978195970730313,0.10731914451365132,0.981935870623207,109.71665610241959,0.260919540229885,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m2_index_diagnostic,False,455.00000000000006,0.7623682575553297,0.23429091572142627,0.9966591732767559,0.003340826723244067,1.0,0.0,0.7623682575553297,0.0,0.6548934396622977,0.040080381839876854,0.007125727841858995,0.10747481789303193,0.9784727446224155,91.90548028163897,0.26149425287356326,1,0.7623682575553297,0.23429091572142627,0.9966591732767559,0.003340826723244067,1.0,0.0,0.7623682575553297,0.0,0.6548934396622977,0.040080381839876854,0.007125727841858995,0.10747481789303193,0.9784727446224155,91.90548028163897,0.26149425287356326,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
