axis,m1_count,m2_count,m1_min_nm,m1_max_nm,m2_min_nm,m2_max_nm,m1_m2_nested
x,134,166,-870.0,870.0,-870.0,870.0,False
y,25,31,-145.0,145.0,-145.0,145.0,False
z,52,66,-88.88888888888901,591.3043478260875,-102.85714285714319,596.5517241379309,False
