phase_bin,diameter_nm,m1_effective_area_proxy_nm2,m2_effective_area_proxy_nm2,delta_effective_area_proxy_nm2,m1_interface_cells,m2_interface_cells,m1_anisotropic_cells,m2_anisotropic_cells
0,130.0,13433.823529411758,13284.761904761895,-149.061624649863,15,22,21,32
1,145.0,16352.77777777781,16539.666666666693,186.88888888888323,16,22,33,34
2,155.0,19305.44871794872,18916.458333333343,-388.99038461537566,21,23,37,45
3,180.0,25810.0,25642.1052631579,-167.89473684209952,25,31,42,55
4,195.0,30226.59883720929,30136.272727272662,-90.3261099366282,28,34,44,55
5,230.0,42047.89244186043,40899.22727272716,-1148.6651691332663,33,37,48,55
