phase_bin,diameter_nm,base_nearest_z_nm,top_nearest_z_nm,cells_across_x,effective_discrete_height_proxy_nm,base_interface_cell_count,top_interface_cell_count,sidewall_interface_cell_count,exact_geometric_fill_fraction
0,130.0,3.3583532869652924e-13,0.0,14,500.00000000000006,1,14,66,False
1,145.0,3.3583532869652924e-13,0.0,15,500.00000000000006,1,15,67,False
2,155.0,3.3583532869652924e-13,0.0,16,500.00000000000006,1,16,68,False
3,180.0,3.3583532869652924e-13,0.0,20,500.00000000000006,2,20,124,False
4,195.0,3.3583532869652924e-13,0.0,20,500.00000000000006,1,20,72,False
5,230.0,3.3583532869652924e-13,0.0,23,500.00000000000006,0,23,23,False
