wavelength_nm,m1_T,m2_T,delta_T,m1_R,m2_R,delta_R,m1_residual,m2_residual,delta_residual,m1_eta_plus1_abs,m2_eta_plus1_abs,delta_eta_plus1_abs,m1_eta_0_abs,m2_eta_0_abs,delta_eta_0_abs,m1_eta_minus1_abs,m2_eta_minus1_abs,delta_eta_minus1_abs,m2_directionality,grid_nesting
445,0.7854676321032746,0.7813159017068165,-0.004151730396458109,0.2110780178905813,0.21388085026365827,0.0028028323730769633,0.0034543500061440524,0.004803248029525198,0.0013488980233811454,0.7011284653762475,0.6908267487795045,-0.01030171659674306,0.04881194122184186,0.051517719779046095,0.002705778557204233,0.0003813260646109162,0.00038254515610282167,1.219091491905472e-06,0.998893113389941,NON_NESTED
446,0.7871431455238945,0.7847795078231997,-0.0023636377006948095,0.20958900311346024,0.21544429429467263,0.005855291181212391,0.0032678513626452355,-0.00022380211787234594,-0.0034916534805175814,0.6997922821735602,0.6913340614225246,-0.008458220751035528,0.0490789130639654,0.0516337388465674,0.0025548257826020007,0.0004648151379379873,0.0005104837789746755,4.5668641036688206e-05,0.9985242818418811,NON_NESTED
447,0.7781491053329134,0.7727650830493785,-0.005384022283534851,0.2169664981539021,0.21929847071668207,0.002331972562779977,0.004884396513184536,0.00793644623393941,0.0030520497207548736,0.683868041682781,0.6748100927111219,-0.009057948971659124,0.04971437293263667,0.05064310488987132,0.0009287319572346478,0.0005930923661947689,0.0006395304852635364,4.643811906876753e-05,0.9981063562305739,NON_NESTED
448,0.7869937185498883,0.7754348423830397,-0.011558876166848586,0.21553880140970672,0.24868473581253336,0.03314593440282665,-0.0025325199595950254,-0.024119578195573088,-0.021587058235978063,0.6983654019850184,0.6992679983789094,0.0009025963938910087,0.04404726438598047,0.03162302836819568,-0.012424236017784793,0.0006808855312326695,0.0001923914413512183,-0.0004884940898814511,0.999449886100339,NON_NESTED
449,0.5897838387979802,0.7169769668767384,0.12719312807875816,0.32745908697327863,0.2942513202530947,-0.03320776672018394,0.08275707422874112,-0.011228287129833092,-0.09398536135857422,0.5365228961707988,0.5791444848073394,0.04262158863654053,0.021382501016138394,0.05094259800356953,0.029560096987431138,0.0010931682423566487,0.004110552802440727,0.0030173845600840778,0.9859047842285732,NON_NESTED
450,0.5703648932644687,0.7267741680563367,0.15640927479186795,0.3864821448017938,0.26100222615253255,-0.12547991864926128,0.043152961933737466,0.012223605791130798,-0.030929356142606668,0.4200575528659271,0.6087855469257185,0.1887279940597914,0.029390286181521105,0.05360130784988615,0.024211021668365043,0.0004374600274028069,0.0023391142505546146,0.0019016542231518078,0.9923448867337397,NON_NESTED
451,0.7588533425545482,0.7481913645955629,-0.01066197795898527,0.25122566058842416,0.25323653025683135,0.002010869668407189,-0.010079003142972331,-0.0014278948523942514,0.00865110829057808,0.6460322713952411,0.6320301886922298,-0.014002082703011287,0.050344994647534544,0.050765580969709165,0.0004205863221746209,0.002862919268787771,0.0028684917278037105,5.572459015939536e-06,0.9909639386054293,NON_NESTED
452,0.7491595583534932,0.7543299677188644,0.005170409365371165,0.2411526206707171,0.24238629297255912,0.0012336723018420148,0.009687820975789657,0.0032837393085764777,-0.0064040816672131795,0.6422661874681588,0.6439376882679924,0.0016715007998335807,0.045851088391536295,0.04789579782539962,0.002044709433863326,0.003550337430332365,0.0040478721304019775,0.0004975347000696125,0.9875062890972036,NON_NESTED
453,0.762931707187793,0.7550816141201805,-0.007850093067612529,0.23939434768935275,0.2428971906938752,0.0035028430045224435,-0.0023260548771457668,0.002021195185944319,0.004347250063090086,0.6559382203086783,0.6444808209496602,-0.011457399359018128,0.04370091995628625,0.044710511012331595,0.001009591056045346,0.004480687234423454,0.0047309747096211385,0.00025028747519768423,0.9854254813567681,NON_NESTED
454,0.7626354509426144,0.7632268159471394,0.0005913650045249463,0.23282152106027293,0.23612420655056518,0.003302685490292251,0.0045430279971126475,0.0006489775022954503,-0.0038940504948171972,0.6594190653947766,0.6559076714334883,-0.0035113939612883005,0.04039538569300963,0.04219458109311799,0.0017991954001083596,0.005620146066788989,0.005978195970730313,0.0003580499039413246,0.981935870623207,NON_NESTED
455,0.7666415777198577,0.7623682575553297,-0.004273320164528083,0.23191516265919537,0.23429091572142627,0.0023757530622308953,0.0014432596209468795,0.003340826723244067,0.0018975671022971874,0.6628354780623371,0.6548934396622977,-0.007942038400039375,0.03844968340726809,0.040080381839876854,0.0016306984326087612,0.006650048693466658,0.007125727841858995,0.00047567914839233717,0.9784727446224155,NON_NESTED
