wavelength_nm,frequency_hz,n_real,k_imag,epsilon_real,epsilon_imag,source_fsp_sha256,extraction_method
420.0,7.13791566667e+14,2.46646928141,0.0946656683111,6.07450912736,0.466979925786,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
420.1,7.13621656748e+14,2.46625680646,0.0946184264233,6.0734699888,0.466706676366,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
420.2,7.13451827701e+14,2.46604466189,0.0945712941294,6.07243254477,0.466434070112,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
420.3,7.13282079467e+14,2.465832847,0.0945242710639,6.07139679151,0.466162104856,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
420.4,7.13112411989e+14,2.46562136108,0.094477356863,6.07036272525,0.465890778439,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
420.5,7.12942825208e+14,2.46541020344,0.0944305511641,6.06933034225,0.465620088713,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
420.6,7.12773319068e+14,2.46519937339,0.0943838536061,6.06829963876,0.465350033537,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
420.7,7.12603893511e+14,2.46498887024,0.0943372638295,6.06727061107,0.465080610778,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
420.8,7.12434548479e+14,2.4647786933,0.0942907814759,6.06624325545,0.464811818312,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
420.9,7.12265283915e+14,2.46456884187,0.0942444061884,6.0652175682,0.464543654024,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
421.0,7.12096099762e+14,2.46435931527,0.0941981376116,6.06419354562,0.464276115808,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
421.1,7.11926995963e+14,2.46415011282,0.0941519753914,6.06317118402,0.464009201565,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
421.2,7.1175797246e+14,2.46394123383,0.094105919175,6.06215047973,0.463742909205,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
421.3,7.11589029195e+14,2.46373267762,0.0940599686112,6.06113142909,0.463477236647,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
421.4,7.11420166113e+14,2.46352444352,0.09401412335,6.06011402843,0.463212181818,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
421.5,7.11251383155e+14,2.46331653084,0.0939683830428,6.05909827412,0.462947742652,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
421.6,7.11082680266e+14,2.46310893892,0.0939227473422,6.05808416251,0.462683917093,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
421.7,7.10914057387e+14,2.46290166707,0.0938772159026,6.05707168999,0.462420703093,d7511bb92154152d5050d7ae664cb5b281ad3794a280129008359353b357e26f,getfdtdindex queried fitted/effective response from source FSP
