wavelength_nm,k_imag,absorption_coefficient_m_inv,absorption_coefficient_cm_inv,intensity_remaining_100nm,intensity_remaining_400nm,intensity_remaining_1um
420.0,0.0946656683111,2832390.17251,28323.9017251,0.753339705154,0.322079757824,0.0588719712028
420.1,0.0946184264233,2830302.81691,28303.0281691,0.753496970352,0.322348788115,0.058994986285
420.2,0.0945712941294,2828219.73229,28282.1973229,0.753653946496,0.322617491967,0.0591180059189
420.3,0.0945242710639,2826140.90469,28261.4090469,0.753810634444,0.322885869993,0.05924102989
420.4,0.094477356863,2824066.32018,28240.6632018,0.753967035053,0.323153922806,0.0593640579847
420.5,0.0944305511641,2821995.96491,28219.9596491,0.754123149176,0.32342165102,0.059487089991
420.6,0.0943838536061,2819929.82507,28199.2982507,0.754278977662,0.323689055247,0.0596101256984
420.7,0.0943372638295,2817867.88692,28178.6788692,0.754434521358,0.323956136098,0.0597331648971
420.8,0.0942907814759,2815810.13675,28158.1013675,0.754589781108,0.324222894185,0.0598562073791
420.9,0.0942444061884,2813756.56093,28137.5656093,0.754744757753,0.324489330118,0.0599792529379
421.0,0.0941981376116,2811707.14587,28117.0714587,0.754899452131,0.324755444507,0.0601023013677
421.1,0.0941519753914,2809661.87804,28096.6187804,0.755053865078,0.325021237961,0.0602253524643
421.2,0.094105919175,2807620.74396,28076.2074396,0.755207997425,0.325286711089,0.0603484060251
421.3,0.0940599686112,2805583.73022,28055.8373022,0.755361850001,0.325551864498,0.0604714618481
421.4,0.09401412335,2803550.82345,28035.5082345,0.755515423633,0.325816698797,0.0605945197329
421.5,0.0939683830428,2801522.01032,28015.2201032,0.755668719144,0.326081214592,0.0607175794806
421.6,0.0939227473422,2799497.27756,27994.9727756,0.755821737355,0.32634541249,0.0608406408936
421.7,0.0938772159026,2797476.61199,27974.7661199,0.755974479083,0.326609293094,0.0609637037747
421.8,0.0938317883791,2795460.00043,27954.6000043,0.756126945143,0.326872857012,0.0610867679293
421.9,0.0937864644288,2793447.42978,27934.4742978,0.756279136347,0.327136104846,0.0612098331627
422.0,0.0937412437096,2791438.88698,27914.3888698,0.756431053505,0.327399037201,0.0613328992826
422.1,0.0936961258811,2789434.35904,27894.3435904,0.756582697421,0.327661654678,0.061455966097
422.2,0.0936511106039,2787433.83301,27874.3383301,0.7567340689,0.327923957882,0.0615790334159
422.3,0.0936061975402,2785437.29598,27854.3729598,0.756885168742,0.328185947412,0.06170210105
422.4,0.0935613863533,2783444.73511,27834.4473511,0.757035997746,0.32844762387,0.0618251688114
422.5,0.0935166767079,2781456.1376,27814.561376,0.757186556705,0.328708987857,0.0619482365137
422.6,0.0934720682701,2779471.49071,27794.7149071,0.757336846413,0.328970039971,0.0620713039709
422.7,0.093427560707,2777490.78174,27774.9078174,0.757486867658,0.329230780811,0.0621943709993
422.8,0.0933831536873,2775513.99804,27755.1399804,0.757636621228,0.329491210976,0.0623174374155
422.9,0.0933388468807,2773541.12703,27735.4112703,0.757786107907,0.329751331063,0.0624405030379
423.0,0.0932946399585,2771572.15615,27715.7215615,0.757935328474,0.330011141668,0.0625635676855
423.1,0.0932505325929,2769607.07291,27696.0707291,0.75808428371,0.330270643389,0.0626866311791
423.2,0.0932065244577,2767645.86487,27676.4586487,0.75823297439,0.330529836819,0.0628096933403
423.3,0.0931626152277,2765688.51962,27656.8851962,0.758381401287,0.330788722554,0.0629327539919
423.4,0.093118804579,2763735.02481,27637.3502481,0.758529565171,0.331047301187,0.0630558129583
423.5,0.0930750921892,2761785.36816,27617.8536816,0.75867746681,0.331305573312,0.0631788700642
423.6,0.0930314777367,2759839.5374,27598.395374,0.758825106969,0.331563539522,0.0633019251365
423.7,0.0929879609015,2757897.52033,27578.9752033,0.75897248641,0.331821200406,0.0634249780024
423.8,0.0929445413647,2755959.30479,27559.5930479,0.759119605893,0.332078556558,0.0635480284907
423.9,0.0929012188087,2754024.87869,27540.2487869,0.759266466176,0.332335608566,0.063671076431
424.0,0.0928579929169,2752094.22995,27520.9422995,0.759413068011,0.332592357021,0.0637941216546
424.1,0.0928148633741,2750167.34657,27501.6734657,0.759559412152,0.33284880251,0.0639171639935
424.2,0.0927718298663,2748244.21658,27482.4421658,0.759705499348,0.333104945623,0.064040203281
424.3,0.0927288920807,2746324.82806,27463.2482806,0.759851330344,0.333360786945,0.0641632393512
424.4,0.0926860497057,2744409.16914,27444.0916914,0.759996905885,0.333616327064,0.0642862720396
424.5,0.0926433024307,2742497.22799,27424.9722799,0.760142226713,0.333871566566,0.0644093011831
424.6,0.0926006499465,2740588.99284,27405.8899284,0.760287293565,0.334126506035,0.0645323266193
424.7,0.0925580919451,2738684.45194,27386.8445194,0.760432107179,0.334381146054,0.064655348187
424.8,0.0925156281196,2736783.59362,27367.8359362,0.760576668288,0.334635487209,0.0647783657259
424.9,0.0924732581643,2734886.40624,27348.8640624,0.760720977623,0.33488953008,0.0649013790771
425.0,0.0924309817745,2732992.87818,27329.9287818,0.760865035912,0.335143275251,0.0650243880829
425.1,0.0923887986469,2731102.99791,27311.0299791,0.761008843883,0.335396723302,0.0651473925863
425.2,0.0923467084793,2729216.75392,27292.1675392,0.761152402258,0.335649874812,0.0652703924315
425.3,0.0923047109706,2727334.13475,27273.3413475,0.761295711758,0.335902730363,0.0653933874638
425.4,0.0922628058208,2725455.12897,27254.5512897,0.761438773102,0.336155290531,0.0655163775298
425.5,0.0922209927311,2723579.72522,27235.7972522,0.761581587006,0.336407555896,0.0656393624769
425.6,0.0921792714039,2721707.91218,27217.0791218,0.761724154184,0.336659527033,0.0657623421536
425.7,0.0921376415426,2719839.67855,27198.3967855,0.761866475346,0.33691120452,0.0658853164094
425.8,0.0920961028518,2717975.01309,27179.7501309,0.762008551202,0.337162588932,0.0660082850951
425.9,0.0920546550373,2716113.90462,27161.1390462,0.762150382457,0.337413680843,0.0661312480621
426.0,0.0920132978058,2714256.34196,27142.5634196,0.762291969815,0.337664480828,0.0662542051634
426.1,0.0919720308653,2712402.31403,27124.0231403,0.762433313978,0.337914989458,0.0663771562527
426.2,0.0919308539249,2710551.80975,27105.5180975,0.762574415644,0.338165207306,0.0665001011846
426.3,0.0918897666946,2708704.81809,27087.0481809,0.762715275511,0.338415134945,0.0666230398152
426.4,0.0918487688858,2706861.32808,27068.6132808,0.762855894271,0.338664772943,0.0667459720011
426.5,0.0918078602108,2705021.32877,27050.2132877,0.762996272617,0.338914121871,0.0668688976001
426.6,0.091767040383,2703184.80927,27031.8480927,0.763136411238,0.339163182298,0.0669918164712
426.7,0.091726309117,2701351.75873,27013.5175873,0.763276310821,0.339411954791,0.067114728474
426.8,0.0916856661282,2699522.16633,26995.2216633,0.763415972051,0.339660439918,0.0672376334698
426.9,0.0916451111334,2697696.02131,26976.9602131,0.763555395609,0.339908638246,0.0673605313203
427.0,0.0916046438503,2695873.31293,26958.7331293,0.763694582175,0.340156550339,0.0674834218882
427.1,0.0915642639977,2694054.0305,26940.540305,0.763833532427,0.340404176762,0.0676063050374
427.2,0.0915239712955,2692238.16338,26922.3816338,0.763972247041,0.340651518079,0.0677291806326
427.3,0.0914837654645,2690425.70097,26904.2570097,0.764110726688,0.340898574854,0.06785204854
427.4,0.0914436462267,2688616.63269,26886.1663269,0.76424897204,0.341145347648,0.0679749086261
427.5,0.0914036133051,2686810.94803,26868.1094803,0.764386983765,0.341391837022,0.0680977607587
427.6,0.0913636664239,2685008.6365,26850.086365,0.764524762527,0.341638043537,0.0682206048062
427.7,0.0913238053079,2683209.68766,26832.0968766,0.764662308993,0.341883967752,0.0683434406389
427.8,0.0912840296834,2681414.0911,26814.140911,0.764799623821,0.342129610227,0.068466268127
427.9,0.0912443392776,2679621.83647,26796.2183647,0.764936707673,0.342374971518,0.068589087142
428.0,0.0912047338185,2677832.91343,26778.3291343,0.765073561203,0.342620052184,0.0687118975567
428.1,0.0911652130354,2676047.3117,26760.473117,0.765210185068,0.342864852779,0.0688346992443
