wavelength_nm,source_n,source_k,candidate_n,candidate_k,delta_n,delta_k
420.0,2.46646928141,0.0946656683111,2.46646928141,0.0946656683112,7.13207271019e-13,1.05665476369e-13
420.1,2.46625680646,0.0946184264232,2.46625680646,0.0946184264232,2.68673971959e-13,2.3758772727e-14
420.2,2.46604466189,0.0945712941294,2.46604466189,0.0945712941293,6.35935748505e-13,6.23251450449e-14
420.3,2.465832847,0.094524271064,2.465832847,0.0945242710639,6.92779167366e-14,8.13377143416e-14
420.4,2.46562136108,0.0944773568629,2.46562136108,0.0944773568631,7.08766378921e-13,1.72251102271e-13
420.5,2.46541020344,0.094430551164,2.46541020344,0.0944305511641,4.63185045874e-13,6.57668364212e-14
420.6,2.46519937339,0.0943838536062,2.46519937339,0.0943838536062,8.05133737458e-13,4.62269111878e-14
420.7,2.46498887024,0.0943372638296,2.46498887024,0.0943372638296,3.65485419707e-13,2.57432963835e-14
420.8,2.4647786933,0.0942907814759,2.4647786933,0.0942907814759,1.54543045028e-13,7.29971638691e-14
420.9,2.46456884187,0.0942444061884,2.46456884187,0.0942444061883,6.95887791835e-13,7.28167526276e-14
421.0,2.46435931527,0.0941981376116,2.46435931527,0.0941981376115,1.03428376974e-12,1.10744746706e-13
421.1,2.46415011282,0.0941519753914,2.46415011282,0.0941519753914,2.91766610871e-13,2.28983498829e-15
421.2,2.46394123383,0.094105919175,2.46394123383,0.0941059191751,1.15552012403e-12,1.22638010858e-13
421.3,2.46373267762,0.0940599686112,2.46373267762,0.0940599686111,5.9197091673e-13,3.73451269908e-14
421.4,2.46352444352,0.0940141233501,2.46352444352,0.09401412335,6.28386231938e-13,5.44703171457e-14
421.5,2.46331653084,0.0939683830428,2.46331653084,0.0939683830427,6.39932551394e-13,1.1585177262e-13
421.6,2.46310893892,0.0939227473423,2.46310893892,0.0939227473423,1.09867670517e-12,7.39130978644e-14
421.7,2.46290166707,0.0938772159026,2.46290166707,0.0938772159026,2.91766610871e-13,1.32810429321e-14
421.8,2.46269471462,0.0938317883791,2.46269471463,0.0938317883792,1.12310161171e-12,9.98090499138e-14
421.9,2.46248808092,0.0937864644288,2.46248808092,0.0937864644288,3.72146757854e-13,5.36931610284e-14
422.0,2.46228176527,0.0937412437096,2.46228176527,0.0937412437095,1.16662235428e-12,5.19029264012e-14
422.1,2.46207576703,0.093696125881,2.46207576703,0.093696125881,1.55608859131e-12,5.33739719089e-14
422.2,2.46187008552,0.0936511106039,2.46187008552,0.0936511106038,1.62980740015e-13,6.5059069243e-14
422.3,2.46166472008,0.0936061975401,2.46166472008,0.0936061975401,4.96047647403e-13,6.25749452254e-14
422.4,2.46145967005,0.0935613863532,2.46145967005,0.0935613863532,8.77964367874e-13,6.75848266241e-14
422.5,2.46125493477,0.0935166767078,2.46125493477,0.0935166767079,9.53903622758e-13,1.41622824579e-13
422.6,2.46105051358,0.09347206827,2.46105051358,0.09347206827,4.71622740861e-13,6.12010442325e-14
422.7,2.46084640582,0.0934275607069,2.46084640582,0.093427560707,9.07718344934e-13,8.16152700978e-14
422.8,2.46064261085,0.0933831536872,2.46064261085,0.0933831536874,2.15827355987e-13,1.75096048771e-13
422.9,2.46043912801,0.0933388468807,2.46043912801,0.0933388468808,5.22692999994e-13,1.23651089368e-13
423.0,2.46023595664,0.0932946399585,2.46023595664,0.0932946399585,8.43769498715e-13,4.60742555219e-14
423.1,2.4600330961,0.093250532593,2.4600330961,0.0932505325928,3.2640556924e-13,1.77607928364e-13
423.2,2.45983054574,0.0932065244577,2.45983054574,0.0932065244578,9.13935593871e-13,1.45217171621e-13
423.3,2.45962830492,0.0931626152278,2.45962830492,0.0931626152278,9.95203919274e-13,1.93317584163e-14
423.4,2.45942637298,0.0931188045791,2.45942637298,0.0931188045789,3.35287353437e-13,1.64188107554e-13
423.5,2.4592247493,0.0930750921891,2.4592247493,0.0930750921892,4.52526904837e-13,1.07927555781e-13
423.6,2.45902343321,0.0930314777366,2.45902343322,0.0930314777367,3.42836870004e-13,1.34892097492e-14
423.7,2.4588224241,0.0929879609015,2.4588224241,0.0929879609014,2.38475905689e-13,4.95298246861e-14
