case_id,structure_key,dipole,wavelength_nm,total_upward_angular_integral,maximum_angle_raw_argmax_deg,maximum_angle_set_deg,maximum_abs_angle_deg,symmetric_peak_pair,peak_tie_tolerance,symmetry_residual,angular_FWHM_deg,angular_FWHM_status,T0_over_Tmax,cone_fraction_5deg,cone_fraction_10deg,cone_fraction_15deg,cone_fraction_20deg,leakage20_40,leakage40_60,residual60_plus,fraction_sum,normal_to_40_60_ratio
b420_bare_x,bare,x,443.00000000000006,6.054679720145759e-07,4.217153126300968,"[-4.217153126300968,4.217153126300968]",4.217153126300968,True,7.739560839376069e-14,7.739560839376068e-14,122.38352262637696,pass,0.93652361126568,0.08960185255764345,0.17600963061855626,0.2641668557961765,0.3464065931856727,0.3039423573636759,0.22292566355504512,0.12672538589560642,1.0,1.5531890755004687
b420_bare_x,bare,x,448.0000000000001,6.08629748291883e-07,4.217153126300973,"[-4.217153126300965,4.217153126300973]",4.217153126300973,True,8.572642783412177e-14,8.572642783412175e-14,111.83938579778832,pass,0.9280888001702612,0.08963326453943637,0.17592170646801325,0.2641649250989698,0.34641553697854377,0.3043455641685251,0.22249655982462696,0.12674233902830428,1.0,1.5554393943534328
b420_bare_x,bare,x,450.0000000000001,6.095691555877107e-07,4.217153126300967,"[-4.217153126300967,4.217153126300967]",4.217153126300967,True,8.804639972527887e-14,8.804639972527885e-14,111.2485005151911,pass,0.9279688330872093,0.08961497945255806,0.1759002430265208,0.2640917231397458,0.3464213653106695,0.3044623434297548,0.22235926134959613,0.12675702990997945,1.0,1.5562986874225104
b420_bare_x,bare,x,453.00000000000006,6.105833012348244e-07,4.217153126300964,"[-4.217153126300971,4.217153126300964]",4.217153126300971,True,8.696145136970639e-14,8.696145136970638e-14,111.16881657360125,pass,0.9314417928338157,0.08955358670488611,0.1758893061291788,0.2639090817680472,0.346432976084263,0.30457517135924966,0.22221113006174548,0.1267807224947418,0.9999999999999999,1.5574399891353583
b420_bare_z,bare,z,443.8,5.408168969777642e-07,4.102201414665176,"[-4.102201414665169,4.102201414665176]",4.102201414665176,True,5.765853158320329e-14,5.765853158320327e-14,100.53683916226674,pass,0.9739096246550312,0.10018297063703785,0.19754493519535687,0.29478243860758263,0.3869568879967269,0.324613043230614,0.20815613460796206,0.08027393416469718,1.0000000000000002,1.8547329228837564
b420_bare_z,bare,z,448.0000000000001,5.430999300295801e-07,4.102201414665176,"[-4.102201414665169,4.102201414665176]",4.102201414665176,True,5.0672121936751723e-14,5.067212193675172e-14,100.63149136801314,pass,0.9664398328755287,0.10021803812760403,0.19744890140397892,0.2948192916935432,0.38688935132806435,0.3248608363403208,0.20795521232490646,0.08029460000670846,1.0,1.8555199636837396
b420_bare_z,bare,z,450.0000000000001,5.439049137562827e-07,-4.102201414665178,"[-4.102201414665178,4.10220141466517]",4.102201414665178,True,4.51406675071229e-14,4.514066750712289e-14,100.68809581188272,pass,0.9643059177740584,0.10021916992237209,0.19740655648568156,0.2947966356164602,0.3868538893301474,0.32495286462367046,0.20787293822164013,0.08032030782454205,1.0,1.8558644174609866
b420_bare_z,bare,z,453.00000000000006,5.447265382103722e-07,-4.102201414665178,"[-4.102201414665178,4.102201414665171]",4.102201414665178,True,3.6358636368616534e-14,3.635863636861653e-14,100.77425349146212,pass,0.96305315068019,0.10020263507434415,0.19735669798628397,0.2947200613424707,0.38680655830045696,0.3250493917659219,0.20777269609911497,0.08037135383450622,1.0,1.8563703182142113
b420_wan_proxy_x,wan_proxy,x,422.59999999999997,3.160725982671994e-09,-68.11962906245793,"[-68.11962906245793,68.11962906245795]",68.11962906245795,True,1.4210854715202004e-14,4.374002706643004e-15,25.084193629440456,pass,0.8765474608282909,0.07958688927678204,0.15508856618797928,0.21240726919875447,0.2673308760997049,0.11611317692532619,0.1274260081459489,0.48912993882902,1.0,2.5044218039443202
b420_wan_proxy_x,wan_proxy,x,448.0000000000001,2.0061026649033817e-07,-0.028662222062423855,"[-0.028662222062423855,0.028662222062431533]",0.028662222062431533,True,4.6487198006834545e-14,4.648719800683454e-14,29.913330968384606,pass,1.0,0.31013984852495463,0.609094419872879,0.8281072892933206,0.9296590736885136,0.059578107292944035,0.005064307719906364,0.005698511298635964,1.0,231.51215307013348
