structure_key,curve_name,wavelength_nm,value
bare,fixed_moment_in_plane_qw,419.99999999999994,7.475912552007413e-10
bare,fixed_moment_in_plane_qw,420.20000000000005,7.48036947161803e-10
bare,fixed_moment_in_plane_qw,420.4,7.484785234285758e-10
bare,fixed_moment_in_plane_qw,420.59999999999997,7.489159952002936e-10
bare,fixed_moment_in_plane_qw,420.80000000000007,7.493493731909168e-10
bare,fixed_moment_in_plane_qw,421.0,7.497786676422314e-10
bare,fixed_moment_in_plane_qw,421.2,7.502038883369133e-10
bare,fixed_moment_in_plane_qw,421.3999999999999,7.506250446116178e-10
bare,fixed_moment_in_plane_qw,421.6,7.510421453700364e-10
bare,fixed_moment_in_plane_qw,421.7999999999999,7.514551990959377e-10
bare,fixed_moment_in_plane_qw,422.0,7.518642138661953e-10
bare,fixed_moment_in_plane_qw,422.2,7.522691973637707e-10
bare,fixed_moment_in_plane_qw,422.40000000000003,7.526701568906816e-10
bare,fixed_moment_in_plane_qw,422.59999999999997,7.530670993809228e-10
bare,fixed_moment_in_plane_qw,422.8,7.534600314133395e-10
bare,fixed_moment_in_plane_qw,423.0,7.538489592244691e-10
bare,fixed_moment_in_plane_qw,423.20000000000005,7.542338887213169e-10
bare,fixed_moment_in_plane_qw,423.3999999999999,7.546148254940778e-10
bare,fixed_moment_in_plane_qw,423.6,7.549917748288134e-10
bare,fixed_moment_in_plane_qw,423.8,7.553647417200424e-10
bare,fixed_moment_in_plane_qw,424.00000000000006,7.557337308832692e-10
bare,fixed_moment_in_plane_qw,424.2,7.560987467674579e-10
bare,fixed_moment_in_plane_qw,424.4000000000001,7.564597935673939e-10
bare,fixed_moment_in_plane_qw,424.6,7.568168752359952e-10
bare,fixed_moment_in_plane_qw,424.8,7.571699954965203e-10
bare,fixed_moment_in_plane_qw,424.99999999999994,7.575191578546982e-10
bare,fixed_moment_in_plane_qw,425.2,7.578643656107549e-10
bare,fixed_moment_in_plane_qw,425.4,7.582056218713475e-10
bare,fixed_moment_in_plane_qw,425.59999999999997,7.585429295613897e-10
bare,fixed_moment_in_plane_qw,425.80000000000007,7.588762914357959e-10
bare,fixed_moment_in_plane_qw,426.0,7.592057100910788e-10
bare,fixed_moment_in_plane_qw,426.2,7.595311879768702e-10
bare,fixed_moment_in_plane_qw,426.40000000000003,7.598527274073002e-10
bare,fixed_moment_in_plane_qw,426.6,7.601703305722709e-10
bare,fixed_moment_in_plane_qw,426.8,7.60483999548603e-10
bare,fixed_moment_in_plane_qw,427.0,7.607937363110491e-10
bare,fixed_moment_in_plane_qw,427.20000000000005,7.610995427431897e-10
bare,fixed_moment_in_plane_qw,427.4000000000001,7.614014206481814e-10
bare,fixed_moment_in_plane_qw,427.59999999999997,7.616993717593775e-10
bare,fixed_moment_in_plane_qw,427.80000000000007,7.619933977507998e-10
bare,fixed_moment_in_plane_qw,428.0,7.622835002474795e-10
bare,fixed_moment_in_plane_qw,428.20000000000005,7.625696808356323e-10
bare,fixed_moment_in_plane_qw,428.4,7.628519410727031e-10
bare,fixed_moment_in_plane_qw,428.59999999999997,7.631302824972455e-10
bare,fixed_moment_in_plane_qw,428.8,7.634047066386449e-10
bare,fixed_moment_in_plane_qw,429.00000000000006,7.636752150266851e-10
bare,fixed_moment_in_plane_qw,429.19999999999993,7.639418092009594e-10
bare,fixed_moment_in_plane_qw,429.4,7.642044907201025e-10
bare,fixed_moment_in_plane_qw,429.6,7.64463261170871e-10
bare,fixed_moment_in_plane_qw,429.80000000000007,7.647181221770358e-10
bare,fixed_moment_in_plane_qw,430.0,7.649690754081205e-10
bare,fixed_moment_in_plane_qw,430.2,7.652161225879482e-10
bare,fixed_moment_in_plane_qw,430.4,7.654592655030214e-10
bare,fixed_moment_in_plane_qw,430.6,7.656985060107171e-10
bare,fixed_moment_in_plane_qw,430.8,7.659338460473028e-10
bare,fixed_moment_in_plane_qw,431.0,7.661652876357599e-10
