structure_key,dipole,spectral_peak_nm,spectral_FWHM_nm,FWHM_status,prominent_peak_count,angular_FWHM_change_vs_440_460_deg,cone10_change_vs_440_460,peak_set_semantics_unchanged,pilot_pass
bare,x,443.00000000000006,,no_isolated_peak,1,0.23177219242853653,8.711314402407022e-05,True,True
bare,z,443.8,,no_isolated_peak,1,0.11389105044548842,0.00021615580604583684,True,True
zl1_alternative,x,447.5999999999999,24.73121204971602,pass,1,0.08252108045287088,0.0028429317272565813,True,True
zl1_alternative,z,447.5999999999999,18.608238195859315,pass,1,0.0019272307981559322,0.00045537914814897107,True,True
