case_id,structure_id,topology,dipole,exact_layer_sequence,geometry_hash,sequence_hash,layer_count,total_thickness_nm,material_ids,material_data_hashes,wavelength_start_nm,wavelength_stop_nm,wavelength_points,actual_wavelength_grid_hash,simulation_time_fs,autoshutoff_target,source_local_mesh_nm,canonical_box_half_nm,normalization_method,runtime_FSP_SHA256,solver_log_SHA256,quality_flags,old_zero_radius_failure_provenance,provenance_commit
b420_bare_x,B0_BARE_GAN_AIR,bare,x,,090ed02536eced9e44ecc56f42228688c4b61f166327793e461b63fbcb9e07d9,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,0,APCD_GAN_NATIVE_M1;APCD_TIO2_NATIVE_M1;APCD_SIO2_NATIVE_M1,4780b085a2a5a0424fbcc7f67da21cb5cd164e54296342920aec42c6dde46207;dbc71df5ef07dbb266c3d7d05a39c20e50ce69202167c1631707b114f5ee1762;dce2bad1135214ae15c863b0a08c49d853b6dc2e7a11d59a6dd5621f15b149dd,419.99999999999994,480.00000000000006,301,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587,900,1e-07,1,12,fixed_physical_r12nm_box,012e8051f33ac819e74de53747cb374a714fdd060f3f9bed42c16dccc1d51bfa,27be5eb0c4869d65249e77589e0bcd6720d1260f6cd4ce3051a56a08b3426492,all_valid,canonical_emission_power_selection.csv,46af82357f269aea0c77105a03e7ca9da645ca8f
b420_bare_z,B0_BARE_GAN_AIR,bare,z,,090ed02536eced9e44ecc56f42228688c4b61f166327793e461b63fbcb9e07d9,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0,0,APCD_GAN_NATIVE_M1;APCD_TIO2_NATIVE_M1;APCD_SIO2_NATIVE_M1,4780b085a2a5a0424fbcc7f67da21cb5cd164e54296342920aec42c6dde46207;dbc71df5ef07dbb266c3d7d05a39c20e50ce69202167c1631707b114f5ee1762;dce2bad1135214ae15c863b0a08c49d853b6dc2e7a11d59a6dd5621f15b149dd,419.99999999999994,480.00000000000006,301,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587,900,1e-07,1,12,fixed_physical_r12nm_box,e64f958bc8819ac1179466af0e56f97d131eb4275e65e323fc66e4a9dcdd48a5,1baa9c5a8cfc8832a31c428395b8a240594947b6a872dcd4cae8c09e9dc75a23,all_valid,canonical_emission_power_selection.csv,46af82357f269aea0c77105a03e7ca9da645ca8f
b420_wan_proxy_x,B1_WAN_MDC_ENGINEERING_PROXY,wan_mdc_engineering_proxy,x,L100 H52 L100 H52 L100 H52 L100 H52 L100 H52 L100 H52 L100 H52 L100 H52,a0a5cd60f9ee1a616f34fb6fe70df08c2db173d77aea480bccfe45db7aa3cf00,0bc0b720a00a8e8a7e658065ddf657e3bf5764a8bcecd8561bb674aff3558b3e,16,1216.0,APCD_GAN_NATIVE_M1;APCD_TIO2_NATIVE_M1;APCD_SIO2_NATIVE_M1,4780b085a2a5a0424fbcc7f67da21cb5cd164e54296342920aec42c6dde46207;dbc71df5ef07dbb266c3d7d05a39c20e50ce69202167c1631707b114f5ee1762;dce2bad1135214ae15c863b0a08c49d853b6dc2e7a11d59a6dd5621f15b149dd,419.99999999999994,480.00000000000006,301,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587,900,1e-07,1,12,fixed_physical_r12nm_box,4dd26681c87ef4cc891ff2d664a192a3bc2b5df57240d1f28d50384bc576a4be,ec249ff72879a07cf6ab608a6f1184e0c771a11e39a671e242243a9cd6e71da2,all_valid,canonical_emission_power_selection.csv,46af82357f269aea0c77105a03e7ca9da645ca8f
b420_wan_proxy_z,B1_WAN_MDC_ENGINEERING_PROXY,wan_mdc_engineering_proxy,z,L100 H52 L100 H52 L100 H52 L100 H52 L100 H52 L100 H52 L100 H52 L100 H52,a0a5cd60f9ee1a616f34fb6fe70df08c2db173d77aea480bccfe45db7aa3cf00,0bc0b720a00a8e8a7e658065ddf657e3bf5764a8bcecd8561bb674aff3558b3e,16,1216.0,APCD_GAN_NATIVE_M1;APCD_TIO2_NATIVE_M1;APCD_SIO2_NATIVE_M1,4780b085a2a5a0424fbcc7f67da21cb5cd164e54296342920aec42c6dde46207;dbc71df5ef07dbb266c3d7d05a39c20e50ce69202167c1631707b114f5ee1762;dce2bad1135214ae15c863b0a08c49d853b6dc2e7a11d59a6dd5621f15b149dd,419.99999999999994,480.00000000000006,301,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587,900,1e-07,1,12,fixed_physical_r12nm_box,a1fbbb567c13ecf87b4f4cc0b66a19e1dbee51a18943c2e69cb0756a15387727,88980fbe1846e262381e46a497f77db84775a94709f52017ba1e76cc02f55988,all_valid,canonical_emission_power_selection.csv,46af82357f269aea0c77105a03e7ca9da645ca8f
b420_explicit_x,P1_EXPLICIT_FAB_G3_A3,Explicit,x,L79 H45 L79 H45 L79 H45 L156 H45 L79 H45 L79 H45 L79,d44569052e0f3a8a152560418bd816b72732300d993a080fe75186331599ebdf,b9e36efe180e91309a5b25d830192573c74d76fca7b48f8945cd36eab8a1cb58,13,900.0,APCD_GAN_NATIVE_M1;APCD_TIO2_NATIVE_M1;APCD_SIO2_NATIVE_M1,4780b085a2a5a0424fbcc7f67da21cb5cd164e54296342920aec42c6dde46207;dbc71df5ef07dbb266c3d7d05a39c20e50ce69202167c1631707b114f5ee1762;dce2bad1135214ae15c863b0a08c49d853b6dc2e7a11d59a6dd5621f15b149dd,419.99999999999994,480.00000000000006,301,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587,900,1e-07,1,12,fixed_physical_r12nm_box,b61bdc85124178b498f42e2f3580f4ed2407cb6a99b905627236f461802a705c,0d97a0f6448b267e65680e3e7b5cee2ea195584e5f804d2406dd35c964278bc3,all_valid,canonical_emission_power_selection.csv,46af82357f269aea0c77105a03e7ca9da645ca8f
b420_explicit_z,P1_EXPLICIT_FAB_G3_A3,Explicit,z,L79 H45 L79 H45 L79 H45 L156 H45 L79 H45 L79 H45 L79,d44569052e0f3a8a152560418bd816b72732300d993a080fe75186331599ebdf,b9e36efe180e91309a5b25d830192573c74d76fca7b48f8945cd36eab8a1cb58,13,900.0,APCD_GAN_NATIVE_M1;APCD_TIO2_NATIVE_M1;APCD_SIO2_NATIVE_M1,4780b085a2a5a0424fbcc7f67da21cb5cd164e54296342920aec42c6dde46207;dbc71df5ef07dbb266c3d7d05a39c20e50ce69202167c1631707b114f5ee1762;dce2bad1135214ae15c863b0a08c49d853b6dc2e7a11d59a6dd5621f15b149dd,419.99999999999994,480.00000000000006,301,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587,900,1e-07,1,12,fixed_physical_r12nm_box,fab2ebdd49e9fe31c08542f5db0010512c9f922105170248252fa5c5caa5d766,c2ac66e0718e8a98f36dd57ca3df6298f67aeeb68ef6d0f12852fa163371d045,all_valid,canonical_emission_power_selection.csv,46af82357f269aea0c77105a03e7ca9da645ca8f
b420_zl1_nominal_x,P1_ZL1_NOMINAL_G3_A3,ZL-1,x,H46 L78 H46 L78 H46 L312 H46 L78 H46 L78 H46 L78,ad8cbef5a96144d8d7d0e2d9bdba185905a6250f90a83b945bfb99b967482af5,e111e88a5a13e61d7bcb89f48307f6e54fc850b296565ea03bba57c3fd1f2747,12,978.0,APCD_GAN_NATIVE_M1;APCD_TIO2_NATIVE_M1;APCD_SIO2_NATIVE_M1,4780b085a2a5a0424fbcc7f67da21cb5cd164e54296342920aec42c6dde46207;dbc71df5ef07dbb266c3d7d05a39c20e50ce69202167c1631707b114f5ee1762;dce2bad1135214ae15c863b0a08c49d853b6dc2e7a11d59a6dd5621f15b149dd,419.99999999999994,480.00000000000006,301,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587,900,1e-07,1,12,fixed_physical_r12nm_box,2522d87b034ed307131c98763645e673041f9a3e0cc0e5366fa92c4cb08ca63d,034958e382154e8db70fbc680af1e2dea20bb5bef043c3f7c4d883e5e2785c3e,all_valid,canonical_emission_power_selection.csv,46af82357f269aea0c77105a03e7ca9da645ca8f
b420_zl1_nominal_z,P1_ZL1_NOMINAL_G3_A3,ZL-1,z,H46 L78 H46 L78 H46 L312 H46 L78 H46 L78 H46 L78,ad8cbef5a96144d8d7d0e2d9bdba185905a6250f90a83b945bfb99b967482af5,e111e88a5a13e61d7bcb89f48307f6e54fc850b296565ea03bba57c3fd1f2747,12,978.0,APCD_GAN_NATIVE_M1;APCD_TIO2_NATIVE_M1;APCD_SIO2_NATIVE_M1,4780b085a2a5a0424fbcc7f67da21cb5cd164e54296342920aec42c6dde46207;dbc71df5ef07dbb266c3d7d05a39c20e50ce69202167c1631707b114f5ee1762;dce2bad1135214ae15c863b0a08c49d853b6dc2e7a11d59a6dd5621f15b149dd,419.99999999999994,480.00000000000006,301,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587,900,1e-07,1,12,fixed_physical_r12nm_box,6f15c52479a750a0a10398f497b25627b88a19e451e6cb9a51037b7f59167008,a56dd79d3486c7c22125e05898332ca4bdf5998e6599850bb72c1cd206b89905,all_valid,canonical_emission_power_selection.csv,46af82357f269aea0c77105a03e7ca9da645ca8f
b420_zl1_alternative_x,P1_ZL1_ALTERNATIVE_G3_A3,ZL-1,x,H44 L79 H44 L79 H44 L316 H44 L79 H44 L79 H44 L79,c38694d6f162c04322ae8a87def91622d4fd4f272e4ec286e85acc978f74d888,07a8ecbcb195f5620d693d95fb485c416395b380d1cb60b1e76aac0ef0127730,12,975.0,APCD_GAN_NATIVE_M1;APCD_TIO2_NATIVE_M1;APCD_SIO2_NATIVE_M1,4780b085a2a5a0424fbcc7f67da21cb5cd164e54296342920aec42c6dde46207;dbc71df5ef07dbb266c3d7d05a39c20e50ce69202167c1631707b114f5ee1762;dce2bad1135214ae15c863b0a08c49d853b6dc2e7a11d59a6dd5621f15b149dd,419.99999999999994,480.00000000000006,301,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587,900,1e-07,1,12,fixed_physical_r12nm_box,227b0e2a484c2d3077fb4f8cc42bfaa0f504d9527903af832d916935a1c49b57,e862dbb5adc4d5670f724bb7598a16172149416a084ab4ce861483afb904aa09,all_valid,canonical_emission_power_selection.csv,46af82357f269aea0c77105a03e7ca9da645ca8f
b420_zl1_alternative_z,P1_ZL1_ALTERNATIVE_G3_A3,ZL-1,z,H44 L79 H44 L79 H44 L316 H44 L79 H44 L79 H44 L79,c38694d6f162c04322ae8a87def91622d4fd4f272e4ec286e85acc978f74d888,07a8ecbcb195f5620d693d95fb485c416395b380d1cb60b1e76aac0ef0127730,12,975.0,APCD_GAN_NATIVE_M1;APCD_TIO2_NATIVE_M1;APCD_SIO2_NATIVE_M1,4780b085a2a5a0424fbcc7f67da21cb5cd164e54296342920aec42c6dde46207;dbc71df5ef07dbb266c3d7d05a39c20e50ce69202167c1631707b114f5ee1762;dce2bad1135214ae15c863b0a08c49d853b6dc2e7a11d59a6dd5621f15b149dd,419.99999999999994,480.00000000000006,301,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587,900,1e-07,1,12,fixed_physical_r12nm_box,2c77edef55141e345fba7f273ac9db48e5944bdad4edc0d4de2bbdcc04fc84f8,06f98f04bf56602a13a4e3efa02e154c7dba6d3065b11b195091c123f4f415df,all_valid,canonical_emission_power_selection.csv,46af82357f269aea0c77105a03e7ca9da645ca8f
