Ex_imag,Ex_real,Ey_imag,Ey_real,Ez_imag,Ez_real,complex_source_normalized,frequency_index,order_efficiency_source_norm,order_fraction_transmitted,order_m,order_n,polarization,total_transmission,ux,uy,wavelength_nm
-1.0045409979811082e-09,-2.9354586488677226e-09,1.760079199118736e-09,6.357294621811867e-10,-1.7579282122338528e-09,-5.136998474986562e-09,True,1,4.2607115763474806e-17,4.2987187255957834e-17,0,-5,x,0.9911584935711198,-0.8682408888086127,0.0,450.0
-5.614841330639892e-10,2.8329884545379944e-09,-1.060171980671289e-09,8.876737425109514e-10,-5.421198927048586e-10,2.735285481047088e-09,True,1,1.8028697957865406e-17,1.81895207222696e-17,0,-4,x,0.9911584935711198,-0.6945927110468901,0.0,450.0
0.0067413024986030445,0.0003954346895252636,-0.00032008404346190773,0.0022194281533809367,0.004114202957549785,0.00024133297230019722,True,1,6.761475067368109e-05,6.821789967219753e-05,0,-3,x,0.9911584935711198,-0.5209445332851677,0.0,450.0
-4.993294871067399e-10,2.0992135277118754e-09,-1.908750103173638e-09,1.0150815908892427e-10,-1.8492594767051645e-10,7.774406699356452e-10,True,1,8.948269835741638e-18,9.028091767141338e-18,0,-2,x,0.9911584935711198,-0.34729635552344507,0.0,450.0
-3.5854827085843455e-09,2.0407385448562643e-11,3.4281034186197554e-10,-4.712820111868804e-10,-6.322173407429357e-10,3.5983726623243074e-12,True,1,1.3595440093715951e-17,1.3716716531108877e-17,0,-1,x,0.9911584935711198,-0.17364817776172253,0.0,450.0
-0.8710768461373806,0.48159058137934063,-0.0059859399416666795,0.016941001033399503,0.0,0.0,True,1,0.9910271889429358,0.9998675240851633,0,0,x,0.9911584935711198,0.0,0.0,450.0
3.484321953122188e-09,1.7852648737659894e-09,-8.265350878998955e-10,-8.874807155365072e-10,-6.143799701560661e-10,-3.1479036513321824e-10,True,1,1.727500813620047e-17,1.7429107704015165e-17,0,1,x,0.9911584935711198,0.17364817776172253,0.0,450.0
2.293382790438838e-09,1.901466773064323e-09,-7.393318317149954e-10,4.843030689288192e-09,-8.493509733433693e-10,-7.042054476100898e-10,True,1,3.4094040715686053e-17,3.4398172377907047e-17,0,2,x,0.9911584935711198,0.34729635552344507,0.0,450.0
0.004247137627226179,0.005129018578650358,0.0013230455405638295,0.001038035708102144,-0.0025920193005247658,-0.0031302294193123487,True,1,6.368987751026335e-05,6.42580151644469e-05,0,3,x,0.9911584935711198,0.5209445332851677,0.0,450.0
1.8240058670201677e-09,1.0958442417730556e-10,1.1255078626162448e-09,8.202125379262788e-10,-1.761100281723036e-09,-1.0580512035654326e-10,True,1,8.391191630907342e-18,8.466044215263781e-18,0,4,x,0.9911584935711198,0.6945927110468901,0.0,450.0
-1.30111116978781e-09,1.2948870446924878e-09,-2.7761428653553007e-09,2.088466826459987e-09,2.2769205410425623e-09,-2.266028436963654e-09,True,1,2.575753765609554e-17,2.5987304576578625e-17,0,5,x,0.9911584935711198,0.8682408888086127,0.0,450.0
6.246047882842703e-10,2.0540188339915636e-09,-7.329573649460111e-10,1.684696800942676e-10,1.0980060044786658e-09,3.6108032716658577e-09,True,2,1.941825049642343e-17,1.9363289572564486e-17,0,-5,x,1.0028384084043662,-0.8692056009072888,0.0,450.5
7.601908455930152e-10,-2.024502387006786e-09,8.815743159283649e-10,-6.22164765579189e-11,7.355519124896495e-10,-1.9588852078862558e-09,True,2,9.835812074822201e-18,9.807973041710812e-18,0,-4,x,1.0028384084043662,-0.6953644807258311,0.0,450.5
-0.004500233245857103,0.0025134243400208875,-0.0011706295719046802,-0.001585376157684483,-0.0027506739107172416,0.0015362783173565053,True,2,4.0379550367579365e-05,4.026526111203496e-05,0,-3,x,1.0028384084043662,-0.5215233605443733,0.0,450.5
-3.2857672099512465e-09,3.1869207594499547e-09,-2.4059647468239074e-09,1.695406480625307e-09,-1.2184169858059576e-09,1.181763082293666e-09,True,2,3.2496903516482296e-17,3.240492510472219e-17,0,-2,x,1.0028384084043662,-0.34768224036291556,0.0,450.5
