method,mean_js_divergence,mean_joint_weighted_l1
NMF16,0.0198913086,0.2154335247
NMF32,0.0112351044,0.1404072069
PCA16,0.0172832568,0.1831475967
PCA32,0.0100607099,0.1125721878
