candidate_id,polarization,min_phase_error_30_40_deg,min_phase_error_30_40_angle_deg,width_phase_error_lt10_deg_in_30_40_deg,width_phase_error_lt15_deg_in_30_40_deg,width_phase_error_lt20_deg_in_30_40_deg,risk_interpretation
D5_BASE_13461,TE,7.979547218873869,37.75,0.25,0.25,0.25,narrow_localized
D5_BASE_13461,TM,6.524248287831174,34.5,0.75,1.5,1.5,narrow_localized
D5_BASE_13481,TE,8.904177854126496,37.75,0.25,0.25,0.25,narrow_localized
D5_BASE_13481,TM,3.5637009417142878,34.5,0.75,1.25,1.5,narrow_localized
D5_BASE_13881,TE,4.762330834051194,37.75,0.25,0.25,0.25,narrow_localized
D5_BASE_13881,TM,3.17098252432543,34.5,0.5,1.0,1.5,narrow_localized
D5_BASE_14322,TE,5.4761207427335306,37.75,0.25,0.25,0.25,narrow_localized
D5_BASE_14322,TM,0.16585523808959504,34.5,0.75,1.0,1.25,narrow_localized
D5_BASE_08955,TE,8.546744237997693,38.25,0.25,0.25,0.25,narrow_localized
D5_BASE_08955,TM,4.459313601269263,34.5,0.5,0.75,0.75,narrow_localized
