candidate_id,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,top_pair_count,bottom_pair_count,D5_score
D5_BASE_13461,182.0,0.0,113.0,10,12,533449968802.7034
D5_BASE_13481,182.0,5.0,108.0,10,12,488493247715.27594
D5_BASE_13881,183.0,0.0,113.0,10,12,473813957985.1289
D5_BASE_14322,184.0,5.0,113.0,10,12,458856152817.58826
D5_BASE_08955,171.0,30.0,53.0,10,12,341545142538.3828
